Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID,Legacy,SourceFile,CandUnified,RecursedUnified,CountSource,ok
2026-06-29 21:20:09,HAUSP-UB,BIBLE,0,0,0.0005,0.0,1.0,35550162,36369,249,15436,15686,19,328,91,223663,12054,83293828,11096,0.0,0.29014,0.297948,29772,0,450.21,83539894,83523808,16086,13905,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,223663.0,none,True
2026-06-29 21:21:29,HAUSP-UB,BIBLE,0,0,0.0004,0.0,1.0,35550162,36369,288,20785,21074,77,684,141,352180,11753,128826864,17061,0.0,0.298656,0.306572,48469,0,437.48,129207008,129190468,16540,13905,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,352180.0,none,True
2026-06-29 21:23:50,HAUSP-UB,BIBLE,0,0,0.00025,0.0,1.0,35550162,36369,179,37095,37275,11,1681,368,932010,10979,306491761,45492,0.0,0.315067,0.323167,135751,0,479.7,307479139,307461435,17704,13905,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,932010.0,none,True
2026-06-29 21:25:06,HAUSP-UB,BMS1_SPMF,0,0,0.0035,0.0,1.0,7229030,59601,27,25963,25991,2,615,260,673331,170,101041040,87,0.0,0.039763,0.039814,93,0,65.16,101714541,101713590,951,497,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,673331.0,none,True
2026-06-29 21:28:14,HAUSP-UB,BMS1_SPMF,0,0,0.0032,0.0,1.0,7229030,59601,129,65406,65535,17,1597,683,1751022,159,258117809,94,0.0,0.044439,0.04446,105,0,71.89,259868990,259867995,995,497,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,1751022.0,none,True
2026-06-29 21:35:43,HAUSP-UB,BMS1_SPMF,0,0,0.003,0.0,1.0,7229030,59601,28,156459,156488,2,3843,1668,4302377,157,613120529,89,0.0,0.046707,0.046716,114,0,65.17,617423063,617422043,1020,497,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,4302377.0,none,True
2026-06-29 21:38:34,HAUSP-UB,FIFA,0,0,0.015,0.0,1.0,35721991,20450,357,49942,50300,45,117,26,61388,2733,9063262,159,0.0,0.089099,0.089256,83,0,613.03,9127462,9124190,3272,2990,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,61388.0,none,True
2026-06-29 21:43:37,HAUSP-UB,FIFA,0,0,0.012,0.0,1.0,35721991,20450,118,87518,87637,9,234,53,128691,2701,20655889,267,0.0,0.096915,0.097026,334,0,618.18,20787449,20784128,3321,2990,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,128691.0,none,True
2026-06-29 21:51:45,HAUSP-UB,FIFA,0,0,0.01,0.0,1.0,35721991,20450,363,146247,146610,46,364,96,234304,2684,40206583,481,0.0,0.103822,0.103913,884,0,632.57,40443938,40440571,3367,2990,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,234304.0,none,True
2026-06-29 21:54:06,HAUSP-UB,KOSARAK,0,0,0.004,0.0,1.0,400890653,990002,10027,41133,51161,52,55,8,17119,38222,9004694,1615,0.0,0.027519,0.030676,61,0,4010.09,9060035,9016255,43780,41270,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp5/experiment5_accuracy.csv,,17119.0,none,True
