# run_id=20260904-1246 git=de94c3a jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 1,3,8 --algo HAUSP-UB --repeats 1 --results-dir results-2026-09/counts --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-04 12:46:24,HAUSP-UB,BIBLE,0,0,0.001000,0.000,0.200,7617167,7273,108,3442,3551,7,167,47,23273144,5060,23150867,5332,0.000000,0.240219,0.246177,9964,0,255.86,23277543,23269960,7583,6208,SUCCESS,116722,0,,31719680,5506208,16930176,4278784,,,,,438,661,used,,,,20260904-1246
2026-09-04 12:46:29,HAUSP-UB,BIBLE,1,0,0.001000,0.000,0.200,15283678,14546,74,4659,4733,16,160,34,22906650,7802,22815425,4700,0.000000,0.271234,0.279246,10469,0,287.58,22907530,22904882,4023,8894,SUCCESS,86236,0,,58008320,10770464,16975984,39664000,,,,,425,714,used,,,,20260904-1246
2026-09-04 12:46:34,HAUSP-UB,BIBLE,2,0,0.001000,0.000,0.200,21271931,21819,110,5028,5139,2,135,27,18707813,9874,18638192,3568,0.000000,0.273117,0.281164,8283,0,427.62,18708054,18706085,3306,10949,SUCCESS,65736,0,,70168576,15002144,33788304,102802816,,,,,422,739,used,,,,20260904-1246
2026-09-04 12:46:41,HAUSP-UB,BIBLE,3,0,0.001000,0.000,0.200,28633935,29092,37,7191,7228,1,159,29,22010428,11155,21936858,3761,0.000000,0.269625,0.277551,8226,0,610.02,22009881,22008589,2543,12232,SUCCESS,69470,0,,89755648,20253760,33788304,176224128,,,,,414,753,used,,,,20260904-1246
2026-09-04 12:46:50,HAUSP-UB,BIBLE,4,0,0.001000,0.000,0.200,35550162,36369,86,7945,8032,2,152,24,18767867,12820,18708525,2933,0.000000,0.261646,0.269156,6713,0,721.28,18767689,18766018,2931,13905,SUCCESS,56071,0,,95921152,25186112,33836048,269768320,,,,,428,766,used,,,,20260904-1246
2026-09-04 12:46:56,HAUSP-UB,BMS1_SPMF,0,0,0.003500,0.000,0.200,1577987,11920,9,5451,5460,0,680,187,100740722,19,100272654,67,0.000000,0.043005,0.043066,100,0,46.31,100740740,100739762,978,335,SUCCESS,468067,0,,542080,1012928,1837680,730112,,,,,67,1,used,,,,20260904-1246
2026-09-04 12:46:57,HAUSP-UB,BMS1_SPMF,1,0,0.003500,0.000,0.200,2805280,23840,4,232,236,0,21,5,3035171,24,3020962,98,0.000000,0.042039,0.044379,97,0,48.16,3034858,3034858,456,338,SUCCESS,14207,0,,959616,1844768,1837680,1304448,,,,,98,2,used,,,,20260904-1246
2026-09-04 12:46:57,HAUSP-UB,BMS1_SPMF,2,0,0.003500,0.000,0.200,4090185,35760,5,75,81,0,4,1,593457,74,590256,117,0.000000,0.064957,0.075240,94,0,54.10,593180,593180,416,387,SUCCESS,3188,0,,1262208,2728384,2924944,2023168,,,,,117,13,used,,,,20260904-1246
2026-09-04 12:46:57,HAUSP-UB,BMS1_SPMF,3,0,0.003500,0.000,0.200,5578380,47680,3,98,101,0,4,1,649684,72,646094,112,0.000000,0.057647,0.067303,93,0,58.71,649342,649342,343,389,SUCCESS,3563,0,,1863296,3699328,2965200,2668672,,,,,112,27,used,,,,20260904-1246
2026-09-04 12:47:24,HAUSP-UB,BMS1_SPMF,4,0,0.003500,0.000,0.200,7229030,59601,8,26753,26761,0,783,267,101714408,170,101041040,87,0.000000,0.039763,0.039814,93,0,66.73,101714152,101714152,562,497,SUCCESS,673331,0,,2124672,4788416,3121200,3814272,,,,,87,37,used,,,,20260904-1246
2026-09-04 12:47:46,HAUSP-UB,FIFA,0,0,0.012000,0.000,0.200,7402552,4090,39,20965,21005,1,230,61,24718341,2017,24566350,322,0.000000,0.095972,0.096070,231,0,450.50,24720199,24717549,2650,2316,SUCCESS,151622,0,,8216576,4892320,303038360,3450624,,,,,112,159,used,,,,20260904-1246
2026-09-04 12:48:23,HAUSP-UB,FIFA,1,0,0.012000,0.000,0.200,14678365,8180,23,36192,36215,1,219,54,21543204,2329,21412491,298,0.000000,0.096672,0.096780,215,0,491.92,21543068,21542751,651,2627,SUCCESS,130375,0,,17367040,9695616,303038360,14662656,,,,,109,149,used,,,,20260904-1246
2026-09-04 12:49:18,HAUSP-UB,FIFA,2,0,0.012000,0.000,0.200,21657235,12270,17,55517,55535,1,240,56,21903887,2515,21768590,312,0.000000,0.097110,0.097222,280,0,509.04,21903624,21903442,522,2811,SUCCESS,134941,0,,22233088,14372960,303038360,28737152,,,,,107,151,used,,,,20260904-1246
2026-09-04 12:50:32,HAUSP-UB,FIFA,3,0,0.012000,0.000,0.200,28870802,16360,16,73897,73914,1,241,57,21890299,2612,21753972,299,0.000000,0.095810,0.095917,346,0,534.19,21889937,21889846,429,2907,SUCCESS,135970,0,,34832384,19130880,303038360,37251712,,,,,105,163,used,,,,20260904-1246
2026-09-04 12:52:00,HAUSP-UB,FIFA,4,0,0.012000,0.000,0.200,35721991,20450,16,87333,87350,1,220,54,20784913,2701,20655889,267,0.000000,0.096915,0.097026,334,0,558.84,20784542,20784461,414,2990,SUCCESS,128691,0,,42860544,23714944,303038360,48727680,,,,,99,165,used,,,,20260904-1246
2026-09-04 12:52:24,HAUSP-UB,KOSARAK,0,0,0.003000,0.000,0.200,79636688,198000,2107,19099,21207,15,204,19,31171405,25266,31123933,1585,0.000000,0.027989,0.029411,103,0,2407.13,31195592,31164007,31585,28708,SUCCESS,46393,0,,74351104,50955040,537378656,37820544,,,,,1585,1079,used,,,,20260904-1246
2026-09-04 12:53:10,HAUSP-UB,KOSARAK,1,0,0.003000,0.000,0.200,161031299,396000,1982,43627,45609,15,269,23,39841952,30459,39786858,1532,0.000000,0.026252,0.027432,102,0,2361.20,39842591,39837168,8300,33988,SUCCESS,53982,0,,144294912,103047712,537463136,150579456,,,,,1532,1112,used,,,,20260904-1246
2026-09-04 12:54:09,HAUSP-UB,KOSARAK,2,0,0.003000,0.000,0.200,240799749,594000,1700,57565,59265,15,228,22,31318646,33508,31269836,1521,0.000000,0.028380,0.029705,104,0,2779.36,31317107,31314212,5915,36960,SUCCESS,47751,0,,193886208,154076512,537510688,332375168,,,,,1521,1059,used,,,,20260904-1246
2026-09-04 12:55:50,HAUSP-UB,KOSARAK,3,0,0.003000,0.000,0.200,321393622,792000,2379,97371,99751,17,329,28,45389568,35900,45329380,1548,0.000000,0.027469,0.028528,101,0,4308.74,45387417,45384728,5632,39483,SUCCESS,59097,0,,256452608,205662048,1074421968,544608384,,,,,1548,1091,used,,,,20260904-1246
2026-09-04 12:57:45,HAUSP-UB,KOSARAK,4,0,0.003000,0.000,0.200,400890653,990002,1677,112771,114449,15,313,26,40570877,37724,40515086,1537,0.000000,0.027545,0.028679,103,0,4193.79,40568023,40566266,4866,41270,SUCCESS,54696,0,,306008064,256608480,1074421968,737819392,,,,,1537,1095,used,,,,20260904-1246
2026-09-04 12:57:46,HAUSP-UB,LEVIATHAN,0,0,0.003000,0.000,0.200,2833171,1166,25,265,291,0,18,7,2192133,3333,2173480,1214,0.000000,0.363978,0.376474,4440,0,65.90,2194872,2190206,4666,4038,SUCCESS,17202,0,,2751744,1192704,8505360,1136384,,,,,357,594,used,,,,20260904-1246
2026-09-04 12:57:47,HAUSP-UB,LEVIATHAN,1,0,0.003000,0.000,0.200,5742029,2332,21,641,663,0,30,9,4030364,5060,4005126,1637,0.000000,0.369428,0.382278,5965,0,99.75,4030842,4029152,2318,5731,SUCCESS,23380,0,,6321280,2485664,16893968,5427072,,,,,323,544,used,,,,20260904-1246
2026-09-04 12:57:48,HAUSP-UB,LEVIATHAN,2,0,0.003000,0.000,0.200,8655898,3498,21,1052,1074,0,37,10,5067872,6468,5040244,1659,0.000000,0.371106,0.383258,6387,0,109.74,5068072,5066656,2041,7137,SUCCESS,25753,0,,12196096,3784224,16945488,13622528,,,,,321,537,used,,,,20260904-1246
2026-09-04 12:57:50,HAUSP-UB,LEVIATHAN,3,0,0.003000,0.000,0.200,11406844,4664,26,1358,1385,0,39,10,5503713,7425,5476314,1738,0.000000,0.365936,0.378513,6281,0,137.73,5503469,5502479,1625,8110,SUCCESS,25454,0,,16881664,5049280,16945488,26786432,,,,,325,532,used,,,,20260904-1246
2026-09-04 12:57:51,HAUSP-UB,LEVIATHAN,4,0,0.003000,0.000,0.200,14156241,5834,34,1743,1778,0,42,10,5958464,8336,5929969,1777,0.000000,0.366961,0.379732,6511,0,230.45,5958131,5957214,1569,9025,SUCCESS,26495,0,,20940544,6312032,33754736,44548480,,,,,336,559,used,,,,20260904-1246
2026-09-04 12:57:59,HAUSP-UB,SIGN,0,0,0.003000,0.000,0.200,319686,146,12,6376,6389,0,1154,546,106348584,2,104964977,143,0.000000,0.178773,0.178783,23387,0,122.74,106348584,106347647,937,217,SUCCESS,1383605,0,,1105920,242848,74809588,179968,,,,,143,2,used,,,,20260904-1246
2026-09-04 12:58:06,HAUSP-UB,SIGN,1,0,0.003000,0.000,0.200,642036,292,1,7169,7171,0,995,373,102930393,22,101990681,61,0.000000,0.181681,0.181697,17303,0,123.25,102930179,102930111,788,246,SUCCESS,939693,0,,2214912,486720,74809588,400768,,,,,61,19,used,,,,20260904-1246
2026-09-04 12:58:13,HAUSP-UB,SIGN,2,0,0.003000,0.000,0.200,955150,438,1,6837,6839,0,763,271,84707210,33,84019787,53,0.000000,0.184860,0.184882,14594,0,122.45,84706976,84706973,762,255,SUCCESS,687402,0,,3235840,721888,74809588,577536,,,,,53,21,used,,,,20260904-1246
2026-09-04 12:58:21,HAUSP-UB,SIGN,3,0,0.003000,0.000,0.200,1316615,584,1,7406,7408,0,724,241,83597083,30,82984834,65,0.000000,0.177132,0.177159,12887,0,122.52,83596842,83596842,749,267,SUCCESS,612233,0,,4189184,963200,74809588,814976,,,,,65,16,used,,,,20260904-1246
2026-09-04 12:58:29,HAUSP-UB,SIGN,4,0,0.003000,0.000,0.200,1668652,730,1,8651,8653,0,748,235,86623963,32,86030002,60,0.000000,0.176058,0.176085,12666,0,124.73,86623714,86623701,754,267,SUCCESS,593947,0,,5619712,1214656,74809588,1011712,,,,,60,14,used,,,,20260904-1246
2026-09-04 12:58:31,HAUSP-UB,C8T1S5I8N5K,0,0,0.000200,0.000,0.200,9488004,9426,127,762,890,7,84,61,3612306,29547,3443540,11828,0.000000,0.242173,0.250249,6078,0,761.69,3627992,3576089,51903,51042,SUCCESS,154905,0,,161792,4438024,121991456,7045632,,,,,11828,13861,used,,,,20260904-1246
2026-09-04 12:58:32,HAUSP-UB,C8T1S5I8N5K,1,0,0.000200,0.000,0.200,18951306,18852,102,612,715,14,53,43,2604870,38503,2479297,12496,0.000000,0.225775,0.235845,4680,0,810.24,2577334,2568309,9886,60186,SUCCESS,110576,0,,204544,8864368,121991456,10422528,,,,,12496,14997,used,,,,20260904-1246
2026-09-04 12:58:33,HAUSP-UB,C8T1S5I8N5K,2,0,0.000200,0.000,0.200,28544670,28278,117,700,818,12,48,40,2330879,42907,2214040,12274,0.000000,0.212608,0.222879,3088,0,916.78,2297939,2293866,4815,64372,SUCCESS,101178,0,,207616,13348488,155545888,14122496,,,,,12274,15661,used,,,,20260904-1246
2026-09-04 12:58:34,HAUSP-UB,C8T1S5I8N5K,3,0,0.000200,0.000,0.200,38016389,37704,101,748,849,13,43,37,1916245,45276,1807217,12406,0.000000,0.210993,0.221967,2428,0,830.70,1881555,1879089,3095,66784,SUCCESS,93432,0,,333056,17779144,155545888,17971072,,,,,12404,15594,used,,,,20260904-1246
2026-09-04 12:58:35,HAUSP-UB,C8T1S5I8N5K,4,0,0.000200,0.000,0.200,47416411,47133,106,869,975,13,42,36,1906734,46615,1799929,12578,0.000000,0.208598,0.219840,2623,0,865.32,1870891,1869456,2118,68240,SUCCESS,91130,0,,350464,22186560,155545888,22001536,,,,,12577,15674,used,,,,20260904-1246
