# run_id=20260905-2047 git=0c08753 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 1,3,8 --algo HAUSP-UB --repeats 1 --results-dir results-2026-09/counts --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-05 20:48:31,HAUSP-UB,BIBLE,1,0,0.000500,0.000,0.050,35550162,36369,47,17582,17629,1,664,91,83528915,12054,83293828,11096,0.000000,0.290140,0.297948,29772,0,523.88,83527661,83526030,3853,13905,SUCCESS,223663,0,,141419520,25186112,33808976,118391680,,,,,747,1075,used,,,,20260905-2047
2026-09-05 20:49:07,HAUSP-UB,BIBLE,1,0,0.000500,0.000,0.100,35550162,36369,37,17567,17605,1,656,91,83528915,12054,83293828,11096,0.000000,0.290140,0.297948,29772,0,707.12,83527661,83526030,3853,13905,SUCCESS,223663,0,,136061952,25186112,33808976,118391680,,,,,747,1075,used,,,,20260905-2047
2026-09-05 20:49:45,HAUSP-UB,BIBLE,1,0,0.000500,0.000,0.150,35550162,36369,37,18332,18369,1,660,92,83528915,12054,83293828,11096,0.000000,0.290140,0.297948,29772,0,754.64,83527661,83526030,3853,13905,SUCCESS,223663,0,,144188416,25186112,33808976,118391680,,,,,747,1075,used,,,,20260905-2047
2026-09-05 20:50:21,HAUSP-UB,BIBLE,1,0,0.000500,0.000,0.200,35550162,36369,34,17304,17340,1,666,90,83528915,12054,83293828,11096,0.000000,0.290140,0.297948,29772,0,759.05,83527661,83526030,3853,13905,SUCCESS,223663,0,,144188416,25186112,33808976,118391680,,,,,747,1075,used,,,,20260905-2047
2026-09-05 20:50:50,HAUSP-UB,BMS1_SPMF,1,0,0.003500,0.000,0.050,7229030,59601,4,28348,28352,0,932,264,101714408,170,101041040,87,0.000000,0.039763,0.039814,93,0,67.35,101714152,101713931,562,497,SUCCESS,673331,0,,2040320,4788416,3121200,3681792,,,,,87,37,used,,,,20260905-2047
2026-09-05 20:51:20,HAUSP-UB,BMS1_SPMF,1,0,0.003500,0.000,0.100,7229030,59601,4,28524,28529,0,942,265,101714408,170,101041040,87,0.000000,0.039763,0.039814,93,0,63.79,101714152,101713931,562,497,SUCCESS,673331,0,,1905664,4788416,3121200,3681792,,,,,87,37,used,,,,20260905-2047
2026-09-05 20:51:49,HAUSP-UB,BMS1_SPMF,1,0,0.003500,0.000,0.150,7229030,59601,4,28552,28557,0,938,267,101714408,170,101041040,87,0.000000,0.039763,0.039814,93,0,63.48,101714152,101713931,562,497,SUCCESS,673331,0,,1905664,4788416,3121200,3681792,,,,,87,37,used,,,,20260905-2047
2026-09-05 20:52:18,HAUSP-UB,BMS1_SPMF,1,0,0.003500,0.000,0.200,7229030,59601,4,28539,28544,0,941,267,101714408,170,101041040,87,0.000000,0.039763,0.039814,93,0,63.51,101714152,101713931,562,497,SUCCESS,673331,0,,1905664,4788416,3121200,3681792,,,,,87,37,used,,,,20260905-2047
# run_id=20260905-2054 git=3b074c9 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 1,3,8 --algo HAUSP-UB --repeats 1 --results-dir results-2026-09/counts --timeout 90 --resume
2026-09-05 20:57:16,HAUSP-UB,FIFA,1,0,0.012000,0.000,0.050,35721991,20450,22,90483,90506,5,219,60,20784913,2701,20655889,267,0.000000,0.096915,0.097026,334,0,614.66,20784542,20784461,414,2990,SUCCESS,128691,0,,40501248,23714944,399886528,24841856,,,,,99,165,used,,,,20260905-2054
