# run_id=20260905-2104 git=06f95fd jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 1,3,8 --algo HAUSP-UB --repeats 1 --results-dir results-2026-09/counts --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-05 21:18:16,HAUSP-UB,BIBLE,0,0,0.000400,0.000,1.000,35550162,36369,172,23010,23183,8,1045,141,129196447,11753,128826864,17061,0.000000,0.298656,0.306572,48469,0,431.36,129207008,129190468,16540,13905,SUCCESS,352180,0,,146341888,25186112,33836048,18466944,,,,,850,1192,used,,,,20260905-2104
2026-09-05 21:18:44,HAUSP-UB,BIBLE,0,0,0.000350,0.000,1.000,35550162,36369,170,27267,27438,10,1452,184,166112992,11565,165627374,22492,0.000000,0.303480,0.311451,64871,0,439.80,166123257,166106434,16823,13905,SUCCESS,462722,0,,165312512,25186112,33836048,18466944,,,,,896,1300,used,,,,20260905-2104
2026-09-05 21:19:18,HAUSP-UB,BIBLE,0,0,0.000300,0.000,1.000,35550162,36369,167,33133,33300,9,1721,254,220894820,11312,220227121,30832,0.000000,0.308828,0.316861,91002,0,669.84,220904766,220887553,17213,13905,SUCCESS,636489,0,,177385472,25186112,33836048,18466944,,,,,988,1366,used,,,,20260905-2104
2026-09-05 21:20:01,HAUSP-UB,BIBLE,0,0,0.000250,0.000,1.000,35550162,36369,169,41963,42133,9,2540,373,307469633,10979,306491761,45492,0.000000,0.315067,0.323167,135751,0,480.04,307479139,307461435,17704,13905,SUCCESS,932010,0,,186232832,25186112,33836048,18466944,,,,,1103,1473,used,,,,20260905-2104
2026-09-05 21:20:31,HAUSP-UB,BMS1_SPMF,0,0,0.003500,0.000,1.000,7229030,59601,28,29948,29976,2,958,264,101714408,170,101041040,87,0.000000,0.039763,0.039814,93,0,61.46,101714541,101713590,951,497,SUCCESS,673331,0,,1110016,4788416,3121200,3355264,,,,,87,37,used,,,,20260905-2104
2026-09-05 21:21:49,HAUSP-UB,BMS1_SPMF,0,0,0.003200,0.000,1.000,7229030,59601,30,76965,76995,3,2188,689,259868862,159,258117809,94,0.000000,0.044439,0.044460,105,0,60.54,259868990,259867995,995,497,SUCCESS,1751022,0,,1853952,4788416,3121200,3355264,,,,,94,31,used,,,,20260905-2104
2026-09-05 21:24:54,HAUSP-UB,BMS1_SPMF,0,0,0.003000,0.000,1.000,7229030,59601,30,185026,185056,3,5241,1692,617422938,157,613120529,89,0.000000,0.046707,0.046716,114,0,60.53,617423063,617422043,1020,497,SUCCESS,4302377,0,,1854464,4788416,3121200,3355264,,,,,89,32,used,,,,20260905-2104
2026-09-05 21:26:25,HAUSP-UB,FIFA,0,0,0.012000,0.000,1.000,35721991,20450,73,90024,90098,7,257,54,20784913,2701,20655889,267,0.000000,0.096915,0.097026,334,0,636.20,20787449,20784128,3321,2990,SUCCESS,128691,0,,42598400,23714944,417892180,16070656,,,,,99,165,used,,,,20260905-2104
2026-09-05 21:28:48,HAUSP-UB,FIFA,0,0,0.010000,0.000,1.000,35721991,20450,73,141864,141938,7,453,98,40441435,2684,40206583,481,0.000000,0.103822,0.103913,884,0,637.88,40443938,40440571,3367,2990,SUCCESS,234304,0,,47448064,23714944,417892180,16070656,,,,,114,181,used,,,,20260905-2104
2026-09-05 21:32:56,HAUSP-UB,FIFA,0,0,0.008000,0.000,1.000,35721991,20450,73,247954,248027,7,939,202,90539544,2629,90056207,833,0.000000,0.110943,0.111020,1611,0,655.12,90541987,90538543,3444,2990,SUCCESS,482505,0,,55508992,23714944,417892180,16070656,,,,,187,186,used,,,,20260905-2104
2026-09-05 21:34:16,HAUSP-UB,KOSARAK,0,0,0.003500,0.000,1.000,400890653,990002,9013,68846,77860,53,172,13,17581194,37996,17552619,1559,0.000000,0.027770,0.029873,71,0,4002.38,17618069,17574029,44040,41270,SUCCESS,27454,0,,0,256608480,1074450560,187468288,,,,,1559,1121,used,,,,20260905-2104
2026-09-05 21:36:30,HAUSP-UB,KOSARAK,0,0,0.003000,0.000,1.000,400890653,990002,8967,124445,133412,50,399,24,40570877,37724,40515086,1537,0.000000,0.027545,0.028679,103,0,4005.61,40607506,40563157,44349,41270,SUCCESS,54696,0,,0,256608480,1074450560,187468288,,,,,1537,1095,used,,,,20260905-2104
2026-09-05 21:41:12,HAUSP-UB,KOSARAK,0,0,0.002500,0.000,1.000,400890653,990002,8967,271188,280155,50,1053,63,112759971,37412,112624256,1535,0.000000,0.027486,0.027985,131,0,4361.61,112796305,112751639,44666,41270,SUCCESS,134637,0,,145248256,256608480,1074450560,187468288,,,,,1535,1078,used,,,,20260905-2104
2026-09-05 21:41:16,HAUSP-UB,LEVIATHAN,0,0,0.002000,0.000,1.000,14156241,5834,80,3224,3305,3,124,24,15804969,8072,15739309,3685,0.000000,0.390816,0.403422,16459,0,180.24,15812324,15802388,9936,9025,SUCCESS,61706,0,,26461696,6312032,33754736,5128320,,,,,448,717,used,,,,20260905-2104
2026-09-05 21:41:21,HAUSP-UB,LEVIATHAN,0,0,0.001500,0.000,1.000,14156241,5834,85,4786,4871,3,229,44,29775013,7777,29656044,6374,0.000000,0.406731,0.419213,31684,0,213.70,29781971,29771762,10209,9025,SUCCESS,112358,0,,30879488,6312032,33754736,5128320,,,,,582,819,used,,,,20260905-2104
2026-09-05 21:41:30,HAUSP-UB,LEVIATHAN,0,0,0.001000,0.000,1.000,14156241,5834,83,8361,8444,3,527,104,67911595,7355,67634773,13964,0.000000,0.428309,0.440658,79537,0,166.93,67917825,67907139,10686,9025,SUCCESS,262464,0,,38158336,6312032,33754736,5128320,,,,,731,1125,used,,,,20260905-2104
2026-09-05 21:41:39,HAUSP-UB,SIGN,0,0,0.003000,0.000,1.000,1668652,730,16,8642,8659,1,742,232,86623963,32,86030002,60,0.000000,0.176058,0.176085,12666,0,119.50,86623981,86622960,1021,267,SUCCESS,593947,0,,5195264,1214656,74809588,905472,,,,,60,14,used,,,,20260905-2104
2026-09-05 21:41:51,HAUSP-UB,SIGN,0,0,0.002500,0.000,1.000,1668652,730,13,11990,12004,1,1137,362,131358332,28,130430215,87,0.000000,0.186807,0.186824,24194,0,119.58,131358347,131357276,1071,267,SUCCESS,928104,0,,5376640,1214656,74809588,905472,,,,,87,13,used,,,,20260905-2104
2026-09-05 21:42:10,HAUSP-UB,SIGN,0,0,0.002000,0.000,1.000,1668652,730,13,17898,17912,1,1898,629,216748383,20,215139792,96,0.000000,0.200102,0.200114,52370,0,120.05,216748395,216747276,1119,267,SUCCESS,1608583,0,,5696512,1214656,74809588,905472,,,,,96,8,used,,,,20260905-2104
2026-09-05 21:42:11,HAUSP-UB,C8T1S5I8N5K,0,0,0.000300,0.000,1.000,47416411,47133,361,255,616,10,10,11,343892,55737,299542,8496,0.000000,0.150070,0.168666,354,0,870.33,384130,315627,68503,68240,SUCCESS,28851,0,,199168,22186560,155545888,21455616,,,,,8496,15499,used,,,,20260905-2104
2026-09-05 21:42:12,HAUSP-UB,C8T1S5I8N5K,0,0,0.000200,0.000,1.000,47416411,47133,360,907,1268,10,44,35,1906734,46615,1799929,12578,0.000000,0.208598,0.219840,2623,0,931.60,1937675,1868773,68902,68240,SUCCESS,91130,0,,350464,22186560,155545888,21455616,,,,,12577,15674,used,,,,20260905-2104
2026-09-05 21:42:19,HAUSP-UB,C8T1S5I8N5K,0,0,0.000100,0.000,1.000,47416411,47133,367,5683,6050,10,392,260,20795059,30939,20123516,17178,0.000000,0.303627,0.306839,48018,0,951.54,20812370,20742430,69940,68240,SUCCESS,657890,0,,564224,22186560,155545888,21455616,,,,,17153,13628,used,,,,20260905-2104
2026-09-05 21:42:31,HAUSP-UB,C8T1S5I8N5K,0,0,0.000080,0.000,1.000,47416411,47133,357,11047,11404,10,839,549,46609560,26080,45208086,20631,0.000000,0.328680,0.330501,121512,0,1016.42,46623587,46553222,70365,68240,SUCCESS,1389412,0,,671744,22186560,155545888,21455616,,,,,20622,12053,used,,,,20260905-2104
