# run_id=20260904-0906 git=995aaa5 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(2) cmd=--exp 1 --dataset leviathan,sign --algo EHAUSM-R,HAUSP-UB[noL2+L3@node+noEUCS] --repeats 1 --timeout 90 --results-dir results-2026-09/exp1_probe_noeucs
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-04 09:06:03,EHAUSM-R,LEVIATHAN,0,0,0.003000,0.000,0.200,2833171,1166,23,831,855,0,0,0,2369635,2739,2352790,0,0.451577,0.000000,0.000000,4440,0,80.74,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:06:05,EHAUSM-R,LEVIATHAN,1,0,0.003000,0.000,0.200,5742029,2332,13,1810,1824,0,0,0,4381765,4516,4358708,0,0.443280,0.000000,0.000000,5965,0,73.94,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:06:09,EHAUSM-R,LEVIATHAN,2,0,0.003000,0.000,0.200,8655898,3498,10,3032,3042,0,0,0,5564058,5931,5538626,0,0.442553,0.000000,0.000000,6387,0,256.19,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:06:13,EHAUSM-R,LEVIATHAN,3,0,0.003000,0.000,0.200,11406844,4664,12,3971,3984,0,0,0,6078888,6893,6053759,0,0.438996,0.000000,0.000000,6281,0,211.32,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:06:18,EHAUSM-R,LEVIATHAN,4,0,0.003000,0.000,0.200,14156241,5834,25,5097,5123,0,0,0,6599011,7777,6572852,0,0.439127,0.000000,0.000000,6511,0,200.74,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:06:21,HAUSP-UB[noL2+L3@node+noEUCS],LEVIATHAN,0,0,0.003000,0.000,0.200,2833171,1166,47,2142,2190,6,8,916,2369635,3333,0,2352196,0.000000,0.473647,0.475014,4440,0,72.90,2372374,2365769,6605,4038,SUCCESS,2369041,1,,7307776,1192704,8505360,1136384,,,,,2352196,594,used,,,,20260904-0906
2026-09-04 09:06:25,HAUSP-UB[noL2+L3@node+noEUCS],LEVIATHAN,1,0,0.003000,0.000,0.200,5742029,2332,25,4099,4125,1,11,1696,4381765,5060,0,4358164,0.000000,0.461651,0.462962,5965,0,113.13,4382243,4380477,4333,5731,SUCCESS,4381221,1,,16768640,2485664,16893968,7455104,,,,,4358164,544,used,,,,20260904-0906
2026-09-04 09:06:31,HAUSP-UB[noL2+L3@node+noEUCS],LEVIATHAN,2,0,0.003000,0.000,0.200,8655898,3498,46,5440,5487,5,13,2154,5564058,6468,0,5538089,0.000000,0.452510,0.453674,6387,0,130.25,5564258,5562801,4097,7137,SUCCESS,5563521,1,,30806784,3784224,16945488,18573312,,,,,5538089,537,used,,,,20260904-0906
2026-09-04 09:06:37,HAUSP-UB[noL2+L3@node+noEUCS],LEVIATHAN,3,0,0.003000,0.000,0.200,11406844,4664,46,6174,6220,0,13,2357,6078888,7425,0,6053227,0.000000,0.446214,0.447374,6281,0,161.53,6078644,6077623,3712,8110,SUCCESS,6078356,1,,44401920,5049280,16945488,31409152,,,,,6053227,532,used,,,,20260904-0906
2026-09-04 09:06:45,HAUSP-UB[noL2+L3@node+noEUCS],LEVIATHAN,4,0,0.003000,0.000,0.200,14156241,5834,18,6925,6944,0,14,2525,6599011,8336,0,6572293,0.000000,0.440224,0.441348,6511,0,247.14,6598678,6597635,3782,9025,SUCCESS,6598452,1,,44664576,6312032,33754736,47747200,,,,,6572293,559,used,,,,20260904-0906
2026-09-04 09:07:00,EHAUSM-R,SIGN,0,0,0.003000,0.000,0.200,319686,146,4,14348,14353,0,0,0,106349081,0,104965619,0,0.287385,0.000000,0.000000,23387,0,89.63,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:07:19,EHAUSM-R,SIGN,1,0,0.003000,0.000,0.200,642036,292,1,18672,18674,0,0,0,102988598,3,102048966,0,0.294609,0.000000,0.000000,17303,0,39.39,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:07:38,EHAUSM-R,SIGN,2,0,0.003000,0.000,0.200,955150,438,2,18717,18720,0,0,0,85023548,12,84336199,0,0.293927,0.000000,0.000000,14594,0,54.12,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:07:59,EHAUSM-R,SIGN,3,0,0.003000,0.000,0.200,1316615,584,2,20791,20793,0,0,0,84148511,14,83536343,0,0.284258,0.000000,0.000000,12887,0,39.50,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:08:23,EHAUSM-R,SIGN,4,0,0.003000,0.000,0.200,1668652,730,3,24137,24141,0,0,0,87193705,18,86599818,0,0.284660,0.000000,0.000000,12666,0,61.36,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260904-0906
2026-09-04 09:09:53,HAUSP-UB[noL2+L3@node+noEUCS],SIGN,0,0,0.003000,0.000,0.200,319686,146,19,89113,89133,1,585,41235,106349081,2,0,104965617,0.000000,0.387339,0.387339,23387,0,122.69,106349081,106347209,1872,217,SUCCESS,106349079,1,,2043648,242848,74809588,179968,,,,,104965617,2,used,,,,20260904-0906
2026-09-04 09:11:21,HAUSP-UB[noL2+L3@node+noEUCS],SIGN,1,0,0.003000,0.000,0.200,642036,292,2,87533,87536,0,404,39940,102988598,22,0,102048947,0.000000,0.390766,0.390766,17303,0,127.08,102988384,102988345,1694,246,SUCCESS,102988579,1,,4197632,486720,74809588,387456,,,,,102048947,19,used,,,,20260904-0906
2026-09-04 09:12:34,HAUSP-UB[noL2+L3@node+noEUCS],SIGN,2,0,0.003000,0.000,0.200,955150,438,1,73336,73337,0,301,32948,85023548,33,0,84336178,0.000000,0.385091,0.385091,14594,0,127.39,85023314,85023314,1660,255,SUCCESS,85023527,1,,6416384,721888,74809588,564224,,,,,84336178,21,used,,,,20260904-0906
2026-09-04 09:13:49,HAUSP-UB[noL2+L3@node+noEUCS],SIGN,3,0,0.003000,0.000,0.200,1316615,584,1,74271,74272,0,276,32968,84148511,30,0,83536327,0.000000,0.374181,0.374181,12887,0,127.68,84148270,84148270,1624,267,SUCCESS,84148495,1,,8016896,963200,74809588,805760,,,,,83536327,16,used,,,,20260904-0906
