# run_id=20260905-0336 git=de94c3a jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 7 --dataset syn_c8t1s5i8n5k,leviathan --k 10 --repeats 3 --repeats-min-seconds 10 --results-dir results-2026-09 --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-05 03:36:20,HAUSP-UB,LEVIATHAN,0,0,0.003000,0.000,0.100,1405752,583,41,172,214,7,15,6,1545747,1782,1528200,1225,0.000000,0.340966,0.352914,3596,0,359.05,1546960,1543830,3130,2510,SUCCESS,16113,0,equal,1673728,599424,295015684,603648,,,,,360,569,used,,,,20260905-0336
2026-09-05 03:36:21,HAUSP-UB,LEVIATHAN,1,0,0.003000,0.000,0.100,2833171,1166,4,230,234,0,11,6,2192133,3333,2173480,1214,0.000000,0.363978,0.376474,4440,0,368.65,2192362,2190826,2156,4038,SUCCESS,17202,0,equal,3305728,1192704,295015684,2772352,,,,,357,594,used,,,,20260905-0336
2026-09-05 03:36:21,HAUSP-UB,LEVIATHAN,2,0,0.003000,0.000,0.100,4269015,1749,194,620,815,1,23,8,3127387,4297,3105605,1393,0.000000,0.358347,0.370489,4970,0,565.66,3127046,3126144,1530,4961,SUCCESS,20095,0,equal,5161472,1834880,8520496,6537216,,,,,306,600,used,,,,20260905-0336
2026-09-05 03:36:22,HAUSP-UB,LEVIATHAN,3,0,0.003000,0.000,0.100,5742029,2332,19,624,644,0,18,9,4030364,5060,4005126,1637,0.000000,0.369428,0.382278,5965,0,567.83,4029919,4029131,1395,5731,SUCCESS,23380,0,equal,0,2485664,16909104,12238208,,,,,323,544,used,,,,20260905-0336
2026-09-05 03:36:23,HAUSP-UB,LEVIATHAN,4,0,0.003000,0.000,0.100,7187071,2915,5,842,848,0,21,9,4726157,5754,4698659,1726,0.000000,0.370008,0.382503,6373,0,275.87,4725638,4724961,1302,6413,SUCCESS,25535,0,equal,9662336,3129504,16909104,19980288,,,,,305,542,used,,,,20260905-0336
2026-09-05 03:36:24,HAUSP-UB,LEVIATHAN,5,0,0.003000,0.000,0.100,8655898,3498,8,1022,1031,1,22,10,5067872,6468,5040244,1659,0.000000,0.371106,0.383258,6387,0,301.70,5067390,5066651,1359,7137,SUCCESS,25753,0,equal,12196096,3784224,16945488,30082816,,,,,321,537,used,,,,20260905-0336
2026-09-05 03:36:25,HAUSP-UB,LEVIATHAN,6,0,0.003000,0.000,0.100,10094142,4081,6,1196,1202,0,23,10,5340196,7007,5312569,1711,0.000000,0.368765,0.381408,6384,0,330.25,5339509,5338955,1189,7683,SUCCESS,25679,0,equal,14200832,4438656,16945488,42040448,,,,,320,557,used,,,,20260905-0336
2026-09-05 03:36:26,HAUSP-UB,LEVIATHAN,7,0,0.003000,0.000,0.100,11406844,4664,6,1341,1347,0,24,10,5503713,7425,5476314,1738,0.000000,0.365936,0.378513,6281,0,359.45,5502923,5502487,1079,8110,SUCCESS,25454,0,equal,17928192,5049280,16945488,52693504,,,,,325,532,used,,,,20260905-0336
2026-09-05 03:36:28,HAUSP-UB,LEVIATHAN,8,0,0.003000,0.000,0.100,12722726,5247,6,1528,1535,0,25,10,5813226,7806,5785152,1782,0.000000,0.364166,0.376967,6322,0,389.11,5812378,5811995,1035,8491,SUCCESS,26073,0,equal,21225472,5670080,33722704,64259968,,,,,325,544,used,,,,20260905-0336
2026-09-05 03:36:30,HAUSP-UB,LEVIATHAN,9,0,0.003000,0.000,0.100,14156241,5834,6,1823,1829,0,47,10,5958464,8336,5929969,1777,0.000000,0.366961,0.379732,6511,0,427.87,5957750,5957216,1188,9025,SUCCESS,26495,0,equal,21857280,6312032,33754736,83074560,,,,,336,559,used,,,,20260905-0336
