# run_id=20260905-1402 git=de94c3a jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 7 --dataset fifa --k 100 --algo HAUSP-UB --repeats 1 --results-dir results-2026-09/exp7_memprobe --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,RunID
2026-09-05 14:02:02,HAUSP-UB,FIFA,0,0,0.012000,0.000,0.010,383134,205,23,328,352,5,30,14,3906366,620,3869933,1273,0.000000,0.136320,0.136634,2890,0,283.50,3906794,3905502,1292,999,SUCCESS,36176,0,equal,214528,234592,155107840,224896,,,,,1208,192,20260905-1402
2026-09-05 14:02:03,HAUSP-UB,FIFA,1,0,0.012000,0.000,0.010,762304,410,5,1045,1051,0,51,27,11008582,900,10936609,316,0.000000,0.095044,0.095190,809,0,286.33,11008248,11007997,544,1225,SUCCESS,71678,0,equal,61952,475776,155107840,592128,,,,,256,235,20260905-1402
2026-09-05 14:02:05,HAUSP-UB,FIFA,2,0,0.012000,0.000,0.010,1109551,615,1,1871,1872,0,63,32,13891854,1066,13806731,233,0.000000,0.097001,0.097127,329,0,289.21,13891478,13891318,478,1377,SUCCESS,84828,0,equal,334848,721312,155107840,1041024,,,,,155,217,20260905-1402
2026-09-05 14:02:08,HAUSP-UB,FIFA,3,0,0.012000,0.000,0.010,1487361,820,1,2737,2738,0,74,37,16401195,1238,16304894,222,0.000000,0.096753,0.096868,305,0,292.09,16400842,16400664,504,1553,SUCCESS,95996,0,equal,550912,970720,155107840,1920128,,,,,131,214,20260905-1402
2026-09-05 14:02:12,HAUSP-UB,FIFA,4,0,0.012000,0.000,0.010,1861597,1025,1,3460,3461,0,76,38,16561501,1348,16462547,222,0.000000,0.095702,0.095818,315,0,294.98,16561087,16560982,433,1654,SUCCESS,98643,0,equal,1409024,1212960,155107840,2454144,,,,,120,209,20260905-1402
2026-09-05 14:02:16,HAUSP-UB,FIFA,5,0,0.012000,0.000,0.010,2216506,1230,2,4148,4150,0,76,38,16354940,1433,16255519,215,0.000000,0.099483,0.099594,273,0,298.54,16354503,16354429,406,1736,SUCCESS,99105,0,equal,2142208,1454112,155107840,3101184,,,,,115,216,20260905-1402
2026-09-05 14:02:21,HAUSP-UB,FIFA,6,0,0.012000,0.000,0.010,2599922,1435,0,5604,5605,0,88,44,18549069,1525,18434131,205,0.000000,0.098622,0.098716,428,0,301.42,18548652,18548556,420,1823,SUCCESS,114634,0,equal,2531328,1701280,155107840,3937280,,,,,107,206,20260905-1402
2026-09-05 14:02:28,HAUSP-UB,FIFA,7,0,0.012000,0.000,0.010,2995001,1640,0,7122,7123,0,98,49,20666618,1590,20538217,231,0.000000,0.095442,0.095538,380,0,301.42,20666181,20666110,404,1886,SUCCESS,128073,0,equal,2199552,1957312,155107840,4793472,,,,,107,204,20260905-1402
2026-09-05 14:02:36,HAUSP-UB,FIFA,8,0,0.012000,0.000,0.010,3383967,1845,0,7598,7598,0,95,47,19866210,1672,19744021,204,0.000000,0.095190,0.095287,313,0,307.19,19865799,19865699,441,1977,SUCCESS,121901,0,equal,3514368,2210304,155107840,5681152,,,,,113,197,20260905-1402
2026-09-05 14:02:44,HAUSP-UB,FIFA,9,0,0.012000,0.000,0.010,3763910,2050,0,8112,8113,0,92,45,19078513,1716,18960982,229,0.000000,0.094800,0.094906,274,0,310.08,19078060,19078011,399,2030,SUCCESS,117239,0,equal,4120576,2456544,155107840,6388864,,,,,129,192,20260905-1402
2026-09-05 14:02:53,HAUSP-UB,FIFA,10,0,0.012000,0.000,0.010,4129011,2255,0,8716,8717,0,91,45,18594492,1716,18478463,270,0.000000,0.095906,0.096015,216,0,311.66,18593996,18593992,350,2044,SUCCESS,115713,0,equal,5062656,2709472,155107840,6695808,,,,,136,182,20260905-1402
2026-09-05 14:03:02,HAUSP-UB,FIFA,11,0,0.012000,0.000,0.010,4527573,2460,0,9625,9626,0,109,46,19037458,1770,18919495,271,0.000000,0.095115,0.095227,202,0,311.66,19037002,19036952,386,2094,SUCCESS,117641,0,equal,4456448,2967232,155107840,7600512,,,,,131,182,20260905-1402
2026-09-05 14:03:13,HAUSP-UB,FIFA,12,0,0.012000,0.000,0.010,4895113,2665,0,10867,10868,0,134,47,19902624,1813,19779780,277,0.000000,0.094890,0.095003,211,0,296.95,19902159,19902122,373,2131,SUCCESS,122509,0,equal,5267456,3215552,155107840,8373504,,,,,126,184,20260905-1402
2026-09-05 14:03:26,HAUSP-UB,FIFA,13,0,0.012000,0.000,0.010,5242259,2870,0,12494,12495,0,140,51,21282540,1858,21151606,304,0.000000,0.094910,0.095018,187,0,298.89,21282087,21282051,372,2166,SUCCESS,130566,0,equal,5324800,3457504,155107840,9225600,,,,,116,180,20260905-1402
