# run_id=20260907-1606 git=45d7065 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 11 --dataset sign,syn_c8t1s5i8n5k --k 100 --algo HAUSP-UB --repeats 1 --mem-mode live --results-dir results-2026-09/mem --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-07 16:06:43,HAUSP-UB,SIGN,0,0,0.003000,0.000,0.200,319686,146,18,5859,5878,4,787,536,106348584,2,104964977,143,0.000000,0.178773,0.178783,23387,0,111.07,106348584,106347647,937,217,SUCCESS,1383605,0,warm20,831872,242848,74809588,179968,,,,,143,2,live,108.01,108.01,6,20260907-1606
2026-09-07 16:06:49,HAUSP-UB,SIGN,1,0,0.003000,0.000,0.008,334092,152,0,5875,5876,0,773,525,107046041,6,105693571,181,0.000000,0.178764,0.178773,23347,0,110.92,107045824,107045823,721,218,SUCCESS,1352464,0,warm20,1356288,253504,74809588,191360,,,,,181,6,live,108.26,108.26,6,20260907-1606
2026-09-07 16:06:55,HAUSP-UB,SIGN,2,0,0.003000,0.000,0.008,345121,158,0,5792,5793,0,754,506,104450114,7,103147618,332,0.000000,0.179987,0.179998,23125,0,111.04,104449896,104449896,720,222,SUCCESS,1302489,0,warm20,1455104,261888,74809588,203264,,,,,332,7,live,108.37,108.37,6,20260907-1606
2026-09-07 16:07:01,HAUSP-UB,SIGN,3,0,0.003000,0.000,0.008,358047,164,0,5896,5897,0,753,501,105093652,8,103807928,252,0.000000,0.181684,0.181694,22486,0,111.11,105093430,105093424,722,223,SUCCESS,1285716,0,warm20,1513728,272192,74809588,211456,,,,,252,8,live,108.44,108.44,6,20260907-1606
2026-09-07 16:07:07,HAUSP-UB,SIGN,4,0,0.003000,0.000,0.008,369331,170,0,5689,5689,0,719,474,100526386,7,99312983,124,0.000000,0.182239,0.182250,21958,0,111.18,100526163,100526163,720,224,SUCCESS,1213396,0,warm20,1567232,280416,74809588,221184,,,,,124,7,live,108.51,108.51,6,20260907-1606
2026-09-07 16:07:13,HAUSP-UB,SIGN,5,0,0.003000,0.000,0.008,383289,176,0,5718,5718,0,712,462,100368374,7,99186994,47,0.000000,0.182254,0.182265,21751,0,111.26,100368150,100368145,725,224,SUCCESS,1181373,0,warm20,1631232,291584,74809588,225792,,,,,47,7,live,108.59,108.59,6,20260907-1606
2026-09-07 16:07:18,HAUSP-UB,SIGN,6,0,0.003000,0.000,0.008,393230,182,0,5608,5608,0,688,444,97609105,10,96474455,41,0.000000,0.183995,0.184006,21796,0,111.33,97608881,97608881,719,225,SUCCESS,1134640,0,warm20,1696768,299488,74809588,229632,,,,,41,10,live,108.66,108.66,6,20260907-1606
2026-09-07 16:07:24,HAUSP-UB,SIGN,7,0,0.003000,0.000,0.008,408594,188,0,5426,5426,0,651,418,94015963,10,92946061,48,0.000000,0.183682,0.183695,20533,0,112.69,94015738,94015736,726,226,SUCCESS,1069892,0,warm20,1759232,310304,74809588,242304,,,,,48,10,live,108.74,108.74,6,20260907-1606
2026-09-07 16:07:29,HAUSP-UB,SIGN,8,0,0.003000,0.000,0.008,428453,194,0,5731,5731,0,680,429,98710046,10,97614223,138,0.000000,0.183816,0.183828,20113,0,112.79,98709821,98709818,728,227,SUCCESS,1095814,0,warm20,1835008,323296,74809588,251520,,,,,138,9,live,108.84,108.84,6,20260907-1606
2026-09-07 16:07:36,HAUSP-UB,SIGN,9,0,0.003000,0.000,0.008,446004,200,0,6402,6403,0,753,472,109898518,10,108690809,166,0.000000,0.183474,0.183485,19376,0,111.62,109898292,109898288,731,227,SUCCESS,1207700,0,warm20,1926144,334784,74809588,259072,,,,,166,9,live,108.94,108.94,7,20260907-1606
