# run_id=20260911-1908 git=28fdece jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 11 --dataset sign,syn_c8t1s5i8n5k --k 100 --algo HAUSP-UB[noEUCS] --repeats 3 --results-dir results-2026-09b --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-11 19:08:54,HAUSP-UB[noEUCS],SIGN,0,0,0.003000,0.000,0.200,319686,146,11,3129,3141,6,0,0,106349081,2,104965474,143,0.000000,0.178773,0.178783,23387,0,14.52,106349081,106348144,937,217,SUCCESS,1383605,0,warm20,997376,242848,0,179968,,,,,143,2,used,,,,20260911-1908
2026-09-11 19:08:58,HAUSP-UB[noEUCS],SIGN,1,0,0.003000,0.000,0.008,334092,152,0,3104,3104,0,0,0,107046451,6,105693981,181,0.000000,0.178764,0.178773,23347,0,15.16,107046234,107046233,721,218,SUCCESS,1352464,0,warm20,1285632,253504,0,191360,,,,,181,6,used,,,,20260911-1908
2026-09-11 19:09:01,HAUSP-UB[noEUCS],SIGN,2,0,0.003000,0.000,0.008,345121,158,0,3087,3087,0,0,0,104450506,7,103148010,332,0.000000,0.179987,0.179998,23125,0,15.48,104450288,104450288,720,222,SUCCESS,1302489,0,warm20,1426432,261888,0,202240,,,,,332,7,used,,,,20260911-1908
2026-09-11 19:09:04,HAUSP-UB[noEUCS],SIGN,3,0,0.003000,0.000,0.008,358047,164,0,3190,3191,0,0,0,105095072,8,103809348,252,0.000000,0.181684,0.181694,22486,0,15.69,105094850,105094844,722,223,SUCCESS,1285716,0,warm20,1455104,272192,0,211456,,,,,252,8,used,,,,20260911-1908
2026-09-11 19:09:07,HAUSP-UB[noEUCS],SIGN,4,0,0.003000,0.000,0.008,369331,170,0,3097,3097,0,0,0,100527745,7,99314342,124,0.000000,0.182239,0.182250,21958,0,16.01,100527522,100527522,720,224,SUCCESS,1213396,0,warm20,1547520,280416,0,221184,,,,,124,7,used,,,,20260911-1908
2026-09-11 19:09:10,HAUSP-UB[noEUCS],SIGN,5,0,0.003000,0.000,0.008,383289,176,0,3158,3158,0,0,0,100371827,7,99190447,47,0.000000,0.182254,0.182265,21751,0,16.01,100371603,100371598,725,224,SUCCESS,1181373,0,warm20,1564160,291584,0,225792,,,,,47,7,used,,,,20260911-1908
2026-09-11 19:09:13,HAUSP-UB[noEUCS],SIGN,6,0,0.003000,0.000,0.008,393230,182,0,3127,3127,0,0,0,97612223,10,96477573,41,0.000000,0.183995,0.184006,21796,0,16.34,97611999,97611999,719,225,SUCCESS,1134640,0,warm20,1679360,299488,0,229632,,,,,41,10,used,,,,20260911-1908
2026-09-11 19:09:16,HAUSP-UB[noEUCS],SIGN,7,0,0.003000,0.000,0.008,408594,188,0,3072,3072,0,0,0,94018829,10,92948927,48,0.000000,0.183682,0.183695,20533,0,16.54,94018604,94018602,726,226,SUCCESS,1069892,0,warm20,1697792,310304,0,242304,,,,,48,10,used,,,,20260911-1908
2026-09-11 19:09:20,HAUSP-UB[noEUCS],SIGN,8,0,0.003000,0.000,0.008,428453,194,0,3275,3275,0,0,0,98714907,10,97619084,138,0.000000,0.183816,0.183828,20113,0,16.86,98714682,98714679,728,227,SUCCESS,1095814,0,warm20,1789952,323296,0,251520,,,,,138,9,used,,,,20260911-1908
2026-09-11 19:09:23,HAUSP-UB[noEUCS],SIGN,9,0,0.003000,0.000,0.008,446004,200,0,3684,3684,0,0,0,109908170,10,108700461,166,0.000000,0.183474,0.183485,19376,0,17.18,109907944,109907940,731,227,SUCCESS,1207700,0,warm20,1932800,334784,0,259072,,,,,166,9,used,,,,20260911-1908
