# run_id=20260912-0034 git=28fdece jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 7 --dataset bible,bms1_spmf,fifa,kosarak,leviathan --k 10,20,50,100 --algo HAUSP-UB[noEUCS] --repeats 3 --repeats-min-seconds 10 --results-dir results-2026-09b --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-12 00:35:00,HAUSP-UB[noEUCS],BIBLE,0,0,0.001000,0.000,0.100,3645762,3637,32,687,719,10,0,0,7573328,3717,7519962,2215,0.000000,0.245375,0.251498,6249,0,150.34,7576185,7570070,6115,4911,SUCCESS,50793,0,equal,11103744,2617056,0,2218112,,,,,502,860,used,,,,20260912-0034
2026-09-12 00:35:03,HAUSP-UB[noEUCS],BIBLE,1,0,0.001000,0.000,0.100,7618336,7274,6,2570,2577,1,0,0,25209543,5061,25087295,5328,0.000000,0.240217,0.246175,9961,0,223.94,25209032,25207558,2678,6209,SUCCESS,116697,0,equal,31864960,5507104,0,16046336,,,,,438,661,used,,,,20260912-0034
2026-09-12 00:35:06,HAUSP-UB[noEUCS],BIBLE,2,0,0.001000,0.000,0.100,11275336,10911,14,2970,2984,0,0,0,22510808,6485,22421628,4191,0.000000,0.251681,0.258440,8942,0,268.72,22510437,22509118,2699,7587,SUCCESS,84778,0,equal,20504832,8054528,0,49743744,,,,,436,647,used,,,,20260912-0034
2026-09-12 00:35:10,HAUSP-UB[noEUCS],BIBLE,3,0,0.001000,0.000,0.100,15285217,14548,2,4107,4110,0,0,0,25412914,7802,25321691,4707,0.000000,0.271203,0.279214,10462,0,313.47,25412414,25411088,2647,8894,SUCCESS,86226,0,equal,60415232,10771520,0,94194560,,,,,425,715,used,,,,20260912-0034
2026-09-12 00:35:14,HAUSP-UB[noEUCS],BIBLE,4,0,0.001000,0.000,0.100,18462780,18185,2,4508,4511,0,0,0,24680224,9000,24596098,4262,0.000000,0.275549,0.283641,9860,0,392.70,24679593,24678436,2497,10103,SUCCESS,79564,0,equal,68616192,12981216,0,152211968,,,,,437,737,used,,,,20260912-0034
2026-09-12 00:35:18,HAUSP-UB[noEUCS],BIBLE,5,0,0.001000,0.000,0.100,21273471,21822,2,4285,4287,0,0,0,21228020,9874,21158409,3565,0.000000,0.273114,0.281161,8282,0,455.25,21227051,21226235,2104,10949,SUCCESS,65728,0,equal,70692864,15003680,0,200666368,,,,,422,740,used,,,,20260912-0034
2026-09-12 00:35:24,HAUSP-UB[noEUCS],BIBLE,6,0,0.001000,0.000,0.100,25099415,25459,3,5641,5645,0,0,0,25411433,10456,25333671,4026,0.000000,0.270850,0.278838,8708,0,528.91,25410204,25409609,1853,11543,SUCCESS,73431,0,equal,92786688,17721728,0,238985984,,,,,431,736,used,,,,20260912-0034
2026-09-12 00:35:30,HAUSP-UB[noEUCS],BIBLE,7,0,0.001000,0.000,0.100,28638230,29096,2,6153,6156,0,0,0,25136119,11156,25062571,3751,0.000000,0.269621,0.277548,8225,0,600.34,25134979,25134281,1957,12233,SUCCESS,69458,0,equal,100417536,20257248,0,293135232,,,,,414,753,used,,,,20260912-0034
2026-09-12 00:35:36,HAUSP-UB[noEUCS],BIBLE,8,0,0.001000,0.000,0.100,31850163,32733,2,6023,6026,0,0,0,22734167,11775,22669892,3089,0.000000,0.265305,0.273011,7238,0,667.45,22732959,22732353,1873,12848,SUCCESS,60853,0,equal,108396544,22591200,0,343376768,,,,,417,750,used,,,,20260912-0034
2026-09-12 00:35:43,HAUSP-UB[noEUCS],BIBLE,9,0,0.001000,0.000,0.100,35550162,36369,2,6223,6226,0,0,0,21936545,12820,21877203,2933,0.000000,0.261646,0.269156,6713,0,780.45,21935751,21934690,2319,13905,SUCCESS,56071,0,equal,98711552,25186112,0,440775296,,,,,428,766,used,,,,20260912-0034
2026-09-12 00:35:44,HAUSP-UB[noEUCS],BIBLE,0,1,0.001000,0.000,0.100,3645762,3637,18,571,590,2,0,0,7573328,3717,7519962,2215,0.000000,0.245375,0.251498,6249,0,145.26,7576185,7570070,6115,4911,SUCCESS,50793,0,equal,11507200,2617056,0,2218112,,,,,502,860,used,,,,20260912-0034
2026-09-12 00:35:46,HAUSP-UB[noEUCS],BIBLE,1,1,0.001000,0.000,0.100,7618336,7274,6,2546,2552,1,0,0,25209543,5061,25087295,5328,0.000000,0.240217,0.246175,9961,0,218.32,25209032,25207558,2678,6209,SUCCESS,116697,0,equal,31787136,5507104,0,16046336,,,,,438,661,used,,,,20260912-0034
2026-09-12 00:35:49,HAUSP-UB[noEUCS],BIBLE,2,1,0.001000,0.000,0.100,11275336,10911,3,2893,2896,0,0,0,22510808,6485,22421628,4191,0.000000,0.251681,0.258440,8942,0,251.54,22510437,22509118,2699,7587,SUCCESS,84778,0,equal,37834752,8054528,0,49743744,,,,,436,647,used,,,,20260912-0034
2026-09-12 00:35:53,HAUSP-UB[noEUCS],BIBLE,3,1,0.001000,0.000,0.100,15285217,14548,2,4067,4070,0,0,0,25412914,7802,25321691,4707,0.000000,0.271203,0.279214,10462,0,309.70,25412414,25411088,2647,8894,SUCCESS,86226,0,equal,53968128,10771520,0,94194560,,,,,425,715,used,,,,20260912-0034
2026-09-12 00:35:58,HAUSP-UB[noEUCS],BIBLE,4,1,0.001000,0.000,0.100,18462780,18185,2,4535,4537,0,0,0,24680224,9000,24596098,4262,0.000000,0.275549,0.283641,9860,0,394.72,24679593,24678436,2497,10103,SUCCESS,79564,0,equal,68206592,12981216,0,152211968,,,,,437,737,used,,,,20260912-0034
2026-09-12 00:36:02,HAUSP-UB[noEUCS],BIBLE,5,1,0.001000,0.000,0.100,21273471,21822,2,4347,4349,0,0,0,21228020,9874,21158409,3565,0.000000,0.273114,0.281161,8282,0,458.30,21227051,21226235,2104,10949,SUCCESS,65728,0,equal,73740288,15003680,0,200666368,,,,,422,740,used,,,,20260912-0034
2026-09-12 00:36:08,HAUSP-UB[noEUCS],BIBLE,6,1,0.001000,0.000,0.100,25099415,25459,2,5685,5688,0,0,0,25411433,10456,25333671,4026,0.000000,0.270850,0.278838,8708,0,526.93,25410204,25409609,1853,11543,SUCCESS,73431,0,equal,91721728,17721728,0,238985984,,,,,431,736,used,,,,20260912-0034
2026-09-12 00:36:14,HAUSP-UB[noEUCS],BIBLE,7,1,0.001000,0.000,0.100,28638230,29096,2,6187,6190,0,0,0,25136119,11156,25062571,3751,0.000000,0.269621,0.277548,8225,0,612.74,25134979,25134281,1957,12233,SUCCESS,69458,0,equal,100417536,20257248,0,293135232,,,,,414,753,used,,,,20260912-0034
2026-09-12 00:36:20,HAUSP-UB[noEUCS],BIBLE,8,1,0.001000,0.000,0.100,31850163,32733,2,6031,6034,0,0,0,22734167,11775,22669892,3089,0.000000,0.265305,0.273011,7238,0,774.20,22732959,22732353,1873,12848,SUCCESS,60853,0,equal,108396544,22591200,0,343376768,,,,,417,750,used,,,,20260912-0034
2026-09-12 00:36:26,HAUSP-UB[noEUCS],BIBLE,9,1,0.001000,0.000,0.100,35550162,36369,3,6227,6231,0,0,0,21936545,12820,21877203,2933,0.000000,0.261646,0.269156,6713,0,1004.16,21935751,21934690,2319,13905,SUCCESS,56071,0,equal,101136384,25186112,0,440775296,,,,,428,766,used,,,,20260912-0034
2026-09-12 00:36:27,HAUSP-UB[noEUCS],BIBLE,0,2,0.001000,0.000,0.100,3645762,3637,5,577,583,1,0,0,7573328,3717,7519962,2215,0.000000,0.245375,0.251498,6249,0,142.69,7576185,7570070,6115,4911,SUCCESS,50793,0,equal,11726336,2617056,0,2218112,,,,,502,860,used,,,,20260912-0034
2026-09-12 00:36:30,HAUSP-UB[noEUCS],BIBLE,1,2,0.001000,0.000,0.100,7618336,7274,2,2609,2611,0,0,0,25209543,5061,25087295,5328,0.000000,0.240217,0.246175,9961,0,204.20,25209032,25207558,2678,6209,SUCCESS,116697,0,equal,28029056,5507104,0,16046336,,,,,438,661,used,,,,20260912-0034
2026-09-12 00:36:33,HAUSP-UB[noEUCS],BIBLE,2,2,0.001000,0.000,0.100,11275336,10911,2,2885,2888,0,0,0,22510808,6485,22421628,4191,0.000000,0.251681,0.258440,8942,0,241.87,22510437,22509118,2699,7587,SUCCESS,84778,0,equal,32304128,8054528,0,49743744,,,,,436,647,used,,,,20260912-0034
2026-09-12 00:36:37,HAUSP-UB[noEUCS],BIBLE,3,2,0.001000,0.000,0.100,15285217,14548,2,4029,4032,0,0,0,25412914,7802,25321691,4707,0.000000,0.271203,0.279214,10462,0,314.23,25412414,25411088,2647,8894,SUCCESS,86226,0,equal,55930112,10771520,0,94194560,,,,,425,715,used,,,,20260912-0034
2026-09-12 00:36:41,HAUSP-UB[noEUCS],BIBLE,4,2,0.001000,0.000,0.100,18462780,18185,2,4477,4479,0,0,0,24680224,9000,24596098,4262,0.000000,0.275549,0.283641,9860,0,399.06,24679593,24678436,2497,10103,SUCCESS,79564,0,equal,68616192,12981216,0,152211968,,,,,437,737,used,,,,20260912-0034
2026-09-12 00:36:46,HAUSP-UB[noEUCS],BIBLE,5,2,0.001000,0.000,0.100,21273471,21822,2,4301,4303,0,0,0,21228020,9874,21158409,3565,0.000000,0.273114,0.281161,8282,0,457.29,21227051,21226235,2104,10949,SUCCESS,65728,0,equal,75608064,15003680,0,200666368,,,,,422,740,used,,,,20260912-0034
2026-09-12 00:36:51,HAUSP-UB[noEUCS],BIBLE,6,2,0.001000,0.000,0.100,25099415,25459,3,5656,5659,0,0,0,25411433,10456,25333671,4026,0.000000,0.270850,0.278838,8708,0,532.56,25410204,25409609,1853,11543,SUCCESS,73431,0,equal,92786688,17721728,0,238985984,,,,,431,736,used,,,,20260912-0034
2026-09-12 00:36:58,HAUSP-UB[noEUCS],BIBLE,7,2,0.001000,0.000,0.100,28638230,29096,2,6145,6148,0,0,0,25136119,11156,25062571,3751,0.000000,0.269621,0.277548,8225,0,605.22,25134979,25134281,1957,12233,SUCCESS,69458,0,equal,94879744,20257248,0,293135232,,,,,414,753,used,,,,20260912-0034
