# run_id=20260911-2211 git=28fdece jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 9 --algo HAUSP-UB[noL2+L3@node+nopool+noEUCS] --repeats 3 --results-dir results-2026-09b --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-11 22:11:50,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,0,0,0.001000,0.000,0.200,7617167,7273,40,3355,3396,7,0,0,25214943,5060,0,25097998,0.000000,0.408915,0.409846,9964,0,796.14,25219342,0,11513,6208,SUCCESS,25214282,0,,344448,5506208,0,4278784,,,,,25097998,661,used,,,,20260911-2211
2026-09-11 22:11:55,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,1,0,0.001000,0.000,0.200,15283678,14546,19,4864,4884,3,0,0,25415115,7802,0,25328590,0.000000,0.420839,0.421966,10469,0,901.19,25415995,0,8255,8894,SUCCESS,25414401,0,,6226560,10770464,0,8159872,,,,,25328590,714,used,,,,20260911-2211
2026-09-11 22:12:01,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,2,0,0.001000,0.000,0.200,21271931,21819,24,5073,5098,1,0,0,21229906,9874,0,21163853,0.000000,0.410812,0.411881,8283,0,988.83,21230147,0,7296,10949,SUCCESS,21229167,0,,10134272,15002144,0,11551616,,,,,21163853,739,used,,,,20260911-2211
2026-09-11 22:12:08,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,3,0,0.001000,0.000,0.200,28633935,29092,11,7129,7141,2,0,0,25139190,11155,0,25069381,0.000000,0.399660,0.400699,8226,0,1131.44,25138643,0,6665,12232,SUCCESS,25138437,0,,4278400,20253760,0,14712064,,,,,25069381,753,used,,,,20260911-2211
2026-09-11 22:12:15,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,4,0,0.001000,0.000,0.200,35550162,36369,10,7137,7148,2,0,0,21936545,12820,0,21880136,0.000000,0.388025,0.388993,6713,0,1235.25,21936367,0,7046,13905,SUCCESS,21935779,0,,11101824,25186112,0,18466944,,,,,21880136,766,used,,,,20260911-2211
2026-09-11 22:12:20,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,0,1,0.001000,0.000,0.200,7617167,7273,24,3278,3303,4,0,0,25214943,5060,0,25097998,0.000000,0.408915,0.409846,9964,0,880.24,25219342,0,11513,6208,SUCCESS,25214282,0,,3961728,5506208,0,4278784,,,,,25097998,661,used,,,,20260911-2211
2026-09-11 22:12:25,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,1,1,0.001000,0.000,0.200,15283678,14546,13,4877,4891,2,0,0,25415115,7802,0,25328590,0.000000,0.420839,0.421966,10469,0,902.44,25415995,0,8255,8894,SUCCESS,25414401,0,,4721920,10770464,0,8159872,,,,,25328590,714,used,,,,20260911-2211
2026-09-11 22:12:30,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,2,1,0.001000,0.000,0.200,21271931,21819,9,5080,5089,2,0,0,21229906,9874,0,21163853,0.000000,0.410812,0.411881,8283,0,989.55,21230147,0,7296,10949,SUCCESS,21229167,0,,10159360,15002144,0,11551616,,,,,21163853,739,used,,,,20260911-2211
2026-09-11 22:12:37,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,3,1,0.001000,0.000,0.200,28633935,29092,11,7132,7144,2,0,0,25139190,11155,0,25069381,0.000000,0.399660,0.400699,8226,0,1131.69,25138643,0,6665,12232,SUCCESS,25138437,0,,4244480,20253760,0,14712064,,,,,25069381,753,used,,,,20260911-2211
2026-09-11 22:12:45,HAUSP-UB[noL2+L3@node+nopool+noEUCS],BIBLE,4,1,0.001000,0.000,0.200,35550162,36369,10,7096,7107,2,0,0,21936545,12820,0,21880136,0.000000,0.388025,0.388993,6713,0,1235.84,21936367,0,7046,13905,SUCCESS,21935779,0,,1372672,25186112,0,18466944,,,,,21880136,766,used,,,,20260911-2211
