# run_id=20260913-2338 git=7eb8353 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 9 --algo EHAUSM-I --repeats 3 --results-dir results-2026-09c --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-13 23:38:56,EHAUSM-I,BIBLE,0,0,0.001000,0.000,0.200,7617167,7273,60,10418,10479,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,991.97,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:39:11,EHAUSM-I,BIBLE,1,0,0.001000,0.000,0.200,15283678,14546,27,14276,14304,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,1922.48,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:39:26,EHAUSM-I,BIBLE,2,0,0.001000,0.000,0.200,21271931,21819,43,14003,14046,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,1804.18,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:39:46,EHAUSM-I,BIBLE,3,0,0.001000,0.000,0.200,28633935,29092,23,20364,20388,0,0,0,15156855,10402,15087799,0,0.451252,0.000000,0.000000,8226,0,4243.54,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:40:05,EHAUSM-I,BIBLE,4,0,0.001000,0.000,0.200,35550162,36369,28,18670,18699,0,0,0,8115828,12054,8060185,0,0.432059,0.000000,0.000000,6713,0,1974.16,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:40:17,EHAUSM-I,BIBLE,0,1,0.001000,0.000,0.200,7617167,7273,19,10317,10337,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,1075.72,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:40:31,EHAUSM-I,BIBLE,1,1,0.001000,0.000,0.200,15283678,14546,23,14280,14304,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,3432.39,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:40:46,EHAUSM-I,BIBLE,2,1,0.001000,0.000,0.200,21271931,21819,21,14026,14047,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,5758.44,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:41:06,EHAUSM-I,BIBLE,3,1,0.001000,0.000,0.200,28633935,29092,24,20149,20174,0,0,0,15156855,10402,15087799,0,0.451252,0.000000,0.000000,8226,0,1126.14,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:41:25,EHAUSM-I,BIBLE,4,1,0.001000,0.000,0.200,35550162,36369,28,18768,18797,0,0,0,8115828,12054,8060185,0,0.432059,0.000000,0.000000,6713,0,4347.23,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:41:36,EHAUSM-I,BIBLE,0,2,0.001000,0.000,0.200,7617167,7273,17,10375,10392,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,1055.96,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:41:51,EHAUSM-I,BIBLE,1,2,0.001000,0.000,0.200,15283678,14546,21,14379,14401,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,2270.99,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:42:06,EHAUSM-I,BIBLE,2,2,0.001000,0.000,0.200,21271931,21819,22,13981,14004,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,2295.46,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:42:26,EHAUSM-I,BIBLE,3,2,0.001000,0.000,0.200,28633935,29092,24,20345,20369,0,0,0,15156855,10402,15087799,0,0.451252,0.000000,0.000000,8226,0,2934.64,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:42:45,EHAUSM-I,BIBLE,4,2,0.001000,0.000,0.200,35550162,36369,28,18815,18843,0,0,0,8115828,12054,8060185,0,0.432059,0.000000,0.000000,6713,0,5760.63,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:43:00,EHAUSM-I,BMS1_SPMF,0,0,0.003500,0.000,0.200,1577987,11920,5,13989,13995,0,0,0,100789904,18,100321904,0,0.152712,0.000000,0.000000,100,0,906.76,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:43:01,EHAUSM-I,BMS1_SPMF,1,0,0.003500,0.000,0.200,2805280,23840,6,443,450,0,0,0,1153576,22,1139467,0,0.127373,0.000000,0.000000,97,0,464.53,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:43:01,EHAUSM-I,BMS1_SPMF,2,0,0.003500,0.000,0.200,4090185,35760,10,149,160,0,0,0,194754,61,191683,0,0.157902,0.000000,0.000000,94,0,157.55,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:43:02,EHAUSM-I,BMS1_SPMF,3,0,0.003500,0.000,0.200,5578380,47680,11,232,243,0,0,0,384297,45,380846,0,0.165245,0.000000,0.000000,93,0,238.59,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:43:57,EHAUSM-I,BMS1_SPMF,4,0,0.003500,0.000,0.200,7229030,59601,15,54263,54279,0,0,0,77822471,133,77149227,0,0.195364,0.000000,0.000000,93,0,1509.12,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:44:12,EHAUSM-I,BMS1_SPMF,0,1,0.003500,0.000,0.200,1577987,11920,6,14059,14065,0,0,0,100789904,18,100321904,0,0.152712,0.000000,0.000000,100,0,1424.85,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:44:12,EHAUSM-I,BMS1_SPMF,1,1,0.003500,0.000,0.200,2805280,23840,6,417,424,0,0,0,1153576,22,1139467,0,0.127373,0.000000,0.000000,97,0,480.58,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:44:13,EHAUSM-I,BMS1_SPMF,2,1,0.003500,0.000,0.200,4090185,35760,10,146,157,0,0,0,194754,61,191683,0,0.157902,0.000000,0.000000,94,0,157.52,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:44:13,EHAUSM-I,BMS1_SPMF,3,1,0.003500,0.000,0.200,5578380,47680,11,232,243,0,0,0,384297,45,380846,0,0.165245,0.000000,0.000000,93,0,238.87,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:45:08,EHAUSM-I,BMS1_SPMF,4,1,0.003500,0.000,0.200,7229030,59601,15,54351,54366,0,0,0,77822471,133,77149227,0,0.195364,0.000000,0.000000,93,0,1471.35,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:45:23,EHAUSM-I,BMS1_SPMF,0,2,0.003500,0.000,0.200,1577987,11920,6,14091,14097,0,0,0,100789904,18,100321904,0,0.152712,0.000000,0.000000,100,0,1577.01,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:45:24,EHAUSM-I,BMS1_SPMF,1,2,0.003500,0.000,0.200,2805280,23840,6,419,425,0,0,0,1153576,22,1139467,0,0.127373,0.000000,0.000000,97,0,526.20,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:45:24,EHAUSM-I,BMS1_SPMF,2,2,0.003500,0.000,0.200,4090185,35760,11,153,164,0,0,0,194754,61,191683,0,0.157902,0.000000,0.000000,94,0,256.21,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:45:25,EHAUSM-I,BMS1_SPMF,3,2,0.003500,0.000,0.200,5578380,47680,11,227,239,0,0,0,384297,45,380846,0,0.165245,0.000000,0.000000,93,0,114.02,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:46:20,EHAUSM-I,BMS1_SPMF,4,2,0.003500,0.000,0.200,7229030,59601,15,54657,54672,0,0,0,77822471,133,77149227,0,0.195364,0.000000,0.000000,93,0,1713.35,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:47:26,EHAUSM-I,FIFA,0,0,0.012000,0.000,0.200,7402552,4090,13,64543,64556,0,0,0,25763977,1858,25612467,0,0.216064,0.000000,0.000000,231,0,3916.78,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:49:08,EHAUSM-I,FIFA,1,0,0.012000,0.000,0.200,14678365,8180,14,101301,101316,0,0,0,23192267,2180,23062001,0,0.210594,0.000000,0.000000,215,0,5684.91,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:51:46,EHAUSM-I,FIFA,2,0,0.012000,0.000,0.200,21657235,12270,20,156657,156677,0,0,0,22512694,2364,22377860,0,0.210001,0.000000,0.000000,280,0,6194.95,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:55:08,EHAUSM-I,FIFA,3,0,0.012000,0.000,0.200,28870802,16360,22,201261,201283,0,0,0,22602061,2449,22466196,0,0.208589,0.000000,0.000000,346,0,4369.11,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-13 23:59:10,EHAUSM-I,FIFA,4,0,0.012000,0.000,0.200,35721991,20450,25,239897,239922,0,0,0,21307703,2536,21179111,0,0.206729,0.000000,0.000000,334,0,12864.77,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:00:16,EHAUSM-I,FIFA,0,1,0.012000,0.000,0.200,7402552,4090,13,64324,64338,0,0,0,25763977,1858,25612467,0,0.216064,0.000000,0.000000,231,0,2138.05,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:01:58,EHAUSM-I,FIFA,1,1,0.012000,0.000,0.200,14678365,8180,16,101434,101450,0,0,0,23192267,2180,23062001,0,0.210594,0.000000,0.000000,215,0,3118.28,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:04:36,EHAUSM-I,FIFA,2,1,0.012000,0.000,0.200,21657235,12270,20,157061,157082,0,0,0,22512694,2364,22377860,0,0.210001,0.000000,0.000000,280,0,7475.57,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:07:57,EHAUSM-I,FIFA,3,1,0.012000,0.000,0.200,28870802,16360,20,200026,200046,0,0,0,22602061,2449,22466196,0,0.208589,0.000000,0.000000,346,0,5379.01,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:11:56,EHAUSM-I,FIFA,4,1,0.012000,0.000,0.200,35721991,20450,21,236967,236989,0,0,0,21307703,2536,21179111,0,0.206729,0.000000,0.000000,334,0,7615.87,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:13:01,EHAUSM-I,FIFA,0,2,0.012000,0.000,0.200,7402552,4090,13,64457,64470,0,0,0,25763977,1858,25612467,0,0.216064,0.000000,0.000000,231,0,4547.49,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:14:44,EHAUSM-I,FIFA,1,2,0.012000,0.000,0.200,14678365,8180,15,101177,101192,0,0,0,23192267,2180,23062001,0,0.210594,0.000000,0.000000,215,0,3240.85,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:17:21,EHAUSM-I,FIFA,2,2,0.012000,0.000,0.200,21657235,12270,19,156818,156838,0,0,0,22512694,2364,22377860,0,0.210001,0.000000,0.000000,280,0,3070.54,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:20:44,EHAUSM-I,FIFA,3,2,0.012000,0.000,0.200,28870802,16360,22,201417,201440,0,0,0,22602061,2449,22466196,0,0.208589,0.000000,0.000000,346,0,10870.65,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:24:43,EHAUSM-I,FIFA,4,2,0.012000,0.000,0.200,35721991,20450,22,237256,237279,0,0,0,21307703,2536,21179111,0,0.206729,0.000000,0.000000,334,0,12165.66,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
2026-09-14 00:25:31,EHAUSM-I,KOSARAK,0,0,0.003000,0.000,0.200,79636688,198000,137,45328,45466,0,0,0,51567664,24187,51522856,0,0.068419,0.000000,0.000000,103,0,1935.23,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260913-2338
