# run_id=20260917-1737 git=56c4b45 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=18450eae8e31 cmd=--exp 11 --dataset sign,syn_c8t1s5i8n5k --k 10,20,50,100 --algo EHAUSM-I --repeats 3 --results-dir results-2026-09e --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-17 17:37:28,EHAUSM-I,SIGN,0,0,0.003000,0.000,0.200,319686,146,15,20416,20431,0,0,0,106349081,0,104965619,0,0.455007,0.000000,0.000000,23387,0,3265.87,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:37:45,EHAUSM-I,SIGN,1,0,0.003000,0.000,0.089,464158,211,1,16011,16012,0,0,0,50163930,1,49059007,0,0.462725,0.000000,0.000000,18363,0,6897.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:38:05,EHAUSM-I,SIGN,2,0,0.003000,0.000,0.089,609901,276,0,20234,20235,0,0,0,53055598,1,52016602,0,0.441330,0.000000,0.000000,18342,0,7257.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:38:22,EHAUSM-I,SIGN,3,0,0.003000,0.000,0.089,737382,341,0,15894,15895,0,0,0,26124031,8,25287947,0,0.434546,0.000000,0.000000,16494,0,6625.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:38:40,EHAUSM-I,SIGN,4,0,0.003000,0.000,0.089,871901,406,0,18055,18056,0,0,0,29268107,9,28510549,0,0.442749,0.000000,0.000000,16857,0,9201.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:38:56,EHAUSM-I,SIGN,5,0,0.003000,0.000,0.089,1018960,471,2,15346,15349,0,0,0,20263109,11,19610029,0,0.425523,0.000000,0.000000,14004,0,9017.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:39:12,EHAUSM-I,SIGN,6,0,0.003000,0.000,0.089,1183474,536,0,15972,15973,0,0,0,21207282,15,20623389,0,0.433641,0.000000,0.000000,12433,0,8974.81,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:39:31,EHAUSM-I,SIGN,7,0,0.003000,0.000,0.089,1350144,601,0,18097,18097,0,0,0,27000861,15,26410240,0,0.416386,0.000000,0.000000,12491,0,8673.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:39:50,EHAUSM-I,SIGN,8,0,0.003000,0.000,0.089,1500088,666,0,19136,19137,0,0,0,22729967,16,22162075,0,0.403744,0.000000,0.000000,12225,0,6153.41,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
2026-09-17 17:40:15,EHAUSM-I,SIGN,9,0,0.003000,0.000,0.089,1668652,730,0,23665,23666,0,0,0,32455487,18,31861600,0,0.408888,0.000000,0.000000,12666,0,7753.15,0,0,0,0,SUCCESS,0,0,warm20,,,,,,,,,,,used,,,,20260917-1737
