# run_id=20260920-1127 git=63ed617 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 4 --timeout 90 --dataset tafeng --repeats 3 --mem-mode live --results-dir results-2026-09f/mem
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-20 11:27:49,EHAUSM-R,TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,33,28993,29027,0,0,0,465248232,9557,464754232,0,0.005696,0.000000,0.000000,23,0,760.93,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,55.74,53.89,30,20260920-1127
2026-09-20 11:27:50,EHAUSM-R,TAFENG,1,0,0.001600,0.000,0.200,46344420,12906,27,975,1002,0,0,0,6694115,13080,6689419,0,0.015990,0.000000,0.000000,22,0,317.80,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,59.92,59.50,2,20260920-1127
2026-09-20 11:27:52,EHAUSM-R,TAFENG,2,0,0.001600,0.000,0.200,71466201,19359,25,1146,1171,0,0,0,7356577,14907,7312538,0,0.050771,0.000000,0.000000,38766,0,321.45,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,67.17,64.79,2,20260920-1127
2026-09-20 11:27:53,EHAUSM-R,TAFENG,3,0,0.001600,0.000,0.200,90187956,25812,32,1269,1301,0,0,0,7087294,15772,7082145,0,0.028100,0.000000,0.000000,1863,0,498.30,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,70.69,69.79,2,20260920-1127
2026-09-20 11:27:55,EHAUSM-R,TAFENG,4,0,0.001600,0.000,0.200,108290594,32266,38,1516,1555,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,466.38,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,74.13,73.35,2,20260920-1127
2026-09-20 11:28:25,EHAUSM-R,TAFENG,0,1,0.001600,0.000,0.200,22786539,6453,11,28902,28913,0,0,0,465248232,9557,464754232,0,0.005696,0.000000,0.000000,23,0,847.18,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,55.47,53.89,30,20260920-1127
2026-09-20 11:28:27,EHAUSM-R,TAFENG,1,1,0.001600,0.000,0.200,46344420,12906,18,968,986,0,0,0,6694115,13080,6689419,0,0.015990,0.000000,0.000000,22,0,350.69,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,60.04,60.04,2,20260920-1127
2026-09-20 11:28:28,EHAUSM-R,TAFENG,2,1,0.001600,0.000,0.200,71466201,19359,25,1145,1171,0,0,0,7356577,14907,7312538,0,0.050771,0.000000,0.000000,38766,0,350.44,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,67.64,65.21,2,20260920-1127
2026-09-20 11:28:30,EHAUSM-R,TAFENG,3,1,0.001600,0.000,0.200,90187956,25812,32,1268,1301,0,0,0,7087294,15772,7082145,0,0.028100,0.000000,0.000000,1863,0,402.94,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,71.01,70.21,2,20260920-1127
2026-09-20 11:28:32,EHAUSM-R,TAFENG,4,1,0.001600,0.000,0.200,108290594,32266,40,1510,1550,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,467.10,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,76.24,73.77,2,20260920-1127
2026-09-20 11:29:02,EHAUSM-R,TAFENG,0,2,0.001600,0.000,0.200,22786539,6453,10,28810,28820,0,0,0,465248232,9557,464754232,0,0.005696,0.000000,0.000000,23,0,826.35,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,56.42,54.00,29,20260920-1127
2026-09-20 11:29:03,EHAUSM-R,TAFENG,1,2,0.001600,0.000,0.200,46344420,12906,19,970,990,0,0,0,6694115,13080,6689419,0,0.015990,0.000000,0.000000,22,0,335.09,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,60.22,60.22,2,20260920-1127
2026-09-20 11:29:05,EHAUSM-R,TAFENG,2,2,0.001600,0.000,0.200,71466201,19359,27,1145,1172,0,0,0,7356577,14907,7312538,0,0.050771,0.000000,0.000000,38766,0,350.56,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,67.69,65.38,2,20260920-1127
2026-09-20 11:29:07,EHAUSM-R,TAFENG,3,2,0.001600,0.000,0.200,90187956,25812,34,1264,1299,0,0,0,7087294,15772,7082145,0,0.028100,0.000000,0.000000,1863,0,403.05,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,71.33,70.39,2,20260920-1127
2026-09-20 11:29:08,EHAUSM-R,TAFENG,4,2,0.001600,0.000,0.200,108290594,32266,42,1511,1553,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,467.62,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,75.22,73.95,2,20260920-1127
2026-09-20 11:30:00,EHAUSM-I,TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,38,48817,48856,0,0,0,465248232,9557,464754232,0,0.020926,0.000000,0.000000,23,0,3377.23,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,432.56,432.56,50,20260920-1127
2026-09-20 11:30:01,EHAUSM-I,TAFENG,1,0,0.001600,0.000,0.200,46344420,12906,20,961,982,0,0,0,3148434,13080,3143738,0,0.140142,0.000000,0.000000,22,0,1371.63,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,432.69,61.49,2,20260920-1127
2026-09-20 11:30:03,EHAUSM-I,TAFENG,2,0,0.001600,0.000,0.200,71466201,19359,17,1201,1218,0,0,0,3282595,14907,3238556,0,0.128314,0.000000,0.000000,38766,0,1051.81,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,105.32,105.32,2,20260920-1127
2026-09-20 11:30:04,EHAUSM-I,TAFENG,3,0,0.001600,0.000,0.200,90187956,25812,18,1122,1140,0,0,0,1996918,15772,1991769,0,0.127180,0.000000,0.000000,1863,0,746.51,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,105.56,71.29,2,20260920-1127
2026-09-20 11:30:06,EHAUSM-I,TAFENG,4,0,0.001600,0.000,0.200,108290594,32266,18,1332,1351,0,0,0,2330028,16292,2326353,0,0.092116,0.000000,0.000000,96,0,492.46,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,78.33,73.43,2,20260920-1127
2026-09-20 11:30:56,EHAUSM-I,TAFENG,0,1,0.001600,0.000,0.200,22786539,6453,11,47276,47288,0,0,0,465248232,9557,464754232,0,0.020926,0.000000,0.000000,23,0,2862.31,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,431.28,431.28,48,20260920-1127
2026-09-20 11:30:57,EHAUSM-I,TAFENG,1,1,0.001600,0.000,0.200,46344420,12906,15,919,934,0,0,0,3148434,13080,3143738,0,0.140142,0.000000,0.000000,22,0,1285.03,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,431.41,61.49,2,20260920-1127
2026-09-20 11:30:58,EHAUSM-I,TAFENG,2,1,0.001600,0.000,0.200,71466201,19359,16,1184,1201,0,0,0,3282595,14907,3238556,0,0.128314,0.000000,0.000000,38766,0,1084.59,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,105.74,105.74,2,20260920-1127
2026-09-20 11:31:00,EHAUSM-I,TAFENG,3,1,0.001600,0.000,0.200,90187956,25812,18,1120,1139,0,0,0,1996918,15772,1991769,0,0.127180,0.000000,0.000000,1863,0,681.61,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,105.98,71.72,2,20260920-1127
2026-09-20 11:31:02,EHAUSM-I,TAFENG,4,1,0.001600,0.000,0.200,108290594,32266,18,1335,1354,0,0,0,2330028,16292,2326353,0,0.092116,0.000000,0.000000,96,0,491.93,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,77.31,73.86,2,20260920-1127
2026-09-20 11:31:51,EHAUSM-I,TAFENG,0,2,0.001600,0.000,0.200,22786539,6453,11,46769,46780,0,0,0,465248232,9557,464754232,0,0.020926,0.000000,0.000000,23,0,3392.41,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,432.90,432.90,47,20260920-1127
2026-09-20 11:31:52,EHAUSM-I,TAFENG,1,2,0.001600,0.000,0.200,46344420,12906,15,918,933,0,0,0,3148434,13080,3143738,0,0.140142,0.000000,0.000000,22,0,1192.20,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,433.02,61.49,1,20260920-1127
2026-09-20 11:31:54,EHAUSM-I,TAFENG,2,2,0.001600,0.000,0.200,71466201,19359,17,1182,1199,0,0,0,3282595,14907,3238556,0,0.128314,0.000000,0.000000,38766,0,1146.32,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,106.02,106.02,2,20260920-1127
2026-09-20 11:31:55,EHAUSM-I,TAFENG,3,2,0.001600,0.000,0.200,90187956,25812,18,1122,1140,0,0,0,1996918,15772,1991769,0,0.127180,0.000000,0.000000,1863,0,745.79,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,106.26,71.29,2,20260920-1127
2026-09-20 11:31:57,EHAUSM-I,TAFENG,4,2,0.001600,0.000,0.200,108290594,32266,18,1335,1353,0,0,0,2330028,16292,2326353,0,0.092116,0.000000,0.000000,96,0,491.84,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,76.80,73.43,2,20260920-1127
2026-09-20 11:51:10,Pre-HAUSPM,TAFENG,0,0,0.001600,0.200,0.200,22786539,6453,4,1128147,1128152,0,0,0,18720179294,0,18699722699,0,0.000000,0.000000,0.000000,23,8950,1039.47,0,0,0,0,SUCCESS,0,2,,,,,,1,0,22786539,0,,,live,60.77,52.83,1130,20260920-1127
2026-09-20 11:51:11,Pre-HAUSPM,TAFENG,1,0,0.001600,0.200,0.200,46344420,12906,9,1457,1467,0,0,0,14105151,0,14096425,0,0.000000,0.000000,0.000000,22,9059,1119.05,0,0,0,0,SUCCESS,0,2,,,,,,1,0,23557881,7303,,,live,64.54,55.99,2,20260920-1127
2026-09-20 11:51:14,Pre-HAUSPM,TAFENG,2,0,0.001600,0.200,0.200,71466201,19359,2,2272,2275,0,0,0,20832553,0,20184167,0,0.000000,0.000000,0.000000,38766,1217953,1670.40,0,0,0,0,SUCCESS,0,2,,,,,,1,0,25121781,14854,,,live,564.05,564.05,3,20260920-1127
2026-09-20 11:51:16,Pre-HAUSPM,TAFENG,3,0,0.001600,0.200,0.200,90187956,25812,2,1749,1752,0,0,0,14511806,0,14477666,0,0.000000,0.000000,0.000000,1863,24458,968.72,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18721755,22906,,,live,564.29,68.31,2,20260920-1127
2026-09-20 11:51:19,Pre-HAUSPM,TAFENG,4,0,0.001600,0.200,0.200,108290594,32266,1,2037,2039,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,652.53,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18102638,28906,,,live,79.79,65.18,3,20260920-1127
2026-09-20 12:10:31,Pre-HAUSPM,TAFENG,0,1,0.001600,0.200,0.200,22786539,6453,2,1127021,1127023,0,0,0,18720179294,0,18699722699,0,0.000000,0.000000,0.000000,23,8950,1037.23,0,0,0,0,SUCCESS,0,2,,,,,,1,0,22786539,0,,,live,60.60,52.83,1128,20260920-1127
2026-09-20 12:10:32,Pre-HAUSPM,TAFENG,1,1,0.001600,0.200,0.200,46344420,12906,2,1506,1508,0,0,0,14105151,0,14096425,0,0.000000,0.000000,0.000000,22,9059,1135.00,0,0,0,0,SUCCESS,0,2,,,,,,1,0,23557881,7303,,,live,65.09,55.99,2,20260920-1127
2026-09-20 12:10:35,Pre-HAUSPM,TAFENG,2,1,0.001600,0.200,0.200,71466201,19359,1,2260,2262,0,0,0,20832553,0,20184167,0,0.000000,0.000000,0.000000,38766,1217953,2222.98,0,0,0,0,SUCCESS,0,2,,,,,,1,0,25121781,14854,,,live,565.07,565.07,3,20260920-1127
2026-09-20 12:10:37,Pre-HAUSPM,TAFENG,3,1,0.001600,0.200,0.200,90187956,25812,2,1756,1759,0,0,0,14511806,0,14477666,0,0.000000,0.000000,0.000000,1863,24458,2731.06,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18721755,22906,,,live,565.30,68.13,2,20260920-1127
2026-09-20 12:10:40,Pre-HAUSPM,TAFENG,4,1,0.001600,0.200,0.200,108290594,32266,1,2024,2026,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,484.64,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18102638,28906,,,live,80.41,65.34,3,20260920-1127
2026-09-20 12:29:52,Pre-HAUSPM,TAFENG,0,2,0.001600,0.200,0.200,22786539,6453,1,1130276,1130278,0,0,0,18720179294,0,18699722699,0,0.000000,0.000000,0.000000,23,8950,1228.44,0,0,0,0,SUCCESS,0,2,,,,,,1,0,22786539,0,,,live,60.77,52.83,1131,20260920-1127
2026-09-20 12:29:54,Pre-HAUSPM,TAFENG,1,2,0.001600,0.200,0.200,46344420,12906,2,1380,1382,0,0,0,14105151,0,14096425,0,0.000000,0.000000,0.000000,22,9059,612.78,0,0,0,0,SUCCESS,0,2,,,,,,1,0,23557881,7303,,,live,66.53,56.40,2,20260920-1127
2026-09-20 12:29:56,Pre-HAUSPM,TAFENG,2,2,0.001600,0.200,0.200,71466201,19359,1,2209,2211,0,0,0,20832553,0,20184167,0,0.000000,0.000000,0.000000,38766,1217953,1810.67,0,0,0,0,SUCCESS,0,2,,,,,,1,0,25121781,14854,,,live,563.68,563.68,3,20260920-1127
2026-09-20 12:29:58,Pre-HAUSPM,TAFENG,3,2,0.001600,0.200,0.200,90187956,25812,2,1689,1692,0,0,0,14511806,0,14477666,0,0.000000,0.000000,0.000000,1863,24458,1143.38,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18721755,22906,,,live,563.91,68.54,2,20260920-1127
2026-09-20 12:30:01,Pre-HAUSPM,TAFENG,4,2,0.001600,0.200,0.200,108290594,32266,1,2021,2023,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,608.07,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18102638,28906,,,live,80.14,65.40,3,20260920-1127
,HAUSP-UB-L1,TAFENG,0,0,0.001600,0.000,0.200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,OT,0,3,,,,,,,,,,,,used,,,,20260920-1127
,HAUSP-UB-L1,TAFENG,1,0,0.001600,0.000,0.200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,3,,,,,,,,,,,,used,,,,20260920-1127
,HAUSP-UB-L1,TAFENG,2,0,0.001600,0.000,0.200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,3,,,,,,,,,,,,used,,,,20260920-1127
,HAUSP-UB-L1,TAFENG,3,0,0.001600,0.000,0.200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,3,,,,,,,,,,,,used,,,,20260920-1127
,HAUSP-UB-L1,TAFENG,4,0,0.001600,0.000,0.200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,3,,,,,,,,,,,,used,,,,20260920-1127
2026-09-20 14:00:19,HAUSP-UB[noEUCS],TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,17,11291,11310,2,0,0,465248232,12474,464749007,2308,0.000000,0.002582,0.002718,23,0,321.22,465257789,465234802,22987,17484,SUCCESS,496142,4,,3214336,4654648,0,5051520,,,,,2142,2917,live,305.22,305.22,12,20260920-1127
2026-09-20 14:00:20,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.200,46344420,12906,21,362,384,1,0,0,6694115,16191,6684133,2175,0.000000,0.014945,0.024049,22,0,337.27,6689711,6685285,9929,20977,SUCCESS,6867,4,,5961472,9320976,0,11050368,,,,,2171,3111,live,319.96,319.96,1,20260920-1127
2026-09-20 14:00:21,HAUSP-UB[noEUCS],TAFENG,2,0,0.001600,0.000,0.200,71466201,19359,21,513,534,0,0,0,7356577,18072,7270341,39032,0.000000,0.468249,0.468970,38766,0,359.49,7350507,7348444,8499,22666,SUCCESS,83069,4,,9317888,13980512,0,16873344,,,,,39030,3165,live,334.47,334.47,1,20260920-1127
2026-09-20 14:00:21,HAUSP-UB[noEUCS],TAFENG,3,0,0.001600,0.000,0.200,90187956,25812,5,509,514,0,0,0,7087294,18964,7075163,3790,0.000000,0.214849,0.221473,1863,0,373.89,7080400,7079526,7684,23356,SUCCESS,8936,4,,13321216,17520408,0,20904704,,,,,3787,3192,live,346.39,346.39,1,20260920-1127
2026-09-20 14:00:22,HAUSP-UB[noEUCS],TAFENG,4,0,0.001600,0.000,0.200,108290594,32266,4,623,628,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,385.75,8096966,8096392,7568,23812,SUCCESS,5741,4,,17172224,20582408,0,24458624,,,,,2066,3182,live,357.36,357.36,1,20260920-1127
2026-09-20 14:00:34,HAUSP-UB[noEUCS],TAFENG,0,1,0.001600,0.000,0.200,22786539,6453,5,10697,10702,0,0,0,465248232,12474,464749007,2308,0.000000,0.002582,0.002718,23,0,321.22,465257789,465234802,22987,17484,SUCCESS,496142,4,,3215616,4654648,0,5051520,,,,,2142,2917,live,305.22,305.22,11,20260920-1127
2026-09-20 14:00:34,HAUSP-UB[noEUCS],TAFENG,1,1,0.001600,0.000,0.200,46344420,12906,5,350,356,0,0,0,6694115,16191,6684133,2175,0.000000,0.014945,0.024049,22,0,337.27,6689711,6685285,9929,20977,SUCCESS,6867,4,,5961472,9320976,0,11050368,,,,,2171,3111,live,320.16,320.16,1,20260920-1127
