# run_id=20260921-1531 git=65fc255 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 11 --timeout 90 --dataset tafeng --repeats 3 --results-dir results-2026-09g
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-21 15:31:17,HAUSP-UB[noEUCS],TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,35,11089,11125,10,0,0,465248232,12474,464749007,2308,0.000000,0.002582,0.002718,23,0,72.83,465257789,465234802,22987,17484,SUCCESS,496142,0,warm20,2966528,4654648,0,5051520,,,,,2142,2917,used,,,,20260921-1531
2026-09-21 15:31:18,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.089,32682723,9321,5,472,477,0,0,0,11536537,14373,11520966,2119,0.000000,0.011319,0.016429,25,0,84.92,11530429,11528256,7676,19203,SUCCESS,12560,0,warm20,4988544,6692696,0,7849472,,,,,2105,2997,used,,,,20260921-1531
2026-09-21 15:31:18,HAUSP-UB[noEUCS],TAFENG,2,0,0.001600,0.000,0.089,43666930,12189,6,372,379,0,0,0,6901356,15892,6891080,2153,0.000000,0.014393,0.023047,23,0,97.08,6894982,6893122,7817,20673,SUCCESS,7208,0,warm20,6763008,8822544,0,10896512,,,,,2148,3063,used,,,,20260921-1531
2026-09-21 15:31:19,HAUSP-UB[noEUCS],TAFENG,3,0,0.001600,0.000,0.089,55972139,15057,4,660,664,0,0,0,14619906,17022,13401533,567942,0.000000,0.498675,0.498725,604551,0,109.23,14613084,14611682,7749,21756,SUCCESS,1215201,0,warm20,8398720,10982600,0,14032768,,,,,567941,3171,used,,,,20260921-1531
2026-09-21 15:31:19,HAUSP-UB[noEUCS],TAFENG,4,0,0.001600,0.000,0.089,66964841,17925,3,434,437,0,0,0,7343766,17788,7257342,39067,0.000000,0.467318,0.468046,38764,0,101.92,7336615,7335753,7528,22466,SUCCESS,83239,0,warm20,10654848,13100552,0,16781824,,,,,39065,3183,used,,,,20260921-1531
2026-09-21 15:31:20,HAUSP-UB[noEUCS],TAFENG,5,0,0.001600,0.000,0.089,75497726,20793,3,422,425,0,0,0,6662227,18345,6649744,3839,0.000000,0.206460,0.212842,1861,0,112.15,6654937,6654568,7187,22839,SUCCESS,9311,0,warm20,13112320,14729216,0,18835968,,,,,3836,3169,used,,,,20260921-1531
2026-09-21 15:31:20,HAUSP-UB[noEUCS],TAFENG,6,0,0.001600,0.000,0.089,84404930,23661,2,477,480,0,0,0,7155829,18704,7143491,3808,0.000000,0.210689,0.217237,1864,0,121.00,7148478,7147948,7344,23181,SUCCESS,9121,0,warm20,15741952,16398912,0,20855168,,,,,3807,3216,used,,,,20260921-1531
2026-09-21 15:31:21,HAUSP-UB[noEUCS],TAFENG,7,0,0.001600,0.000,0.089,92177874,26529,2,501,504,0,0,0,7167886,19026,7155756,3795,0.000000,0.214974,0.221630,1863,0,131.86,7160529,7160272,7259,23419,SUCCESS,8925,0,warm20,18089216,17906344,0,22657664,,,,,3792,3202,used,,,,20260921-1531
2026-09-21 15:31:21,HAUSP-UB[noEUCS],TAFENG,8,0,0.001600,0.000,0.089,100190323,29397,2,592,595,0,0,0,8379934,19182,8370493,2083,0.000000,0.024381,0.034036,89,0,134.87,8372422,8372054,7389,23632,SUCCESS,6162,0,warm20,20756096,19413328,0,24639744,,,,,2079,3275,used,,,,20260921-1531
2026-09-21 15:31:22,HAUSP-UB[noEUCS],TAFENG,9,0,0.001600,0.000,0.089,108290594,32266,2,603,605,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,143.20,8096690,8096574,7292,23812,SUCCESS,5741,0,warm20,22954752,20582408,0,26212736,,,,,2066,3182,used,,,,20260921-1531
2026-09-21 15:31:34,HAUSP-UB[noEUCS],TAFENG,0,1,0.001600,0.000,0.200,22786539,6453,19,11025,11046,3,0,0,465248232,12474,464749007,2308,0.000000,0.002582,0.002718,23,0,71.04,465257789,465234802,22987,17484,SUCCESS,496142,0,warm20,3141888,4654648,0,5051520,,,,,2142,2917,used,,,,20260921-1531
2026-09-21 15:31:34,HAUSP-UB[noEUCS],TAFENG,1,1,0.001600,0.000,0.089,32682723,9321,3,465,469,0,0,0,11536537,14373,11520966,2119,0.000000,0.011319,0.016429,25,0,77.21,11530429,11528256,7676,19203,SUCCESS,12560,0,warm20,2048512,6692696,0,7849472,,,,,2105,2997,used,,,,20260921-1531
2026-09-21 15:31:34,HAUSP-UB[noEUCS],TAFENG,2,1,0.001600,0.000,0.089,43666930,12189,3,388,392,0,0,0,6901356,15892,6891080,2153,0.000000,0.014393,0.023047,23,0,84.66,6894982,6893122,7817,20673,SUCCESS,7208,0,warm20,6763008,8822544,0,10896512,,,,,2148,3063,used,,,,20260921-1531
2026-09-21 15:31:35,HAUSP-UB[noEUCS],TAFENG,3,1,0.001600,0.000,0.089,55972139,15057,3,644,647,0,0,0,14619906,17022,13401533,567942,0.000000,0.498675,0.498725,604551,0,97.64,14613084,14611682,7749,21756,SUCCESS,1215201,0,warm20,8597760,10982600,0,14032768,,,,,567941,3171,used,,,,20260921-1531
