# run_id=20260921-1345 git=65fc255 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 2,3 --timeout 90 --dataset tafeng --repeats 3 --results-dir results-2026-09g
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-21 13:45:40,EHAUSM-I,TAFENG,0,0,0.002500,0.000,1.000,108290594,32266,97,1209,1307,0,0,0,3831341,18462,3829628,0,0.127256,0.000000,0.000000,17,0,141.73,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 13:45:41,EHAUSM-I,TAFENG,0,1,0.002500,0.000,1.000,108290594,32266,67,1117,1185,0,0,0,3831341,18462,3829628,0,0.127256,0.000000,0.000000,17,0,320.35,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 13:45:43,EHAUSM-I,TAFENG,0,2,0.002500,0.000,1.000,108290594,32266,66,1204,1271,0,0,0,3831341,18462,3829628,0,0.127256,0.000000,0.000000,17,0,106.73,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
,HAUSP-UB-L1,TAFENG,0,0,0.002500,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,OT,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:15:50,HAUSP-UB[noL2+noEUCS],TAFENG,0,0,0.002500,0.000,1.000,108290594,32266,79,784,864,43,0,0,3831341,20962,0,3827128,0.000000,0.014751,0.026192,17,0,871.92,3849803,3816053,33750,23812,SUCCESS,3175,2,,0,20582408,0,19256576,,,,,1462,2500,used,,,,20260921-1345
2026-09-21 15:15:50,HAUSP-UB[noL2+noEUCS],TAFENG,0,1,0.002500,0.000,1.000,108290594,32266,26,425,451,3,0,0,3831341,20962,0,3827128,0.000000,0.014751,0.026192,17,0,871.92,3849803,3816053,33750,23812,SUCCESS,3175,2,,0,20582408,0,19256576,,,,,1462,2500,used,,,,20260921-1345
2026-09-21 15:15:51,HAUSP-UB[noL2+noEUCS],TAFENG,0,2,0.002500,0.000,1.000,108290594,32266,24,411,435,3,0,0,3831341,20962,0,3827128,0.000000,0.014751,0.026192,17,0,863.92,3849803,3816053,33750,23812,SUCCESS,3175,2,,0,20582408,0,19256576,,,,,1462,2500,used,,,,20260921-1345
2026-09-21 15:15:53,HAUSP-UB[noL3+noEUCS],TAFENG,0,0,0.002500,0.000,1.000,108290594,32266,23,885,908,3,0,0,5587555,20962,5581879,0,0.000000,0.014760,0.026198,17,0,863.92,5606017,5577199,28818,23812,SUCCESS,3176,3,,0,20582408,0,19256576,,,,,0,2500,used,,,,20260921-1345
2026-09-21 15:15:54,HAUSP-UB[noL3+noEUCS],TAFENG,0,1,0.002500,0.000,1.000,108290594,32266,22,634,657,3,0,0,5587555,20962,5581879,0,0.000000,0.014760,0.026198,17,0,863.92,5606017,5577199,28818,23812,SUCCESS,3176,3,,0,20582408,0,19256576,,,,,0,2500,used,,,,20260921-1345
2026-09-21 15:15:55,HAUSP-UB[noL3+noEUCS],TAFENG,0,2,0.002500,0.000,1.000,108290594,32266,23,548,572,3,0,0,5587555,20962,5581879,0,0.000000,0.014760,0.026198,17,0,863.92,5606017,5577199,28818,23812,SUCCESS,3176,3,,0,20582408,0,19256576,,,,,0,2500,used,,,,20260921-1345
2026-09-21 15:15:55,HAUSP-UB[noEUCS],TAFENG,0,0,0.002500,0.000,1.000,108290594,32266,22,424,447,3,0,0,3831341,20962,3825665,1463,0.000000,0.014751,0.026192,17,0,863.92,3849803,3820985,28818,23812,SUCCESS,3175,4,,0,20582408,0,19256576,,,,,1462,2500,used,,,,20260921-1345
2026-09-21 15:15:56,HAUSP-UB[noEUCS],TAFENG,0,1,0.002500,0.000,1.000,108290594,32266,23,426,450,3,0,0,3831341,20962,3825665,1463,0.000000,0.014751,0.026192,17,0,863.92,3849803,3820985,28818,23812,SUCCESS,3175,4,,0,20582408,0,19256576,,,,,1462,2500,used,,,,20260921-1345
2026-09-21 15:15:57,HAUSP-UB[noEUCS],TAFENG,0,2,0.002500,0.000,1.000,108290594,32266,23,439,463,3,0,0,3831341,20962,3825665,1463,0.000000,0.014751,0.026192,17,0,863.92,3849803,3820985,28818,23812,SUCCESS,3175,4,,0,20582408,0,19256576,,,,,1462,2500,used,,,,20260921-1345
2026-09-21 15:16:00,EHAUSM-I,TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,166,1879,2046,0,0,0,5614666,17403,5612194,0,0.130748,0.000000,0.000000,81,0,2459.69,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:16:02,EHAUSM-I,TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,57,1655,1712,0,0,0,5614666,17403,5612194,0,0.130748,0.000000,0.000000,81,0,1149.26,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:16:04,EHAUSM-I,TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,48,1483,1532,0,0,0,5614666,17403,5612194,0,0.130748,0.000000,0.000000,81,0,2319.61,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
,HAUSP-UB-L1,TAFENG,0,0,0.002000,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:16:05,HAUSP-UB[noL2+noEUCS],TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,23,564,587,3,0,0,5614666,20253,0,5609344,0.000000,0.028380,0.039214,81,0,895.92,5632069,5596170,35899,23812,SUCCESS,4284,2,,14756992,20582408,0,19256576,,,,,1812,2850,used,,,,20260921-1345
2026-09-21 15:16:06,HAUSP-UB[noL2+noEUCS],TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,23,563,587,3,0,0,5614666,20253,0,5609344,0.000000,0.028380,0.039214,81,0,895.92,5632069,5596170,35899,23812,SUCCESS,4284,2,,14756992,20582408,0,19256576,,,,,1812,2850,used,,,,20260921-1345
2026-09-21 15:16:06,HAUSP-UB[noL2+noEUCS],TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,22,566,588,3,0,0,5614666,20253,0,5609344,0.000000,0.028380,0.039214,81,0,895.92,5632069,5596170,35899,23812,SUCCESS,4284,2,,14756992,20582408,0,19256576,,,,,1812,2850,used,,,,20260921-1345
2026-09-21 15:16:08,HAUSP-UB[noL3+noEUCS],TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,23,665,688,3,0,0,7581879,20253,7574745,0,0.000000,0.028380,0.039214,81,0,887.92,7599282,7569413,29869,23812,SUCCESS,4284,3,,11197056,20582408,0,19256576,,,,,0,2850,used,,,,20260921-1345
2026-09-21 15:16:09,HAUSP-UB[noL3+noEUCS],TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,22,655,678,3,0,0,7581879,20253,7574745,0,0.000000,0.028380,0.039214,81,0,887.92,7599282,7569413,29869,23812,SUCCESS,4284,3,,11197056,20582408,0,19256576,,,,,0,2850,used,,,,20260921-1345
2026-09-21 15:16:10,HAUSP-UB[noL3+noEUCS],TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,27,680,707,3,0,0,7581879,20253,7574745,0,0.000000,0.028380,0.039214,81,0,887.92,7599282,7569413,29869,23812,SUCCESS,4284,3,,11197056,20582408,0,19256576,,,,,0,2850,used,,,,20260921-1345
2026-09-21 15:16:11,HAUSP-UB[noEUCS],TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,23,553,577,3,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,887.92,5632069,5602200,29869,23812,SUCCESS,4284,4,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260921-1345
2026-09-21 15:16:12,HAUSP-UB[noEUCS],TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,23,552,575,3,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,887.92,5632069,5602200,29869,23812,SUCCESS,4284,4,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260921-1345
2026-09-21 15:16:13,HAUSP-UB[noEUCS],TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,22,546,569,3,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,887.92,5632069,5602200,29869,23812,SUCCESS,4284,4,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260921-1345
2026-09-21 15:16:15,EHAUSM-I,TAFENG,0,0,0.001600,0.000,1.000,108290594,32266,54,2035,2090,0,0,0,8104030,16292,8100355,0,0.133827,0.000000,0.000000,96,0,2496.56,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:16:18,EHAUSM-I,TAFENG,0,1,0.001600,0.000,1.000,108290594,32266,46,2362,2409,0,0,0,8104030,16292,8100355,0,0.133827,0.000000,0.000000,96,0,1617.87,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:16:20,EHAUSM-I,TAFENG,0,2,0.001600,0.000,1.000,108290594,32266,52,2021,2074,0,0,0,8104030,16292,8100355,0,0.133827,0.000000,0.000000,96,0,2208.57,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
,HAUSP-UB-L1,TAFENG,0,0,0.001600,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:16:21,HAUSP-UB[noL2+noEUCS],TAFENG,0,0,0.001600,0.000,1.000,108290594,32266,25,737,762,3,0,0,8104030,19474,0,8097173,0.000000,0.026159,0.036465,96,0,903.92,8120322,8080210,40112,23812,SUCCESS,5741,2,,16947968,20582408,0,19256576,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:16:23,HAUSP-UB[noL2+noEUCS],TAFENG,0,1,0.001600,0.000,1.000,108290594,32266,23,735,759,3,0,0,8104030,19474,0,8097173,0.000000,0.026159,0.036465,96,0,903.92,8120322,8080210,40112,23812,SUCCESS,5741,2,,16947968,20582408,0,19256576,,,,,2066,3182,used,,,,20260921-1345
