# run_id=20260921-1345 git=65fc255 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 2,3 --timeout 90 --dataset tafeng --repeats 3 --results-dir results-2026-09g
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-21 15:17:18,EHAUSM-R,TAFENG,1,0,0.001600,0.000,0.050,108290594,32266,75,1871,1947,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2480.48,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:19,EHAUSM-R,TAFENG,1,1,0.001600,0.000,0.050,108290594,32266,112,1620,1733,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2448.79,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:21,EHAUSM-R,TAFENG,1,2,0.001600,0.000,0.050,108290594,32266,45,1624,1669,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2448.77,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:25,EHAUSM-I,TAFENG,1,0,0.001600,0.000,0.050,108290594,32266,31,1651,1683,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,4642.16,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:29,EHAUSM-I,TAFENG,1,1,0.001600,0.000,0.050,108290594,32266,19,1428,1447,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,1444.99,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:32,EHAUSM-I,TAFENG,1,2,0.001600,0.000,0.050,108290594,32266,19,1421,1440,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,1444.28,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:36,Pre-HAUSPM,TAFENG,1,0,0.001600,0.200,0.050,108290594,32266,2,2125,2128,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,2215.82,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:17:41,Pre-HAUSPM,TAFENG,1,1,0.001600,0.200,0.050,108290594,32266,2,2626,2628,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,4378.87,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:17:46,Pre-HAUSPM,TAFENG,1,2,0.001600,0.200,0.050,108290594,32266,1,2637,2639,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,3468.96,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:17:47,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.050,108290594,32266,5,706,712,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:17:49,HAUSP-UB[noEUCS],TAFENG,1,1,0.001600,0.000,0.050,108290594,32266,5,696,701,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:17:50,HAUSP-UB[noEUCS],TAFENG,1,2,0.001600,0.000,0.050,108290594,32266,5,711,717,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:17:53,EHAUSM-R,TAFENG,1,0,0.001600,0.000,0.100,108290594,32266,44,1634,1678,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2416.51,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:54,EHAUSM-R,TAFENG,1,1,0.001600,0.000,0.100,108290594,32266,44,1656,1701,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2415.08,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:17:56,EHAUSM-R,TAFENG,1,2,0.001600,0.000,0.100,108290594,32266,44,1620,1665,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2416.53,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:00,EHAUSM-I,TAFENG,1,0,0.001600,0.000,0.100,108290594,32266,19,1466,1486,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,1602.94,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:04,EHAUSM-I,TAFENG,1,1,0.001600,0.000,0.100,108290594,32266,22,1618,1640,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,4055.11,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:07,EHAUSM-I,TAFENG,1,2,0.001600,0.000,0.100,108290594,32266,20,1458,1478,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,1442.90,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:11,Pre-HAUSPM,TAFENG,1,0,0.001600,0.200,0.100,108290594,32266,1,2126,2128,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,1939.11,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:18:16,Pre-HAUSPM,TAFENG,1,1,0.001600,0.200,0.100,108290594,32266,1,2670,2671,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,4402.49,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:18:20,Pre-HAUSPM,TAFENG,1,2,0.001600,0.200,0.100,108290594,32266,1,2601,2603,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,1678.03,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:18:22,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.100,108290594,32266,5,706,711,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:18:24,HAUSP-UB[noEUCS],TAFENG,1,1,0.001600,0.000,0.100,108290594,32266,5,714,719,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:18:25,HAUSP-UB[noEUCS],TAFENG,1,2,0.001600,0.000,0.100,108290594,32266,5,706,712,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:18:27,EHAUSM-R,TAFENG,1,0,0.001600,0.000,0.150,108290594,32266,43,1632,1675,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2417.57,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:29,EHAUSM-R,TAFENG,1,1,0.001600,0.000,0.150,108290594,32266,42,1621,1664,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2416.02,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:31,EHAUSM-R,TAFENG,1,2,0.001600,0.000,0.150,108290594,32266,43,1630,1673,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,2415.87,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:34,EHAUSM-I,TAFENG,1,0,0.001600,0.000,0.150,108290594,32266,19,1457,1477,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,1602.97,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:38,EHAUSM-I,TAFENG,1,1,0.001600,0.000,0.150,108290594,32266,24,1604,1628,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,4057.12,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:42,EHAUSM-I,TAFENG,1,2,0.001600,0.000,0.150,108290594,32266,19,1451,1470,0,0,0,2329502,16292,2325827,0,0.092106,0.000000,0.000000,96,0,1445.04,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260921-1345
2026-09-21 15:18:47,Pre-HAUSPM,TAFENG,1,0,0.001600,0.200,0.150,108290594,32266,1,2617,2619,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,5164.36,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:18:51,Pre-HAUSPM,TAFENG,1,1,0.001600,0.200,0.150,108290594,32266,1,2676,2678,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,3468.33,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:18:56,Pre-HAUSPM,TAFENG,1,2,0.001600,0.200,0.150,108290594,32266,1,2588,2589,0,0,0,17176223,0,17169104,0,0.000000,0.000000,0.000000,96,12257,1666.35,0,0,0,0,SUCCESS,0,2,,,,,,1,0,18095164,28909,,,used,,,,20260921-1345
2026-09-21 15:18:57,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.150,108290594,32266,5,705,710,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
2026-09-21 15:18:59,HAUSP-UB[noEUCS],TAFENG,1,1,0.001600,0.000,0.150,108290594,32266,5,714,720,0,0,0,8104030,19474,8095105,2068,0.000000,0.026159,0.036465,96,0,944.80,8096966,8096392,7568,23812,SUCCESS,5741,3,,15490560,20582408,0,19925248,,,,,2066,3182,used,,,,20260921-1345
