# run_id=20260921-2139 git=65fc255 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 7 --timeout 90 --dataset tafeng --repeats 3 --results-dir results-2026-09g
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
,HAUSP-UB[noEUCS],TAFENG,0,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,OT,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,2,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,3,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,4,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,5,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,6,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,7,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,8,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
,HAUSP-UB[noEUCS],TAFENG,9,0,0.001600,0.000,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.00,0,0,0,0,SKIPPED,0,0,equal,,,,,,,,,,,used,,,,20260921-2139
