# run_id=20260922-1532 git=b449a36 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 8 --timeout 90 --dataset tafeng --repeats 3 --results-dir results-2026-09g
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-22 15:32:32,EHAUSM-I,TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,95,1674,1769,0,0,0,5614666,17403,5612194,0,0.130748,0.000000,0.000000,81,0,789.90,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:34,EHAUSM-I,TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,57,1528,1585,0,0,0,5614666,17403,5612194,0,0.130748,0.000000,0.000000,81,0,231.42,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:36,EHAUSM-I,TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,53,1446,1499,0,0,0,5614666,17403,5612194,0,0.130748,0.000000,0.000000,81,0,214.35,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:37,HAUSP-UB[noEUCS],TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,97,555,652,12,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,138.74,5632069,5602200,29869,23812,SUCCESS,4284,1,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260922-1532
2026-09-22 15:32:38,HAUSP-UB[noEUCS],TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,106,458,565,5,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,136.84,5632069,5602200,29869,23812,SUCCESS,4284,1,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260922-1532
2026-09-22 15:32:39,HAUSP-UB[noEUCS],TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,97,460,557,5,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,136.84,5632069,5602200,29869,23812,SUCCESS,4284,1,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260922-1532
2026-09-22 15:32:41,EHAUSM-I,TAFENG,0,0,0.001500,0.000,1.000,108290594,32266,115,2074,2190,0,0,0,9003918,15945,8999686,0,0.133737,0.000000,0.000000,97,0,124.75,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:44,EHAUSM-I,TAFENG,0,1,0.001500,0.000,1.000,108290594,32266,61,1981,2043,0,0,0,9003918,15945,8999686,0,0.133737,0.000000,0.000000,97,0,371.48,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:46,EHAUSM-I,TAFENG,0,2,0.001500,0.000,1.000,108290594,32266,64,1985,2049,0,0,0,9003918,15945,8999686,0,0.133737,0.000000,0.000000,97,0,115.15,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:48,HAUSP-UB[noEUCS],TAFENG,0,0,0.001500,0.000,1.000,108290594,32266,38,643,682,7,0,0,9003918,19225,8994259,2147,0.000000,0.025197,0.035053,97,0,134.92,9019863,8988649,31214,23812,SUCCESS,6377,1,,12661248,20582408,0,19256576,,,,,2145,3280,used,,,,20260922-1532
2026-09-22 15:32:49,HAUSP-UB[noEUCS],TAFENG,0,1,0.001500,0.000,1.000,108290594,32266,38,644,683,7,0,0,9003918,19225,8994259,2147,0.000000,0.025197,0.035053,97,0,134.92,9019863,8988649,31214,23812,SUCCESS,6377,1,,12661248,20582408,0,19256576,,,,,2145,3280,used,,,,20260922-1532
2026-09-22 15:32:50,HAUSP-UB[noEUCS],TAFENG,0,2,0.001500,0.000,1.000,108290594,32266,38,644,683,7,0,0,9003918,19225,8994259,2147,0.000000,0.025197,0.035053,97,0,134.92,9019863,8988649,31214,23812,SUCCESS,6377,1,,12661248,20582408,0,19256576,,,,,2145,3280,used,,,,20260922-1532
2026-09-22 15:32:54,EHAUSM-I,TAFENG,0,0,0.001000,0.000,1.000,108290594,32266,66,3518,3585,0,0,0,18559674,13837,18510429,0,0.126877,0.000000,0.000000,38829,0,176.23,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:32:58,EHAUSM-I,TAFENG,0,1,0.001000,0.000,1.000,108290594,32266,65,3504,3569,0,0,0,18559674,13837,18510429,0,0.126877,0.000000,0.000000,38829,0,872.77,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:33:02,EHAUSM-I,TAFENG,0,2,0.001000,0.000,1.000,108290594,32266,65,3515,3580,0,0,0,18559674,13837,18510429,0,0.126877,0.000000,0.000000,38829,0,575.59,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260922-1532
2026-09-22 15:33:04,HAUSP-UB[noEUCS],TAFENG,0,0,0.001000,0.000,1.000,108290594,32266,39,1098,1137,7,0,0,18559674,17403,18467251,39612,0.000000,0.439267,0.440320,38829,0,138.76,18573511,18540147,33364,23812,SUCCESS,88846,1,,14324864,20582408,0,19256576,,,,,39601,3566,used,,,,20260922-1532
2026-09-22 15:33:05,HAUSP-UB[noEUCS],TAFENG,0,1,0.001000,0.000,1.000,108290594,32266,37,1026,1064,6,0,0,18559674,17403,18467251,39612,0.000000,0.439267,0.440320,38829,0,138.76,18573511,18540147,33364,23812,SUCCESS,88846,1,,14324864,20582408,0,19256576,,,,,39601,3566,used,,,,20260922-1532
2026-09-22 15:33:07,HAUSP-UB[noEUCS],TAFENG,0,2,0.001000,0.000,1.000,108290594,32266,38,1025,1063,6,0,0,18559674,17403,18467251,39612,0.000000,0.439267,0.440320,38829,0,138.76,18573511,18540147,33364,23812,SUCCESS,88846,1,,14324864,20582408,0,19256576,,,,,39601,3566,used,,,,20260922-1532
