# run_id=20260922-1536 git=b449a36 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 3 --timeout 90 --repeats 3 --mem-mode live --results-dir results-2026-09h/mem
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-22 15:37:28,EHAUSM-R,BIBLE,1,0,0.000500,0.000,0.050,35550162,36369,82,43105,43188,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,303.92,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,158.90,137.23,44,20260922-1536
2026-09-22 15:38:13,EHAUSM-R,BIBLE,1,1,0.000500,0.000,0.050,35550162,36369,93,43927,44020,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,203.92,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,156.15,136.69,44,20260922-1536
2026-09-22 15:38:59,EHAUSM-R,BIBLE,1,2,0.000500,0.000,0.050,35550162,36369,48,44005,44054,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,386.99,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,157.94,137.41,44,20260922-1536
2026-09-22 15:40:40,EHAUSM-I,BIBLE,1,0,0.000500,0.000,0.050,35550162,36369,27,40313,40340,0,0,0,23299890,10979,23076974,0,0.482942,0.000000,0.000000,29772,0,1694.42,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,1790.71,1678.40,41,20260922-1536
2026-09-22 15:42:29,EHAUSM-I,BIBLE,1,1,0.000500,0.000,0.050,35550162,36369,20,46178,46198,0,0,0,23299890,10979,23076974,0,0.482942,0.000000,0.000000,29772,0,2155.88,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,1792.10,1684.98,47,20260922-1536
2026-09-22 15:44:10,EHAUSM-I,BIBLE,1,2,0.000500,0.000,0.050,35550162,36369,19,40295,40314,0,0,0,23299890,10979,23076974,0,0.482942,0.000000,0.000000,29772,0,3438.02,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,live,1791.81,1679.08,40,20260922-1536
2026-09-22 15:46:11,Pre-HAUSPM,BIBLE,1,0,0.000500,0.200,0.050,35550162,36369,3,57634,57637,0,0,0,233525643,0,233174313,0,0.000000,0.000000,0.000000,29772,51666,1221.44,0,0,0,0,SUCCESS,0,2,,,,,,1,0,6913072,2865,,,live,188.40,145.97,57,20260922-1536
2026-09-22 15:48:12,Pre-HAUSPM,BIBLE,1,1,0.000500,0.200,0.050,35550162,36369,2,57376,57379,0,0,0,233525643,0,233174313,0,0.000000,0.000000,0.000000,29772,51666,471.71,0,0,0,0,SUCCESS,0,2,,,,,,1,0,6913072,2865,,,live,189.24,145.99,57,20260922-1536
2026-09-22 15:50:12,Pre-HAUSPM,BIBLE,1,2,0.000500,0.200,0.050,35550162,36369,1,57221,57223,0,0,0,233525643,0,233174313,0,0.000000,0.000000,0.000000,29772,51666,401.55,0,0,0,0,SUCCESS,0,2,,,,,,1,0,6913072,2865,,,live,188.39,145.98,57,20260922-1536
2026-09-22 15:50:40,HAUSP-UB[noEUCS],BIBLE,1,0,0.000500,0.000,0.050,35550162,36369,13,12917,12931,1,0,0,90922505,12054,90687418,11096,0.000000,0.290140,0.297948,29772,0,405.42,90921251,90919615,3861,13905,SUCCESS,223663,3,,142516736,25186112,0,119022464,,,,,747,1075,live,397.82,397.82,13,20260922-1536
2026-09-22 15:51:07,HAUSP-UB[noEUCS],BIBLE,1,1,0.000500,0.000,0.050,35550162,36369,6,12928,12935,1,0,0,90922505,12054,90687418,11096,0.000000,0.290140,0.297948,29772,0,404.78,90921251,90919615,3861,13905,SUCCESS,223663,3,,142516736,25186112,0,119022464,,,,,747,1075,live,397.90,397.90,12,20260922-1536
2026-09-22 15:51:35,HAUSP-UB[noEUCS],BIBLE,1,2,0.000500,0.000,0.050,35550162,36369,4,12867,12872,1,0,0,90922505,12054,90687418,11096,0.000000,0.290140,0.297948,29772,0,404.83,90921251,90919615,3861,13905,SUCCESS,223663,3,,142516736,25186112,0,119022464,,,,,747,1075,live,398.44,398.44,13,20260922-1536
2026-09-22 15:52:21,EHAUSM-R,BIBLE,1,0,0.000500,0.000,0.100,35550162,36369,69,44465,44535,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,218.08,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,158.15,135.85,45,20260922-1536
2026-09-22 15:53:07,EHAUSM-R,BIBLE,1,1,0.000500,0.000,0.100,35550162,36369,46,44447,44493,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,456.20,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,155.99,135.94,45,20260922-1536
2026-09-22 15:53:53,EHAUSM-R,BIBLE,1,2,0.000500,0.000,0.100,35550162,36369,42,44545,44588,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,294.58,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,live,158.06,135.99,45,20260922-1536
