# run_id=20260918-1922 git=1f71e20 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --repeats 3
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-18 19:22:20,EHAUSM-R,BIBLE,0,0,0.001000,0.000,0.200,7617167,7273,51,8370,8421,0,0,0,25214943,4399,25098659,0,0.305843,0.000000,0.000000,9964,0,460.96,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:22:33,EHAUSM-R,BIBLE,1,0,0.001000,0.000,0.200,15283678,14546,19,12660,12680,0,0,0,25415115,7088,25329304,0,0.338954,0.000000,0.000000,10469,0,471.08,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:22:47,EHAUSM-R,BIBLE,2,0,0.001000,0.000,0.200,21271931,21819,79,13474,13554,0,0,0,21229906,9135,21164592,0,0.339368,0.000000,0.000000,8283,0,339.19,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:23:06,EHAUSM-R,BIBLE,3,0,0.001000,0.000,0.200,28633935,29092,45,18983,19029,0,0,0,25139190,10402,25070134,0,0.333905,0.000000,0.000000,8226,0,326.12,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:23:26,EHAUSM-R,BIBLE,4,0,0.001000,0.000,0.200,35550162,36369,50,19170,19220,0,0,0,21936545,12054,21880902,0,0.325249,0.000000,0.000000,6713,0,622.83,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:23:35,EHAUSM-R,BIBLE,0,1,0.001000,0.000,0.200,7617167,7273,16,8350,8366,0,0,0,25214943,4399,25098659,0,0.305843,0.000000,0.000000,9964,0,309.14,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:23:48,EHAUSM-R,BIBLE,1,1,0.001000,0.000,0.200,15283678,14546,27,12726,12753,0,0,0,25415115,7088,25329304,0,0.338954,0.000000,0.000000,10469,0,462.90,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:24:02,EHAUSM-R,BIBLE,2,1,0.001000,0.000,0.200,21271931,21819,34,13326,13360,0,0,0,21229906,9135,21164592,0,0.339368,0.000000,0.000000,8283,0,348.78,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:24:21,EHAUSM-R,BIBLE,3,1,0.001000,0.000,0.200,28633935,29092,40,18895,18936,0,0,0,25139190,10402,25070134,0,0.333905,0.000000,0.000000,8226,0,270.23,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:24:40,EHAUSM-R,BIBLE,4,1,0.001000,0.000,0.200,35550162,36369,48,19079,19128,0,0,0,21936545,12054,21880902,0,0.325249,0.000000,0.000000,6713,0,766.03,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:24:49,EHAUSM-R,BIBLE,0,2,0.001000,0.000,0.200,7617167,7273,14,8341,8356,0,0,0,25214943,4399,25098659,0,0.305843,0.000000,0.000000,9964,0,516.93,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:25:02,EHAUSM-R,BIBLE,1,2,0.001000,0.000,0.200,15283678,14546,30,12691,12721,0,0,0,25415115,7088,25329304,0,0.338954,0.000000,0.000000,10469,0,143.23,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:25:16,EHAUSM-R,BIBLE,2,2,0.001000,0.000,0.200,21271931,21819,35,13313,13348,0,0,0,21229906,9135,21164592,0,0.339368,0.000000,0.000000,8283,0,316.54,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:25:35,EHAUSM-R,BIBLE,3,2,0.001000,0.000,0.200,28633935,29092,42,18901,18943,0,0,0,25139190,10402,25070134,0,0.333905,0.000000,0.000000,8226,0,270.13,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:25:54,EHAUSM-R,BIBLE,4,2,0.001000,0.000,0.200,35550162,36369,47,19095,19143,0,0,0,21936545,12054,21880902,0,0.325249,0.000000,0.000000,6713,0,765.96,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:26:05,EHAUSM-I,BIBLE,0,0,0.001000,0.000,0.200,7617167,7273,58,10101,10160,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,1006.39,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:26:20,EHAUSM-I,BIBLE,1,0,0.001000,0.000,0.200,15283678,14546,20,13903,13923,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,2036.98,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260918-1922
2026-09-18 19:26:34,EHAUSM-I,BIBLE,2,0,0.001000,0.000,0.200,21271931,21819,34,13972,14006,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,5476.34,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260918-1922
