# run_id=20260918-1922 git=1f71e20 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --repeats 3
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-19 13:43:00,EHAUSM-R,BIBLE,0,0,0.000500,0.000,1.000,35550162,36369,360,68055,68415,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,2407.02,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:43:24,HAUSP-UB[noEUCS],BIBLE,0,0,0.000500,0.000,1.000,35550162,36369,36,23069,23105,8,0,0,90922505,12054,90687418,11096,0.000000,0.290140,0.297948,29772,0,2427.53,90933484,90917390,16094,13905,SUCCESS,223663,1,,136430080,25186112,0,18466944,,,,,747,1075,used,,,,20260918-1922
2026-09-19 13:44:32,EHAUSM-R,BIBLE,0,1,0.000500,0.000,1.000,35550162,36369,67,67638,67705,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,2102.77,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:44:56,HAUSP-UB[noEUCS],BIBLE,0,1,0.000500,0.000,1.000,35550162,36369,38,22935,22973,8,0,0,90922505,12054,90687418,11096,0.000000,0.290140,0.297948,29772,0,2428.00,90933484,90917390,16094,13905,SUCCESS,223663,1,,136430080,25186112,0,18466944,,,,,747,1075,used,,,,20260918-1922
2026-09-19 13:46:05,EHAUSM-R,BIBLE,0,2,0.000500,0.000,1.000,35550162,36369,65,67891,67956,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,2103.47,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:46:28,HAUSP-UB[noEUCS],BIBLE,0,2,0.000500,0.000,1.000,35550162,36369,40,22929,22969,8,0,0,90922505,12054,90687418,11096,0.000000,0.290140,0.297948,29772,0,2429.12,90933484,90917390,16094,13905,SUCCESS,223663,1,,136430080,25186112,0,18466944,,,,,747,1075,used,,,,20260918-1922
2026-09-19 13:47:58,EHAUSM-R,BIBLE,0,0,0.000400,0.000,1.000,35550162,36369,66,89092,89159,0,0,0,138453874,10561,138102544,0,0.365089,0.000000,0.000000,48469,0,2842.34,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:48:29,HAUSP-UB[noEUCS],BIBLE,0,0,0.000400,0.000,1.000,35550162,36369,40,29876,29916,8,0,0,138453874,11753,138084291,17061,0.000000,0.298656,0.306572,48469,0,2477.12,138464435,138447890,16545,13905,SUCCESS,352180,1,,153736704,25186112,0,18466944,,,,,850,1192,used,,,,20260918-1922
2026-09-19 13:49:58,EHAUSM-R,BIBLE,0,1,0.000400,0.000,1.000,35550162,36369,70,88917,88988,0,0,0,138453874,10561,138102544,0,0.365089,0.000000,0.000000,48469,0,2104.40,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:50:29,HAUSP-UB[noEUCS],BIBLE,0,1,0.000400,0.000,1.000,35550162,36369,40,29869,29910,8,0,0,138453874,11753,138084291,17061,0.000000,0.298656,0.306572,48469,0,2477.12,138464435,138447890,16545,13905,SUCCESS,352180,1,,153736704,25186112,0,18466944,,,,,850,1192,used,,,,20260918-1922
2026-09-19 13:51:59,EHAUSM-R,BIBLE,0,2,0.000400,0.000,1.000,35550162,36369,70,89069,89140,0,0,0,138453874,10561,138102544,0,0.365089,0.000000,0.000000,48469,0,2858.01,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:52:29,HAUSP-UB[noEUCS],BIBLE,0,2,0.000400,0.000,1.000,35550162,36369,40,29879,29919,8,0,0,138453874,11753,138084291,17061,0.000000,0.298656,0.306572,48469,0,2477.12,138464435,138447890,16545,13905,SUCCESS,352180,1,,153736704,25186112,0,18466944,,,,,850,1192,used,,,,20260918-1922
2026-09-19 13:55:10,EHAUSM-R,BIBLE,0,0,0.000250,0.000,1.000,35550162,36369,70,159614,159685,0,0,0,321540804,9506,320609897,0,0.383210,0.000000,0.000000,135751,0,3207.28,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:56:03,HAUSP-UB[noEUCS],BIBLE,0,0,0.000250,0.000,1.000,35550162,36369,45,52629,52674,8,0,0,321540804,10979,320562932,45492,0.000000,0.315067,0.323167,135751,0,2621.12,321550310,321532603,17707,13905,SUCCESS,932010,1,,193443840,25186112,0,18466944,,,,,1103,1473,used,,,,20260918-1922
2026-09-19 13:58:43,EHAUSM-R,BIBLE,0,1,0.000250,0.000,1.000,35550162,36369,70,158833,158904,0,0,0,321540804,9506,320609897,0,0.383210,0.000000,0.000000,135751,0,3821.30,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 13:59:36,HAUSP-UB[noEUCS],BIBLE,0,1,0.000250,0.000,1.000,35550162,36369,39,52483,52523,8,0,0,321540804,10979,320562932,45492,0.000000,0.315067,0.323167,135751,0,2621.12,321550310,321532603,17707,13905,SUCCESS,932010,1,,193443840,25186112,0,18466944,,,,,1103,1473,used,,,,20260918-1922
2026-09-19 14:02:16,EHAUSM-R,BIBLE,0,2,0.000250,0.000,1.000,35550162,36369,71,158959,159031,0,0,0,321540804,9506,320609897,0,0.383210,0.000000,0.000000,135751,0,3186.51,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:03:09,HAUSP-UB[noEUCS],BIBLE,0,2,0.000250,0.000,1.000,35550162,36369,40,52421,52462,8,0,0,321540804,10979,320562932,45492,0.000000,0.315067,0.323167,135751,0,2621.12,321550310,321532603,17707,13905,SUCCESS,932010,1,,193443840,25186112,0,18466944,,,,,1103,1473,used,,,,20260918-1922
2026-09-19 14:04:33,EHAUSM-R,BMS1_SPMF,0,0,0.003500,0.000,1.000,7229030,59601,18,82976,82994,0,0,0,103110382,133,102437138,0,0.090065,0.000000,0.000000,93,0,2543.02,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:05:15,HAUSP-UB[noEUCS],BMS1_SPMF,0,0,0.003500,0.000,1.000,7229030,59601,14,41773,41788,4,0,0,103110382,170,102437014,87,0.000000,0.039763,0.039814,93,0,1975.90,103110515,103109564,951,497,SUCCESS,673331,1,,1762816,4788416,0,3355264,,,,,87,37,used,,,,20260918-1922
2026-09-19 14:06:39,EHAUSM-R,BMS1_SPMF,0,1,0.003500,0.000,1.000,7229030,59601,24,83263,83288,0,0,0,103110382,133,102437138,0,0.090065,0.000000,0.000000,93,0,4238.07,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:07:21,HAUSP-UB[noEUCS],BMS1_SPMF,0,1,0.003500,0.000,1.000,7229030,59601,12,41820,41833,3,0,0,103110382,170,102437014,87,0.000000,0.039763,0.039814,93,0,1974.40,103110515,103109564,951,497,SUCCESS,673331,1,,1753600,4788416,0,3355264,,,,,87,37,used,,,,20260918-1922
2026-09-19 14:08:46,EHAUSM-R,BMS1_SPMF,0,2,0.003500,0.000,1.000,7229030,59601,19,83731,83751,0,0,0,103110382,133,102437138,0,0.090065,0.000000,0.000000,93,0,5965.31,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:09:28,HAUSP-UB[noEUCS],BMS1_SPMF,0,2,0.003500,0.000,1.000,7229030,59601,13,41796,41809,3,0,0,103110382,170,102437014,87,0.000000,0.039763,0.039814,93,0,1974.40,103110515,103109564,951,497,SUCCESS,673331,1,,1753600,4788416,0,3355264,,,,,87,37,used,,,,20260918-1922
2026-09-19 14:13:01,EHAUSM-R,BMS1_SPMF,0,0,0.003200,0.000,1.000,7229030,59601,18,212134,212153,0,0,0,262577496,128,260826568,0,0.098763,0.000000,0.000000,105,0,2565.68,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:14:49,HAUSP-UB[noEUCS],BMS1_SPMF,0,0,0.003200,0.000,1.000,7229030,59601,12,106985,106997,3,0,0,262577496,159,260826443,94,0.000000,0.044439,0.044460,105,0,1974.40,262577624,262576629,995,497,SUCCESS,1751022,1,,1722368,4788416,0,3355264,,,,,94,31,used,,,,20260918-1922
2026-09-19 14:18:22,EHAUSM-R,BMS1_SPMF,0,1,0.003200,0.000,1.000,7229030,59601,19,211983,212002,0,0,0,262577496,128,260826568,0,0.098763,0.000000,0.000000,105,0,4005.46,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:20:10,HAUSP-UB[noEUCS],BMS1_SPMF,0,1,0.003200,0.000,1.000,7229030,59601,12,106920,106932,3,0,0,262577496,159,260826443,94,0.000000,0.044439,0.044460,105,0,1974.40,262577624,262576629,995,497,SUCCESS,1751022,1,,1722368,4788416,0,3355264,,,,,94,31,used,,,,20260918-1922
2026-09-19 14:23:44,EHAUSM-R,BMS1_SPMF,0,2,0.003200,0.000,1.000,7229030,59601,19,212690,212710,0,0,0,262577496,128,260826568,0,0.098763,0.000000,0.000000,105,0,3741.80,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:25:31,HAUSP-UB[noEUCS],BMS1_SPMF,0,2,0.003200,0.000,1.000,7229030,59601,12,106694,106706,2,0,0,262577496,159,260826443,94,0.000000,0.044439,0.044460,105,0,1974.40,262577624,262576629,995,497,SUCCESS,1751022,1,,1722368,4788416,0,3355264,,,,,94,31,used,,,,20260918-1922
2026-09-19 14:34:01,EHAUSM-R,BMS1_SPMF,0,0,0.003000,0.000,1.000,7229030,59601,19,508280,508299,0,0,0,622589180,125,618286892,0,0.103648,0.000000,0.000000,114,0,3479.23,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:38:18,HAUSP-UB[noEUCS],BMS1_SPMF,0,0,0.003000,0.000,1.000,7229030,59601,55,255583,255639,22,0,0,622589180,157,618286771,89,0.000000,0.046707,0.046716,114,0,1975.53,622589305,622588285,1020,497,SUCCESS,4302377,1,,1964032,4788416,0,3355264,,,,,89,32,used,,,,20260918-1922
2026-09-19 14:46:47,EHAUSM-R,BMS1_SPMF,0,1,0.003000,0.000,1.000,7229030,59601,25,507572,507598,0,0,0,622589180,125,618286892,0,0.103648,0.000000,0.000000,114,0,5054.62,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 14:51:02,HAUSP-UB[noEUCS],BMS1_SPMF,0,1,0.003000,0.000,1.000,7229030,59601,53,254793,254846,20,0,0,622589180,157,618286771,89,0.000000,0.046707,0.046716,114,0,1974.41,622589305,622588285,1020,497,SUCCESS,4302377,1,,0,4788416,0,3355264,,,,,89,32,used,,,,20260918-1922
