# run_id=20260918-1922 git=1f71e20 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --repeats 3
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-19 22:01:29,EHAUSM-I,BIBLE,0,0,0.001000,0.000,0.200,7617167,7273,51,15569,15621,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,2502.26,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:01:51,EHAUSM-I,BIBLE,1,0,0.001000,0.000,0.200,15283678,14546,19,21481,21501,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,3658.16,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:02:12,EHAUSM-I,BIBLE,2,0,0.001000,0.000,0.200,21271931,21819,21,21054,21075,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,4790.91,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:02:44,EHAUSM-I,BIBLE,3,0,0.001000,0.000,0.200,28633935,29092,27,31103,31130,0,0,0,15156855,10402,15087799,0,0.451252,0.000000,0.000000,8226,0,6530.82,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:03:13,EHAUSM-I,BIBLE,4,0,0.001000,0.000,0.200,35550162,36369,29,28388,28418,0,0,0,8115828,12054,8060185,0,0.432059,0.000000,0.000000,6713,0,5543.59,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:03:29,EHAUSM-I,BIBLE,0,1,0.001000,0.000,0.200,7617167,7273,16,15768,15785,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,8908.03,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:03:51,EHAUSM-I,BIBLE,1,1,0.001000,0.000,0.200,15283678,14546,18,21313,21332,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,6304.03,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:04:12,EHAUSM-I,BIBLE,2,1,0.001000,0.000,0.200,21271931,21819,18,20532,20551,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,4449.37,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:04:42,EHAUSM-I,BIBLE,3,1,0.001000,0.000,0.200,28633935,29092,26,29183,29210,0,0,0,15156855,10402,15087799,0,0.451252,0.000000,0.000000,8226,0,3450.89,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:05:09,EHAUSM-I,BIBLE,4,1,0.001000,0.000,0.200,35550162,36369,29,26990,27019,0,0,0,8115828,12054,8060185,0,0.432059,0.000000,0.000000,6713,0,5640.98,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:05:25,EHAUSM-I,BIBLE,0,2,0.001000,0.000,0.200,7617167,7273,16,14601,14617,0,0,0,25214943,4399,25098659,0,0.483665,0.000000,0.000000,9964,0,4508.78,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:05:45,EHAUSM-I,BIBLE,1,2,0.001000,0.000,0.200,15283678,14546,18,20314,20333,0,0,0,17714355,7088,17628544,0,0.490670,0.000000,0.000000,10469,0,5171.28,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:06:06,EHAUSM-I,BIBLE,2,2,0.001000,0.000,0.200,21271931,21819,19,20413,20432,0,0,0,9130023,9135,9064709,0,0.458285,0.000000,0.000000,8283,0,8403.83,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:06:36,EHAUSM-I,BIBLE,3,2,0.001000,0.000,0.200,28633935,29092,26,29290,29317,0,0,0,15156855,10402,15087799,0,0.451252,0.000000,0.000000,8226,0,3769.66,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
2026-09-19 22:07:03,EHAUSM-I,BIBLE,4,2,0.001000,0.000,0.200,35550162,36369,30,27020,27051,0,0,0,8115828,12054,8060185,0,0.432059,0.000000,0.000000,6713,0,6248.95,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260918-1922
