# run_id=20260920-0654 git=3b44d0a jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --dataset tafeng --repeats 3
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-20 09:24:42,EHAUSM-R,TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,61,1319,1381,0,0,0,5614666,17403,5612194,0,0.022710,0.000000,0.000000,81,0,591.92,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:24:43,HAUSP-UB[noEUCS],TAFENG,0,0,0.002000,0.000,1.000,108290594,32266,22,474,497,3,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,384.25,5632069,5602200,29869,23812,SUCCESS,4284,1,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260920-0654
2026-09-20 09:24:44,EHAUSM-R,TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,39,1162,1202,0,0,0,5614666,17403,5612194,0,0.022710,0.000000,0.000000,81,0,845.93,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:24:45,HAUSP-UB[noEUCS],TAFENG,0,1,0.002000,0.000,1.000,108290594,32266,22,472,495,3,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,384.25,5632069,5602200,29869,23812,SUCCESS,4284,1,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260920-0654
2026-09-20 09:24:47,EHAUSM-R,TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,41,1170,1211,0,0,0,5614666,17403,5612194,0,0.022710,0.000000,0.000000,81,0,702.33,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:24:48,HAUSP-UB[noEUCS],TAFENG,0,2,0.002000,0.000,1.000,108290594,32266,22,481,504,3,0,0,5614666,20253,5607532,1812,0.000000,0.028380,0.039214,81,0,384.25,5632069,5602200,29869,23812,SUCCESS,4284,1,,11206272,20582408,0,19256576,,,,,1812,2850,used,,,,20260920-0654
2026-09-20 09:24:50,EHAUSM-R,TAFENG,0,0,0.001500,0.000,1.000,108290594,32266,41,1607,1648,0,0,0,9003918,15945,8999686,0,0.022060,0.000000,0.000000,97,0,704.25,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:24:51,HAUSP-UB[noEUCS],TAFENG,0,0,0.001500,0.000,1.000,108290594,32266,22,670,692,3,0,0,9003918,19225,8994259,2147,0.000000,0.025197,0.035053,97,0,392.25,9019863,8988649,31214,23812,SUCCESS,6377,1,,12661248,20582408,0,19256576,,,,,2145,3280,used,,,,20260920-0654
2026-09-20 09:24:53,EHAUSM-R,TAFENG,0,1,0.001500,0.000,1.000,108290594,32266,40,1630,1671,0,0,0,9003918,15945,8999686,0,0.022060,0.000000,0.000000,97,0,719.54,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:24:54,HAUSP-UB[noEUCS],TAFENG,0,1,0.001500,0.000,1.000,108290594,32266,22,673,696,3,0,0,9003918,19225,8994259,2147,0.000000,0.025197,0.035053,97,0,392.25,9019863,8988649,31214,23812,SUCCESS,6377,1,,12661248,20582408,0,19256576,,,,,2145,3280,used,,,,20260920-0654
2026-09-20 09:24:56,EHAUSM-R,TAFENG,0,2,0.001500,0.000,1.000,108290594,32266,40,1609,1650,0,0,0,9003918,15945,8999686,0,0.022060,0.000000,0.000000,97,0,705.58,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:24:57,HAUSP-UB[noEUCS],TAFENG,0,2,0.001500,0.000,1.000,108290594,32266,22,676,699,3,0,0,9003918,19225,8994259,2147,0.000000,0.025197,0.035053,97,0,392.25,9019863,8988649,31214,23812,SUCCESS,6377,1,,12661248,20582408,0,19256576,,,,,2145,3280,used,,,,20260920-0654
2026-09-20 09:25:00,EHAUSM-R,TAFENG,0,0,0.001000,0.000,1.000,108290594,32266,42,2939,2982,0,0,0,18559674,13837,18510429,0,0.036156,0.000000,0.000000,38829,0,360.12,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:25:02,HAUSP-UB[noEUCS],TAFENG,0,0,0.001000,0.000,1.000,108290594,32266,22,1108,1130,3,0,0,18559674,17403,18467251,39612,0.000000,0.439267,0.440320,38829,0,424.25,18573511,18540147,33364,23812,SUCCESS,88846,1,,14717312,20582408,0,19256576,,,,,39601,3566,used,,,,20260920-0654
2026-09-20 09:25:05,EHAUSM-R,TAFENG,0,1,0.001000,0.000,1.000,108290594,32266,42,2900,2943,0,0,0,18559674,13837,18510429,0,0.036156,0.000000,0.000000,38829,0,615.16,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:25:07,HAUSP-UB[noEUCS],TAFENG,0,1,0.001000,0.000,1.000,108290594,32266,23,1094,1117,3,0,0,18559674,17403,18467251,39612,0.000000,0.439267,0.440320,38829,0,424.25,18573511,18540147,33364,23812,SUCCESS,88846,1,,14717312,20582408,0,19256576,,,,,39601,3566,used,,,,20260920-0654
2026-09-20 09:25:10,EHAUSM-R,TAFENG,0,2,0.001000,0.000,1.000,108290594,32266,43,2880,2923,0,0,0,18559674,13837,18510429,0,0.036156,0.000000,0.000000,38829,0,1928.94,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:25:12,HAUSP-UB[noEUCS],TAFENG,0,2,0.001000,0.000,1.000,108290594,32266,22,1090,1113,3,0,0,18559674,17403,18467251,39612,0.000000,0.439267,0.440320,38829,0,424.25,18573511,18540147,33364,23812,SUCCESS,88846,1,,14717312,20582408,0,19256576,,,,,39601,3566,used,,,,20260920-0654
