# run_id=20260920-0654 git=3b44d0a jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --dataset tafeng --repeats 3
Dataset,MinUtil,BatchID,RunIndex,HAUSP_EHAUSM-R,HAUSP_HAUSP-UB,Status,RunID,UBArm
TAFENG,0.001600,0,0,23,23,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,1,0,22,22,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,2,0,38766,38766,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,3,0,1863,1863,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,4,0,96,96,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,0,1,23,23,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,1,1,22,22,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,2,1,38766,38766,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,3,1,1863,1863,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,4,1,96,96,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,0,2,23,23,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,1,2,22,22,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,2,2,38766,38766,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,3,2,1863,1863,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
TAFENG,0.001600,4,2,96,96,SUCCESS_MATCH,20260920-0654,HAUSP-UB[noEUCS]
