# run_id=20260920-0654 git=3b44d0a jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --dataset tafeng --repeats 3
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-20 09:28:32,EHAUSM-I,TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,19,44919,44939,0,0,0,465248232,9557,464754232,0,0.020926,0.000000,0.000000,23,0,1642.26,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:28:34,EHAUSM-I,TAFENG,1,0,0.001600,0.000,0.200,46344420,12906,14,1103,1118,0,0,0,3148434,13080,3143738,0,0.140142,0.000000,0.000000,22,0,2941.95,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:28:35,EHAUSM-I,TAFENG,2,0,0.001600,0.000,0.200,71466201,19359,16,1140,1157,0,0,0,3282595,14907,3238556,0,0.128314,0.000000,0.000000,38766,0,701.90,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:28:36,EHAUSM-I,TAFENG,3,0,0.001600,0.000,0.200,90187956,25812,18,1095,1113,0,0,0,1996918,15772,1991769,0,0.127180,0.000000,0.000000,1863,0,562.90,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:28:38,EHAUSM-I,TAFENG,4,0,0.001600,0.000,0.200,108290594,32266,17,1325,1343,0,0,0,2330028,16292,2326353,0,0.092116,0.000000,0.000000,96,0,473.51,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:29:24,EHAUSM-I,TAFENG,0,1,0.001600,0.000,0.200,22786539,6453,10,45019,45030,0,0,0,465248232,9557,464754232,0,0.020926,0.000000,0.000000,23,0,733.62,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:29:25,EHAUSM-I,TAFENG,1,1,0.001600,0.000,0.200,46344420,12906,13,947,961,0,0,0,3148434,13080,3143738,0,0.140142,0.000000,0.000000,22,0,1507.84,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:29:27,EHAUSM-I,TAFENG,2,1,0.001600,0.000,0.200,71466201,19359,16,1257,1273,0,0,0,3282595,14907,3238556,0,0.128314,0.000000,0.000000,38766,0,566.14,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:29:28,EHAUSM-I,TAFENG,3,1,0.001600,0.000,0.200,90187956,25812,18,1100,1118,0,0,0,1996918,15772,1991769,0,0.127180,0.000000,0.000000,1863,0,436.06,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:29:30,EHAUSM-I,TAFENG,4,1,0.001600,0.000,0.200,108290594,32266,17,1335,1353,0,0,0,2330028,16292,2326353,0,0.092116,0.000000,0.000000,96,0,459.35,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:16,EHAUSM-I,TAFENG,0,2,0.001600,0.000,0.200,22786539,6453,10,45076,45086,0,0,0,465248232,9557,464754232,0,0.020926,0.000000,0.000000,23,0,2410.79,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:17,EHAUSM-I,TAFENG,1,2,0.001600,0.000,0.200,46344420,12906,13,1093,1107,0,0,0,3148434,13080,3143738,0,0.140142,0.000000,0.000000,22,0,2910.86,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:18,EHAUSM-I,TAFENG,2,2,0.001600,0.000,0.200,71466201,19359,16,1130,1147,0,0,0,3282595,14907,3238556,0,0.128314,0.000000,0.000000,38766,0,700.90,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:20,EHAUSM-I,TAFENG,3,2,0.001600,0.000,0.200,90187956,25812,16,1236,1253,0,0,0,1996918,15772,1991769,0,0.127180,0.000000,0.000000,1863,0,577.69,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:21,EHAUSM-I,TAFENG,4,2,0.001600,0.000,0.200,108290594,32266,17,1328,1346,0,0,0,2330028,16292,2326353,0,0.092116,0.000000,0.000000,96,0,459.38,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:54,EHAUSM-R,TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,9,31610,31620,0,0,0,465248232,9557,464754232,0,0.005696,0.000000,0.000000,23,0,876.42,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:55,EHAUSM-R,TAFENG,1,0,0.001600,0.000,0.200,46344420,12906,18,1003,1022,0,0,0,6694115,13080,6689419,0,0.015990,0.000000,0.000000,22,0,734.55,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:56,EHAUSM-R,TAFENG,2,0,0.001600,0.000,0.200,71466201,19359,24,1169,1194,0,0,0,7356577,14907,7312538,0,0.050771,0.000000,0.000000,38766,0,1043.94,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:30:58,EHAUSM-R,TAFENG,3,0,0.001600,0.000,0.200,90187956,25812,32,1399,1432,0,0,0,7087294,15772,7082145,0,0.028100,0.000000,0.000000,1863,0,2477.30,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:31:00,EHAUSM-R,TAFENG,4,0,0.001600,0.000,0.200,108290594,32266,39,1543,1582,0,0,0,8104030,16292,8100355,0,0.022171,0.000000,0.000000,96,0,585.41,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:31:32,EHAUSM-R,TAFENG,0,1,0.001600,0.000,0.200,22786539,6453,9,31624,31633,0,0,0,465248232,9557,464754232,0,0.005696,0.000000,0.000000,23,0,796.22,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:31:33,EHAUSM-R,TAFENG,1,1,0.001600,0.000,0.200,46344420,12906,17,1007,1024,0,0,0,6694115,13080,6689419,0,0.015990,0.000000,0.000000,22,0,734.84,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
2026-09-20 09:31:35,EHAUSM-R,TAFENG,2,1,0.001600,0.000,0.200,71466201,19359,26,1183,1210,0,0,0,7356577,14907,7312538,0,0.050771,0.000000,0.000000,38766,0,1044.03,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,,used,,,,20260920-0654
