# run_id=20260904-0745 git=0cefc9f jvm=26.0.1 heap=2g host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(23) cmd=--exp 6 --dataset example --results-dir results-probe --repeats 1 --timeout 5
Dataset,MinUtil,BatchID,RunIndex,HAUSP_EHAUSM-R,HAUSP_HAUSP-UB,Status,RunID
example,0.050000,0,0,7,7,SUCCESS_MATCH,20260904-0745
example,0.050000,1,0,18,18,SUCCESS_MATCH,20260904-0745
example,0.050000,2,0,28,28,SUCCESS_MATCH,20260904-0745
example,0.050000,3,0,38,38,SUCCESS_MATCH,20260904-0745
example,0.050000,4,0,118,118,SUCCESS_MATCH,20260904-0745
# run_id=20260904-0757 git=e0ec34f jvm=26.0.1 heap=8.0g(max) host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(6) cmd=--exp 6 --dataset example --results-dir results-probe --repeats 1
example,0.050000,0,0,7,7,SUCCESS_MATCH,20260904-0757
example,0.050000,1,0,18,18,SUCCESS_MATCH,20260904-0757
example,0.050000,2,0,28,28,SUCCESS_MATCH,20260904-0757
example,0.050000,3,0,38,38,SUCCESS_MATCH,20260904-0757
example,0.050000,4,0,118,118,SUCCESS_MATCH,20260904-0757
# run_id=20260905-2101 git=c1b9d6d jvm=26.0.1 heap=1g host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(3) cmd=--exp 6 --dataset example --repeats 1 --results-dir results-probe
example,0.050000,0,0,7,7,SUCCESS_MATCH,20260905-2101
example,0.050000,1,0,18,18,SUCCESS_MATCH,20260905-2101
example,0.050000,2,0,28,28,SUCCESS_MATCH,20260905-2101
example,0.050000,3,0,38,38,SUCCESS_MATCH,20260905-2101
example,0.050000,4,0,118,118,SUCCESS_MATCH,20260905-2101
# run_id=20260905-2101 git=c1b9d6d jvm=26.0.1 heap=8.0g(max) host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(3) cmd=--exp 6 --dataset example --repeats 1 --results-dir results-probe
example,0.050000,0,0,7,7,SUCCESS_MATCH,20260905-2101
example,0.050000,1,0,18,18,SUCCESS_MATCH,20260905-2101
example,0.050000,2,0,28,28,SUCCESS_MATCH,20260905-2101
example,0.050000,3,0,38,38,SUCCESS_MATCH,20260905-2101
example,0.050000,4,0,118,118,SUCCESS_MATCH,20260905-2101
