# run_id=20260924-2133 git=9085f9e jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(2) data=51a0304d3d57 cmd=--exp 11 --timeout 90 --dataset tafeng --k 100 --algo HAUSP-UB[noEUCS] --repeats 1 --mem-mode live --results-dir results-probe/mem-exp11-tafeng/mem
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-24 21:34:08,HAUSP-UB[noEUCS],TAFENG,0,0,0.001600,0.000,0.200,22786539,6453,37,10937,10974,9,0,0,465248232,12474,464749007,2308,0.000000,0.002582,0.002718,23,0,72.05,465257789,465234802,22987,17484,SUCCESS,496142,0,warm20,1995264,4654648,0,5051520,,,,,2142,2917,live,63.39,63.30,11,20260924-2133
2026-09-24 21:34:11,HAUSP-UB[noEUCS],TAFENG,1,0,0.001600,0.000,0.008,23693017,6714,3,3573,3577,0,0,0,146062587,12694,145899791,2113,0.000000,0.003421,0.003832,23,0,67.62,146054790,146054630,5663,17656,SUCCESS,159764,0,warm20,4199168,4852632,0,5312768,,,,,2088,3007,live,65.00,65.00,4,20260924-2133
2026-09-24 21:34:13,HAUSP-UB[noEUCS],TAFENG,2,0,0.001600,0.000,0.008,24630782,6975,3,1865,1868,0,0,0,71164323,12894,71079726,2163,0.000000,0.004369,0.005181,23,0,68.50,71156589,71156333,5747,17851,SUCCESS,81588,0,warm20,5249920,5054808,0,5630464,,,,,2126,2972,live,67.08,67.08,2,20260924-2133
2026-09-24 21:34:15,HAUSP-UB[noEUCS],TAFENG,3,0,0.001600,0.000,0.008,25450673,7236,1,1632,1634,0,0,0,60667350,13147,60595096,2095,0.000000,0.004471,0.005415,23,0,70.92,60659609,60659493,5668,18024,SUCCESS,69202,0,warm20,5826944,5225672,0,5944192,,,,,2080,3037,live,67.49,67.49,2,20260924-2133
2026-09-24 21:34:17,HAUSP-UB[noEUCS],TAFENG,4,0,0.001600,0.000,0.008,26324684,7497,0,1486,1487,0,0,0,52759249,13323,52696491,2137,0.000000,0.004602,0.005686,23,0,71.34,52751522,52751336,5681,18172,SUCCESS,59687,0,warm20,6467072,5407392,0,6241664,,,,,2092,3026,live,69.29,69.29,2,20260924-2133
2026-09-24 21:34:18,HAUSP-UB[noEUCS],TAFENG,5,0,0.001600,0.000,0.008,27178452,7758,0,1242,1243,0,0,0,43876692,13503,43824520,2290,0.000000,0.004971,0.006292,23,0,73.13,43868993,43868861,5665,18315,SUCCESS,48912,0,warm20,7096192,5583728,0,6590848,,,,,2060,3030,live,69.77,69.77,2,20260924-2133
2026-09-24 21:34:19,HAUSP-UB[noEUCS],TAFENG,6,0,0.001600,0.000,0.008,28123397,8019,0,1064,1065,0,0,0,36477956,13589,36434721,2103,0.000000,0.005514,0.007160,24,0,73.61,36470228,36469904,5846,18479,SUCCESS,40221,0,warm20,7724032,5767752,0,6944512,,,,,2091,3002,live,71.28,71.28,2,20260924-2133
2026-09-24 21:34:20,HAUSP-UB[noEUCS],TAFENG,7,0,0.001600,0.000,0.008,29045569,8280,0,952,953,0,0,0,31021594,13790,30984677,2113,0.000000,0.005878,0.007823,25,0,75.12,31013879,31013626,5935,18655,SUCCESS,33859,0,warm20,8263040,5956072,0,7345408,,,,,2081,3026,live,72.73,72.73,1,20260924-2133
2026-09-24 21:34:21,HAUSP-UB[noEUCS],TAFENG,8,0,0.001600,0.000,0.008,29928722,8541,0,796,797,0,0,0,24590457,13952,24560792,2107,0.000000,0.006747,0.009199,25,0,76.57,24582730,24582576,5913,18790,SUCCESS,26623,0,warm20,8711808,6127824,0,7709568,,,,,2089,3024,live,73.24,73.24,1,20260924-2133
2026-09-24 21:34:22,HAUSP-UB[noEUCS],TAFENG,9,0,0.001600,0.000,0.008,30937483,8802,0,620,621,0,0,0,17875502,14073,17853163,2129,0.000000,0.008472,0.011847,26,0,77.08,17867755,17867501,6032,18945,SUCCESS,19291,0,warm20,9338752,6326232,0,8088704,,,,,2111,3030,live,74.64,74.64,1,20260924-2133
