88134:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:      95627122     6555625240  [I (java.base@26.0.1)
   2:      55529833     4128751664  [Ljava.lang.Object; (java.base@26.0.1)
   3:      55369819     3543668416  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
   4:      80505579     3239954544  [J (java.base@26.0.1)
   5:      40251598     2898115056  EHAUSM_Inc$UtilityList
   6:      80503196     1932076704  it.unimi.dsi.fastutil.longs.LongArrayList
   7:      40251570     1288050240  EHAUSM_Inc$IncNode
   8:      40251570      966037680  EHAUSM_Inc$PatternKey
   9:      55369806      885916896  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap$KeySet
  10:         15334       31586488  [Ljdk.internal.vm.FillerElement; (java.base@26.0.1)
  11:        887332       28394624  ItemQ
  12:             6        5005864  [Z (java.base@26.0.1)
  13:        158582        3805968  java.util.ArrayList (java.base@26.0.1)
  14:         19331        2398784  [B (java.base@26.0.1)
  15:        111324        1781184  Itemset
  16:         47132        1508224  Sequence
  17:         18419         442056  java.lang.String (java.base@26.0.1)
  18:          2194         288368  java.lang.Class (java.base@26.0.1)
  19:          6564         210048  java.util.concurrent.ConcurrentHashMap$Node (java.base@26.0.1)
  20:          3196         102272  java.util.HashMap$Node (java.base@26.0.1)
  21:          2338          93520  jdk.internal.util.SoftReferenceKey (java.base@26.0.1)
  22:           217          56784  [C (java.base@26.0.1)
  23:            76          53920  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@26.0.1)
  24:           348          53200  [Ljava.util.HashMap$Node; (java.base@26.0.1)
  25:          1184          37888  java.util.Locale (java.base@26.0.1)
  26:          1184          37888  sun.util.locale.BaseLocale (java.base@26.0.1)
  27:          1199          28776  jdk.internal.lang.LazyConstantImpl (java.base@26.0.1)
  28:          1180          18880  java.util.Locale$3 (java.base@26.0.1)
  29:           352          16896  java.util.HashMap (java.base@26.0.1)
  30:             1          16400  [Ljdk.internal.ref.PhantomCleanable; (java.base@26.0.1)
  31:           204          15504  [Ljava.lang.ref.SoftReference; (java.base@26.0.1)
  32:           387          15480  java.lang.invoke.MethodType (java.base@26.0.1)
  33:           290          13920  java.lang.invoke.MemberName (java.base@26.0.1)
  34:           404          12928  jdk.internal.util.WeakReferenceKey (java.base@26.0.1)
  35:           351          12824  [Ljava.lang.String; (java.base@26.0.1)
  36:           281          11240  sun.security.util.KnownOIDs (java.base@26.0.1)
  37:           342          10944  jdk.internal.math.FDBigInteger (java.base@26.0.1)
  38:           316           9656  [Ljava.lang.Class; (java.base@26.0.1)
  39:           366           8784  java.lang.module.ModuleDescriptor$Exports (java.base@26.0.1)
  40:           213           8520  java.lang.classfile.Opcode (java.base@26.0.1)
  41:           209           6688  java.lang.invoke.LambdaForm$Name (java.base@26.0.1)
  42:           102           6528  java.util.concurrent.ConcurrentHashMap (java.base@26.0.1)
  43:            26           6392  [Ljava.lang.invoke.MethodHandle; (java.base@26.0.1)
  44:           394           6304  java.lang.Object (java.base@26.0.1)
  45:           256           6144  java.lang.Long (java.base@26.0.1)
