# run_id=20260917-1042 git=568a52d jvm=26.0.1 heap=8.0g(max) host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(6) cmd=--exp 1 --dataset sign,leviathan --algo HAUSP-UB[noEUCS] --repeats 1 --results-dir results-probe/prefix-check
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
2026-09-17 10:42:58,HAUSP-UB[noEUCS],LEVIATHAN,0,0,0.003000,0.000,0.200,2833171,1166,29,277,306,9,0,0,2369635,3333,2350982,1214,0.000000,0.363978,0.376474,4440,0,46.24,2372374,2367666,4708,4038,SUCCESS,17202,0,,3392768,1192704,0,1136384,,,,,357,594,used,,,,20260917-1042
2026-09-17 10:42:59,HAUSP-UB[noEUCS],LEVIATHAN,1,0,0.003000,0.000,0.200,5742029,2332,6,496,503,1,0,0,4381765,5060,4356527,1637,0.000000,0.369428,0.382278,5965,0,62.31,4382243,4380552,2361,5731,SUCCESS,23380,0,,7950336,2485664,0,5703040,,,,,323,544,used,,,,20260917-1042
2026-09-17 10:43:00,HAUSP-UB[noEUCS],LEVIATHAN,2,0,0.003000,0.000,0.200,8655898,3498,6,821,827,1,0,0,5564058,6468,5536430,1659,0.000000,0.371106,0.383258,6387,0,82.08,5564258,5562851,2075,7137,SUCCESS,25753,0,,12963840,3784224,0,14546944,,,,,321,537,used,,,,20260917-1042
2026-09-17 10:43:01,HAUSP-UB[noEUCS],LEVIATHAN,3,0,0.003000,0.000,0.200,11406844,4664,6,1110,1116,1,0,0,6078888,7425,6051489,1738,0.000000,0.365936,0.378513,6281,0,97.58,6078644,6077656,1657,8110,SUCCESS,25454,0,,14438912,5049280,0,28472704,,,,,325,532,used,,,,20260917-1042
2026-09-17 10:43:03,HAUSP-UB[noEUCS],LEVIATHAN,4,0,0.003000,0.000,0.200,14156241,5834,5,1534,1540,0,0,0,6599011,8336,6570516,1777,0.000000,0.366961,0.379732,6511,0,115.75,6598678,6597758,1604,9025,SUCCESS,26495,0,,22585344,6312032,0,47054080,,,,,336,559,used,,,,20260917-1042
2026-09-17 10:43:07,HAUSP-UB[noEUCS],SIGN,0,0,0.003000,0.000,0.200,319686,146,7,3344,3352,1,0,0,106349081,2,104965474,143,0.000000,0.178773,0.178783,23387,0,19.56,106349081,106348144,937,217,SUCCESS,1383605,0,,1098240,242848,0,179968,,,,,143,2,used,,,,20260917-1042
2026-09-17 10:43:12,HAUSP-UB[noEUCS],SIGN,1,0,0.003000,0.000,0.200,642036,292,1,4626,4627,0,0,0,102988598,22,102048886,61,0.000000,0.181681,0.181697,17303,0,23.47,102988384,102988316,788,246,SUCCESS,939693,0,,2159104,486720,0,400768,,,,,61,19,used,,,,20260917-1042
2026-09-17 10:43:17,HAUSP-UB[noEUCS],SIGN,2,0,0.003000,0.000,0.200,955150,438,0,4900,4900,0,0,0,85023548,33,84336125,53,0.000000,0.184860,0.184882,14594,0,24.99,85023314,85023311,762,255,SUCCESS,687402,0,,3246080,721888,0,577536,,,,,53,21,used,,,,20260917-1042
2026-09-17 10:43:23,HAUSP-UB[noEUCS],SIGN,3,0,0.003000,0.000,0.200,1316615,584,0,5560,5561,0,0,0,84148511,30,83536262,65,0.000000,0.177132,0.177159,12887,0,25.71,84148270,84148270,749,267,SUCCESS,612233,0,,4172800,963200,0,819072,,,,,65,16,used,,,,20260917-1042
2026-09-17 10:43:30,HAUSP-UB[noEUCS],SIGN,4,0,0.003000,0.000,0.200,1668652,730,0,6713,6713,0,0,0,87193705,32,86599744,60,0.000000,0.176058,0.176085,12666,0,27.74,87193456,87193443,754,267,SUCCESS,593947,0,,5608448,1214656,0,1015808,,,,,60,14,used,,,,20260917-1042
