Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status
2026-06-30 08:54:27,EHAUSM-R,BIBLE,0,0,0.001,0.0,0.2,7617167,7273,51,8492,8552,0,0,0,25214943,4399,25098659,0,0.305843,0.0,0.0,9964,0,557.85,0,0,0,0,SUCCESS
2026-06-30 08:54:40,EHAUSM-R,BIBLE,1,0,0.001,0.0,0.2,15283678,14546,29,12807,12837,0,0,0,25415115,7088,25329304,0,0.338954,0.0,0.0,10469,0,871.07,0,0,0,0,SUCCESS
2026-06-30 08:54:53,EHAUSM-R,BIBLE,2,0,0.001,0.0,0.2,21271931,21819,43,13385,13429,0,0,0,21229906,9135,21164592,0,0.339368,0.0,0.0,8283,0,383.72,0,0,0,0,SUCCESS
2026-06-30 08:55:13,EHAUSM-R,BIBLE,3,0,0.001,0.0,0.2,28633935,29092,53,18965,19018,0,0,0,25139190,10402,25070134,0,0.333905,0.0,0.0,8226,0,192.39,0,0,0,0,SUCCESS
2026-06-30 08:55:32,EHAUSM-R,BIBLE,4,0,0.001,0.0,0.2,35550162,36369,57,19026,19084,0,0,0,21936545,12054,21880902,0,0.325249,0.0,0.0,6713,0,204.78,0,0,0,0,SUCCESS
2026-06-30 08:55:43,EHAUSM-I,BIBLE,0,0,0.001,0.0,0.2,7617167,7273,60,10043,10104,0,0,0,25214943,4399,25098659,0,0.483665,0.0,0.0,9964,0,1122.81,0,0,0,0,SUCCESS
2026-06-30 08:55:57,EHAUSM-I,BIBLE,1,0,0.001,0.0,0.2,15283678,14546,19,13827,13846,0,0,0,17714355,7088,17628544,0,0.49067,0.0,0.0,10469,0,2450.63,0,0,0,0,SUCCESS
2026-06-30 08:56:11,EHAUSM-I,BIBLE,2,0,0.001,0.0,0.2,21271931,21819,35,13591,13627,0,0,0,9130023,9135,9064709,0,0.458285,0.0,0.0,8283,0,3427.71,0,0,0,0,SUCCESS
2026-06-30 08:56:31,EHAUSM-I,BIBLE,3,0,0.001,0.0,0.2,28633935,29092,26,19537,19563,0,0,0,15156855,10402,15087799,0,0.451252,0.0,0.0,8226,0,1518.76,0,0,0,0,SUCCESS
2026-06-30 08:56:50,EHAUSM-I,BIBLE,4,0,0.001,0.0,0.2,35550162,36369,29,18236,18266,0,0,0,8115828,12054,8060185,0,0.432059,0.0,0.0,6713,0,3182.02,0,0,0,0,SUCCESS
2026-06-30 08:58:28,HAUSP-UB-L1,BIBLE,0,0,0.001,0.0,0.2,7617167,7273,103,3329,3433,7,59,0,116722,5060,0,23158583,0.0,0.240219,0.246177,9964,0,327.85,23280365,23268938,11427,6208,SUCCESS
2026-06-30 08:58:33,HAUSP-UB-L1,BIBLE,1,0,0.001,0.0,0.2,15283678,14546,72,4750,4823,4,47,0,86236,7802,0,22821560,0.0,0.271234,0.279246,10469,0,467.19,22909390,22906397,8212,8894,SUCCESS
2026-06-30 08:58:38,HAUSP-UB-L1,BIBLE,2,0,0.001,0.0,0.2,21271931,21819,53,4992,5045,2,39,0,65736,9874,0,18642943,0.0,0.273117,0.281164,8283,0,522.22,18709659,18707933,7252,10949,SUCCESS
2026-06-30 08:58:46,HAUSP-UB-L1,BIBLE,3,0,0.001,0.0,0.2,28633935,29092,46,7094,7141,4,45,0,69470,11155,0,21941730,0.0,0.269625,0.277551,8226,0,661.89,22011406,22009976,6627,12232,SUCCESS
2026-06-30 08:58:53,HAUSP-UB-L1,BIBLE,4,0,0.001,0.0,0.2,35550162,36369,49,7121,7171,2,38,0,56071,12820,0,18712510,0.0,0.261646,0.269156,6713,0,810.53,18769169,18767512,7001,13905,SUCCESS
2026-06-30 08:58:57,HAUSP-UB,BIBLE,0,0,0.001,0.0,0.2,7617167,7273,63,3630,3693,3,183,45,116722,5060,23150867,5332,0.0,0.240219,0.246177,9964,0,249.62,23277543,23269960,7583,6208,SUCCESS
2026-06-30 08:59:03,HAUSP-UB,BIBLE,1,0,0.001,0.0,0.2,15283678,14546,42,5139,5182,2,164,34,86236,7802,22815425,4700,0.0,0.271234,0.279246,10469,0,312.89,22907530,22904882,4023,8894,SUCCESS
2026-06-30 08:59:08,HAUSP-UB,BIBLE,2,0,0.001,0.0,0.2,21271931,21819,41,5408,5450,2,136,26,65736,9874,18638192,3568,0.0,0.273117,0.281164,8283,0,405.85,18708054,18706085,3306,10949,SUCCESS
2026-06-30 08:59:16,HAUSP-UB,BIBLE,3,0,0.001,0.0,0.2,28633935,29092,46,7643,7689,2,158,27,69470,11155,21936858,3761,0.0,0.269625,0.277551,8226,0,497.36,22009881,22008589,2543,12232,SUCCESS
2026-06-30 08:59:24,HAUSP-UB,BIBLE,4,0,0.001,0.0,0.2,35550162,36369,51,7670,7721,2,136,22,56071,12820,18708525,2933,0.0,0.261646,0.269156,6713,0,613.61,18767689,18766018,2931,13905,SUCCESS
2026-06-30 08:59:35,EHAUSM-R,BMS1_SPMF,0,0,0.0035,0.0,0.2,1577987,11920,7,9895,9902,0,0,0,100789904,18,100321904,0,0.079294,0.0,0.0,100,0,69.9,0,0,0,0,SUCCESS
2026-06-30 08:59:35,EHAUSM-R,BMS1_SPMF,1,0,0.0035,0.0,0.2,2805280,23840,9,444,453,0,0,0,3046411,22,3032302,0,0.057037,0.0,0.0,97,0,179.99,0,0,0,0,SUCCESS
2026-06-30 08:59:36,EHAUSM-R,BMS1_SPMF,2,0,0.0035,0.0,0.2,4090185,35760,12,141,154,0,0,0,611388,61,608317,0,0.059392,0.0,0.0,94,0,102.17,0,0,0,0,SUCCESS
2026-06-30 08:59:36,EHAUSM-R,BMS1_SPMF,3,0,0.0035,0.0,0.2,5578380,47680,14,209,223,0,0,0,671378,45,667927,0,0.066552,0.0,0.0,93,0,113.29,0,0,0,0,SUCCESS
2026-06-30 09:00:23,EHAUSM-R,BMS1_SPMF,4,0,0.0035,0.0,0.2,7229030,59601,21,46770,46792,0,0,0,103110382,133,102437138,0,0.090065,0.0,0.0,93,0,168.76,0,0,0,0,SUCCESS
2026-06-30 09:00:38,EHAUSM-I,BMS1_SPMF,0,0,0.0035,0.0,0.2,1577987,11920,14,13890,13905,0,0,0,100789904,18,100321904,0,0.152712,0.0,0.0,100,0,1559.85,0,0,0,0,SUCCESS
2026-06-30 09:00:39,EHAUSM-I,BMS1_SPMF,1,0,0.0035,0.0,0.2,2805280,23840,7,401,409,0,0,0,1153576,22,1139467,0,0.127373,0.0,0.0,97,0,527.52,0,0,0,0,SUCCESS
2026-06-30 09:00:39,EHAUSM-I,BMS1_SPMF,2,0,0.0035,0.0,0.2,4090185,35760,11,145,156,0,0,0,194754,61,191683,0,0.157902,0.0,0.0,94,0,150.51,0,0,0,0,SUCCESS
2026-06-30 09:00:40,EHAUSM-I,BMS1_SPMF,3,0,0.0035,0.0,0.2,5578380,47680,10,229,240,0,0,0,384297,45,380846,0,0.165245,0.0,0.0,93,0,242.1,0,0,0,0,SUCCESS
2026-06-30 09:01:35,EHAUSM-I,BMS1_SPMF,4,0,0.0035,0.0,0.2,7229030,59601,16,55005,55021,0,0,0,77822471,133,77149227,0,0.195364,0.0,0.0,93,0,1199.53,0,0,0,0,SUCCESS
2026-06-30 09:13:19,HAUSP-UB-L1,BMS1_SPMF,0,0,0.0035,0.0,0.2,1577987,11920,45,5626,5671,6,444,0,468067,19,0,100275709,0.0,0.043005,0.043066,100,0,47.54,100743795,100741499,2296,335,SUCCESS
2026-06-30 09:13:19,HAUSP-UB-L1,BMS1_SPMF,1,0,0.0035,0.0,0.2,2805280,23840,4,241,246,0,14,0,14207,24,0,3026523,0.0,0.042039,0.044379,97,0,49.62,3040419,3040419,1334,338,SUCCESS
2026-06-30 09:13:20,HAUSP-UB-L1,BMS1_SPMF,2,0,0.0035,0.0,0.2,4090185,35760,3,78,82,0,3,0,3188,74,0,596605,0.0,0.064957,0.07524,94,0,54.55,599529,599529,1130,387,SUCCESS
2026-06-30 09:13:20,HAUSP-UB-L1,BMS1_SPMF,3,0,0.0035,0.0,0.2,5578380,47680,6,116,122,0,3,0,3563,72,0,651974,0.0,0.057647,0.067303,93,0,59.54,655222,655222,996,389,SUCCESS
2026-06-30 09:13:48,HAUSP-UB-L1,BMS1_SPMF,4,0,0.0035,0.0,0.2,7229030,59601,9,28032,28041,0,532,0,673331,170,0,101043516,0.0,0.039763,0.039814,93,0,69.9,101716628,101716628,1646,497,SUCCESS
2026-06-30 09:13:54,HAUSP-UB,BMS1_SPMF,0,0,0.0035,0.0,0.2,1577987,11920,11,5531,5543,0,745,181,468067,19,100272654,67,0.0,0.043005,0.043066,100,0,45.37,100740740,100739762,978,335,SUCCESS
2026-06-30 09:13:55,HAUSP-UB,BMS1_SPMF,1,0,0.0035,0.0,0.2,2805280,23840,4,238,242,0,24,5,14207,24,3020962,98,0.0,0.042039,0.044379,97,0,47.84,3034858,3034858,456,338,SUCCESS
2026-06-30 09:13:55,HAUSP-UB,BMS1_SPMF,2,0,0.0035,0.0,0.2,4090185,35760,4,81,86,0,5,1,3188,74,590256,117,0.0,0.064957,0.07524,94,0,52.61,593180,593180,416,387,SUCCESS
2026-06-30 09:13:56,HAUSP-UB,BMS1_SPMF,3,0,0.0035,0.0,0.2,5578380,47680,5,112,118,0,5,1,3563,72,646094,112,0.0,0.057647,0.067303,93,0,57.12,649342,649342,343,389,SUCCESS
2026-06-30 09:14:24,HAUSP-UB,BMS1_SPMF,4,0,0.0035,0.0,0.2,7229030,59601,8,28120,28129,0,844,260,673331,170,101041040,87,0.0,0.039763,0.039814,93,0,66.07,101714152,101714152,562,497,SUCCESS
2026-06-30 09:15:15,EHAUSM-R,FIFA,0,0,0.012,0.0,0.2,7402552,4090,68,50475,50543,0,0,0,25763977,1858,25612467,0,0.136759,0.0,0.0,231,0,204.81,0,0,0,0,SUCCESS
2026-06-30 09:16:42,EHAUSM-R,FIFA,1,0,0.012,0.0,0.2,14678365,8180,38,85901,85939,0,0,0,23458022,2180,23327756,0,0.136088,0.0,0.0,215,0,354.44,0,0,0,0,SUCCESS
2026-06-30 09:18:55,EHAUSM-R,FIFA,2,0,0.012,0.0,0.2,21657235,12270,33,132906,132939,0,0,0,23893546,2364,23758712,0,0.135854,0.0,0.0,280,0,384.68,0,0,0,0,SUCCESS
2026-06-30 09:21:55,EHAUSM-R,FIFA,3,0,0.012,0.0,0.2,28870802,16360,38,178781,178820,0,0,0,23966676,2449,23830811,0,0.132834,0.0,0.0,346,0,449.4,0,0,0,0,SUCCESS
2026-06-30 09:25:29,EHAUSM-R,FIFA,4,0,0.012,0.0,0.2,35721991,20450,43,214029,214072,0,0,0,22652772,2536,22524180,0,0.134802,0.0,0.0,334,0,290.84,0,0,0,0,SUCCESS
2026-06-30 09:26:34,EHAUSM-I,FIFA,0,0,0.012,0.0,0.2,7402552,4090,80,63597,63678,0,0,0,25763977,1858,25612467,0,0.216064,0.0,0.0,231,0,3137.25,0,0,0,0,SUCCESS
2026-06-30 09:28:15,EHAUSM-I,FIFA,1,0,0.012,0.0,0.2,14678365,8180,16,100001,100017,0,0,0,23192267,2180,23062001,0,0.210594,0.0,0.0,215,0,3316.29,0,0,0,0,SUCCESS
2026-06-30 09:30:52,EHAUSM-I,FIFA,2,0,0.012,0.0,0.2,21657235,12270,19,155517,155537,0,0,0,22512694,2364,22377860,0,0.210001,0.0,0.0,280,0,4743.88,0,0,0,0,SUCCESS
2026-06-30 09:34:12,EHAUSM-I,FIFA,3,0,0.012,0.0,0.2,28870802,16360,19,198923,198943,0,0,0,22602061,2449,22466196,0,0.208589,0.0,0.0,346,0,10588.32,0,0,0,0,SUCCESS
2026-06-30 09:38:09,EHAUSM-I,FIFA,4,0,0.012,0.0,0.2,35721991,20450,22,235644,235667,0,0,0,21307703,2536,21179111,0,0.206729,0.0,0.0,334,0,11931.76,0,0,0,0,SUCCESS
2026-06-30 09:44:53,HAUSP-UB-L1,FIFA,0,0,0.012,0.0,0.2,7402552,4090,142,20923,21066,14,83,0,151622,2017,0,24567752,0.0,0.095972,0.09607,231,0,448.68,24721391,24717812,3579,2316,SUCCESS
2026-06-30 09:45:30,HAUSP-UB-L1,FIFA,1,0,0.012,0.0,0.2,14678365,8180,91,36341,36432,2,88,0,130375,2329,0,21413693,0.0,0.096672,0.09678,215,0,506.17,21544081,21543849,1495,2627,SUCCESS
2026-06-30 09:46:26,HAUSP-UB-L1,FIFA,2,0,0.012,0.0,0.2,21657235,12270,20,55859,55879,2,103,0,134941,2515,0,21769704,0.0,0.09711,0.097222,280,0,561.12,21904533,21904364,1353,2811,SUCCESS
2026-06-30 09:47:41,HAUSP-UB-L1,FIFA,3,0,0.012,0.0,0.2,28870802,16360,18,74442,74461,2,119,0,135970,2612,0,21755009,0.0,0.09581,0.095917,346,0,577.12,21890780,21890697,1252,2907,SUCCESS
2026-06-30 09:49:09,HAUSP-UB-L1,FIFA,4,0,0.012,0.0,0.2,35721991,20450,17,88460,88478,1,131,0,128691,2701,0,20656803,0.0,0.096915,0.097026,334,0,636.86,20785288,20785217,1227,2990,SUCCESS
2026-06-30 09:49:31,HAUSP-UB,FIFA,0,0,0.012,0.0,0.2,7402552,4090,33,21202,21235,2,232,60,151622,2017,24566350,322,0.0,0.095972,0.09607,231,0,432.59,24720199,24717549,2650,2316,SUCCESS
2026-06-30 09:50:08,HAUSP-UB,FIFA,1,0,0.012,0.0,0.2,14678365,8180,20,36782,36803,2,215,53,130375,2329,21412491,298,0.0,0.096672,0.09678,215,0,466.97,21543068,21542751,651,2627,SUCCESS
2026-06-30 09:51:05,HAUSP-UB,FIFA,2,0,0.012,0.0,0.2,21657235,12270,20,56272,56293,2,236,55,134941,2515,21768590,312,0.0,0.09711,0.097222,280,0,491.68,21903624,21903442,522,2811,SUCCESS
2026-06-30 09:52:20,HAUSP-UB,FIFA,3,0,0.012,0.0,0.2,28870802,16360,17,75114,75132,1,249,56,135970,2612,21753972,299,0.0,0.09581,0.095917,346,0,516.04,21889937,21889846,429,2907,SUCCESS
2026-06-30 09:53:50,HAUSP-UB,FIFA,4,0,0.012,0.0,0.2,35721991,20450,17,89784,89802,1,247,53,128691,2701,20655889,267,0.0,0.096915,0.097026,334,0,540.9,20784542,20784461,414,2990,SUCCESS
2026-06-30 09:54:30,EHAUSM-R,KOSARAK,0,0,0.003,0.0,0.2,79636688,198000,254,37431,37686,0,0,0,51567664,24187,51522856,0,0.02711,0.0,0.0,103,0,1608.4,0,0,0,0,SUCCESS
2026-06-30 09:55:58,EHAUSM-R,KOSARAK,1,0,0.003,0.0,0.2,161031299,396000,243,86584,86827,0,0,0,67909611,29347,67857161,0,0.023666,0.0,0.0,102,0,4113.81,0,0,0,0,SUCCESS
2026-06-30 09:57:56,EHAUSM-R,KOSARAK,2,0,0.003,0.0,0.2,240799749,594000,307,117231,117538,0,0,0,58594053,32449,58547823,0,0.027303,0.0,0.0,104,0,4353.64,0,0,0,0,SUCCESS
2026-06-30 10:01:12,EHAUSM-R,KOSARAK,3,0,0.003,0.0,0.2,321393622,792000,468,194658,195127,0,0,0,77736196,34809,77678647,0,0.023645,0.0,0.0,101,0,5778.56,0,0,0,0,SUCCESS
