Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status
2026-06-29 21:19:53,EHAUSM-R,BIBLE,0,0,0.000500,0.000,1.000,35550162,36369,111,43414,43534,0,0,0,90922505,10979,90699589,0,0.355649,0.000000,0.000000,29772,0,306.38,0,0,0,0,SUCCESS
2026-06-29 21:20:09,HAUSP-UB,BIBLE,0,0,0.000500,0.000,1.000,35550162,36369,249,15436,15686,19,328,91,223663,12054,83293828,11096,0.000000,0.290140,0.297948,29772,0,450.21,83539894,83523808,16086,13905,SUCCESS
2026-06-29 21:21:07,EHAUSM-R,BIBLE,0,0,0.000400,0.000,1.000,35550162,36369,92,57384,57477,0,0,0,138453874,10561,138102544,0,0.365089,0.000000,0.000000,48469,0,389.53,0,0,0,0,SUCCESS
2026-06-29 21:21:29,HAUSP-UB,BIBLE,0,0,0.000400,0.000,1.000,35550162,36369,288,20785,21074,77,684,141,352180,11753,128826864,17061,0.000000,0.298656,0.306572,48469,0,437.48,129207008,129190468,16540,13905,SUCCESS
2026-06-29 21:23:13,EHAUSM-R,BIBLE,0,0,0.000250,0.000,1.000,35550162,36369,144,103100,103244,0,0,0,321540804,9506,320609897,0,0.383210,0.000000,0.000000,135751,0,712.11,0,0,0,0,SUCCESS
2026-06-29 21:23:50,HAUSP-UB,BIBLE,0,0,0.000250,0.000,1.000,35550162,36369,179,37095,37275,11,1681,368,932010,10979,306491761,45492,0.000000,0.315067,0.323167,135751,0,479.70,307479139,307461435,17704,13905,SUCCESS
2026-06-29 21:24:39,EHAUSM-R,BMS1_SPMF,0,0,0.003500,0.000,1.000,7229030,59601,31,48072,48104,0,0,0,103110382,133,102437138,0,0.090065,0.000000,0.000000,93,0,65.90,0,0,0,0,SUCCESS
2026-06-29 21:25:06,HAUSP-UB,BMS1_SPMF,0,0,0.003500,0.000,1.000,7229030,59601,27,25963,25991,2,615,260,673331,170,101041040,87,0.000000,0.039763,0.039814,93,0,65.16,101714541,101713590,951,497,SUCCESS
2026-06-29 21:27:08,EHAUSM-R,BMS1_SPMF,0,0,0.003200,0.000,1.000,7229030,59601,28,121633,121662,0,0,0,262577496,128,260826568,0,0.098763,0.000000,0.000000,105,0,285.29,0,0,0,0,SUCCESS
2026-06-29 21:28:14,HAUSP-UB,BMS1_SPMF,0,0,0.003200,0.000,1.000,7229030,59601,129,65406,65535,17,1597,683,1751022,159,258117809,94,0.000000,0.044439,0.044460,105,0,71.89,259868990,259867995,995,497,SUCCESS
2026-06-29 21:33:06,EHAUSM-R,BMS1_SPMF,0,0,0.003000,0.000,1.000,7229030,59601,31,290905,290937,0,0,0,622589180,125,618286892,0,0.103648,0.000000,0.000000,114,0,344.23,0,0,0,0,SUCCESS
2026-06-29 21:35:43,HAUSP-UB,BMS1_SPMF,0,0,0.003000,0.000,1.000,7229030,59601,28,156459,156488,2,3843,1668,4302377,157,613120529,89,0.000000,0.046707,0.046716,114,0,65.17,617423063,617422043,1020,497,SUCCESS
2026-06-29 21:37:44,EHAUSM-R,FIFA,0,0,0.015000,0.000,1.000,35721991,20450,220,119010,119230,0,0,0,9720973,2607,9659665,0,0.126015,0.000000,0.000000,83,0,429.47,0,0,0,0,SUCCESS
2026-06-29 21:38:34,HAUSP-UB,FIFA,0,0,0.015000,0.000,1.000,35721991,20450,357,49942,50300,45,117,26,61388,2733,9063262,159,0.000000,0.089099,0.089256,83,0,613.03,9127462,9124190,3272,2990,SUCCESS
2026-06-29 21:42:09,EHAUSM-R,FIFA,0,0,0.012000,0.000,1.000,35721991,20450,227,213043,213270,0,0,0,22652772,2536,22524180,0,0.134802,0.000000,0.000000,334,0,353.84,0,0,0,0,SUCCESS
2026-06-29 21:43:37,HAUSP-UB,FIFA,0,0,0.012000,0.000,1.000,35721991,20450,118,87518,87637,9,234,53,128691,2701,20655889,267,0.000000,0.096915,0.097026,334,0,618.18,20787449,20784128,3321,2990,SUCCESS
2026-06-29 21:49:18,EHAUSM-R,FIFA,0,0,0.010000,0.000,1.000,35721991,20450,227,339342,339569,0,0,0,44846598,2503,44612408,0,0.142589,0.000000,0.000000,884,0,394.54,0,0,0,0,SUCCESS
2026-06-29 21:51:45,HAUSP-UB,FIFA,0,0,0.010000,0.000,1.000,35721991,20450,363,146247,146610,46,364,96,234304,2684,40206583,481,0.000000,0.103822,0.103913,884,0,632.57,40443938,40440571,3367,2990,SUCCESS
2026-06-29 21:53:14,EHAUSM-R,KOSARAK,0,0,0.004000,0.000,1.000,400890653,990002,801,86188,86990,0,0,0,16590936,37099,16575432,0,0.025253,0.000000,0.000000,61,0,2226.00,0,0,0,0,SUCCESS
2026-06-29 21:54:06,HAUSP-UB,KOSARAK,0,0,0.004000,0.000,1.000,400890653,990002,10027,41133,51161,52,55,8,17119,38222,9004694,1615,0.000000,0.027519,0.030676,61,0,4010.09,9060035,9016255,43780,41270,SUCCESS
2026-06-29 21:57:43,EHAUSM-R,KOSARAK,0,0,0.003000,0.000,1.000,400890653,990002,672,215147,215820,0,0,0,71686014,36629,71632855,0,0.024214,0.000000,0.000000,103,0,3993.73,0,0,0,0,SUCCESS
2026-06-29 21:59:43,HAUSP-UB,KOSARAK,0,0,0.003000,0.000,1.000,400890653,990002,9790,109522,119313,54,303,26,54696,37724,40515086,1537,0.000000,0.027545,0.028679,103,0,4005.90,40607506,40563157,44349,41270,SUCCESS
2026-06-29 22:07:11,EHAUSM-R,KOSARAK,0,0,0.002500,0.000,1.000,400890653,990002,682,446171,446853,0,0,0,200007213,36334,199874111,0,0.024327,0.000000,0.000000,131,0,1860.66,0,0,0,0,SUCCESS
2026-06-29 22:11:18,HAUSP-UB,KOSARAK,0,0,0.002500,0.000,1.000,400890653,990002,9722,236103,245826,55,786,64,134637,37412,112624256,1535,0.000000,0.027486,0.027985,131,0,3998.25,112796305,112751639,44666,41270,SUCCESS
2026-06-29 22:11:24,EHAUSM-R,LEVIATHAN,0,0,0.003000,0.000,1.000,14156241,5834,21,4987,5009,0,0,0,6599011,7777,6572852,0,0.439127,0.000000,0.000000,6511,0,457.84,0,0,0,0,SUCCESS
2026-06-29 22:11:26,HAUSP-UB,LEVIATHAN,0,0,0.003000,0.000,1.000,14156241,5834,222,1808,2031,16,35,10,26495,8336,5929969,1777,0.000000,0.366961,0.379732,6511,0,148.32,5966241,5956562,9679,9025,SUCCESS
2026-06-29 22:11:34,EHAUSM-R,LEVIATHAN,0,0,0.002400,0.000,1.000,14156241,5834,25,6687,6713,0,0,0,11274360,7546,11232531,0,0.451675,0.000000,0.000000,10818,0,83.40,0,0,0,0,SUCCESS
2026-06-29 22:11:36,HAUSP-UB,LEVIATHAN,0,0,0.002400,0.000,1.000,14156241,5834,86,2314,2401,3,63,16,42221,8198,10288575,2592,0.000000,0.380079,0.392729,10818,0,151.15,10341194,10331380,9814,9025,SUCCESS
2026-06-29 22:11:49,EHAUSM-R,LEVIATHAN,0,0,0.001500,0.000,1.000,14156241,5834,21,12581,12603,0,0,0,31649252,6958,31537476,0,0.476277,0.000000,0.000000,31684,0,424.00,0,0,0,0,SUCCESS
2026-06-29 22:11:54,HAUSP-UB,LEVIATHAN,0,0,0.001500,0.000,1.000,14156241,5834,83,4442,4526,4,198,43,112358,7777,29656044,6374,0.000000,0.406731,0.419213,31684,0,148.44,29781971,29771762,10209,9025,SUCCESS
2026-06-29 22:11:59,EHAUSM-R,SIGN,0,0,0.008000,0.000,1.000,1668652,730,2,4130,4133,0,0,0,8417656,39,8363706,0,0.221447,0.000000,0.000000,309,0,31.40,0,0,0,0,SUCCESS
2026-06-29 22:12:01,HAUSP-UB,SIGN,0,0,0.008000,0.000,1.000,1668652,730,13,1592,1605,0,52,21,54004,63,8118055,54,0.000000,0.123158,0.123390,309,0,108.35,8172122,8171342,780,267,SUCCESS
2026-06-29 22:12:07,EHAUSM-R,SIGN,0,0,0.006400,0.000,1.000,1668652,730,9,6111,6121,0,0,0,14506368,33,14413626,0,0.235622,0.000000,0.000000,736,0,58.33,0,0,0,0,SUCCESS
2026-06-29 22:12:10,HAUSP-UB,SIGN,0,0,0.006400,0.000,1.000,1668652,730,12,2206,2219,1,87,36,92800,54,14099428,58,0.000000,0.134685,0.134839,736,0,108.50,14192282,14191446,836,267,SUCCESS
2026-06-29 22:12:25,EHAUSM-R,SIGN,0,0,0.004000,0.000,1.000,1668652,730,6,14331,14338,0,0,0,44724742,20,44431735,0,0.266045,0.000000,0.000000,4479,0,52.10,0,0,0,0,SUCCESS
2026-06-29 22:12:30,HAUSP-UB,SIGN,0,0,0.004000,0.000,1.000,1668652,730,13,5123,5136,1,294,114,293068,39,43928177,61,0.000000,0.159872,0.159925,4479,0,109.17,44221284,44220332,952,267,SUCCESS
2026-07-02 13:03:59,EHAUSM-R,C8T1S5I8N5K,0,0,0.000500,0.000,1.000,47416411,47133,126,230,366,0,0,0,70716,51910,68727,0,0.154440,0.000000,0.000000,33,0,150.25,0,0,0,0,SUCCESS
