kind,exp,dataset,arm,cpu_min,wall_min,timeouts,failures,rows,current_code,run_ids
time,1,BIBLE,EHAUSM-I,3.883,3.992,0,0,15,False,20260912-2219
time,1,BIBLE,EHAUSM-R,3.642,3.708,0,0,15,False,20260912-2057
time,1,BIBLE,HAUSP-UB,1.466,1.528,0,0,15,False,legacy
time,1,BIBLE,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260904-1357
time,1,BIBLE,HAUSP-UB[noEUCS],1.163,1.228,0,0,15,False,20260913-0322
time,1,BIBLE,Pre-HAUSPM,4.932,5.017,0,0,15,False,20260912-2351
time,1,BMS1_SPMF,EHAUSM-I,3.534,3.65,0,0,15,False,20260912-2219
time,1,BMS1_SPMF,EHAUSM-R,2.921,3.017,0,0,15,False,20260912-2057
time,1,BMS1_SPMF,HAUSP-UB,1.73,45.283,0,0,15,False,legacy
time,1,BMS1_SPMF,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260904-1357
time,1,BMS1_SPMF,HAUSP-UB[noEUCS],1.373,1.45,0,0,15,False,20260913-0322
time,1,BMS1_SPMF,Pre-HAUSPM,34.431,34.683,0,0,15,False,20260912-2351
time,1,C8T1S5I8N5K,EHAUSM-I,0.862,1.15,0,0,50,False,20260912-2219
time,1,C8T1S5I8N5K,EHAUSM-R,0.763,1.033,0,0,50,False,20260912-2057
time,1,C8T1S5I8N5K,HAUSP-UB,0.735,93.9,0,0,50,False,20260905-0028
time,1,C8T1S5I8N5K,HAUSP-UB-L1,0.0,0.0,2,2,10,False,20260904-1357 20260905-0028
time,1,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.412,0.683,0,0,50,False,20260913-0322
time,1,C8T1S5I8N5K,Pre-HAUSPM,0.573,0.667,0,0,15,False,20260912-2351
time,1,FIFA,EHAUSM-I,39.218,39.517,0,0,15,False,20260912-2219
time,1,FIFA,EHAUSM-R,34.685,34.833,0,0,15,False,20260912-2057
time,1,FIFA,HAUSP-UB,13.983,118.617,0,0,15,False,legacy
time,1,FIFA,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260904-1357
time,1,FIFA,HAUSP-UB[noEUCS],14.037,14.133,0,0,15,False,20260913-0322
time,1,FIFA,Pre-HAUSPM,62.822,63.117,0,0,15,False,20260912-2351
time,1,KOSARAK,EHAUSM-I,37.0,37.283,0,0,15,False,20260912-2219
time,1,KOSARAK,EHAUSM-R,33.001,33.217,0,0,15,False,20260912-2057
time,1,KOSARAK,HAUSP-UB,18.75,158.983,0,0,15,False,legacy
time,1,KOSARAK,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260904-1357
time,1,KOSARAK,HAUSP-UB[noEUCS],16.157,16.333,0,0,15,False,20260913-0322
time,1,KOSARAK,Pre-HAUSPM,99.045,99.367,0,0,15,False,20260912-2351
time,1,LEVIATHAN,EHAUSM-I,0.804,0.883,0,0,15,False,20260912-2219
time,1,LEVIATHAN,EHAUSM-R,0.737,0.817,0,0,15,False,20260912-2057
time,1,LEVIATHAN,HAUSP-UB,0.949,1.173,0,0,50,False,20260905-0028
time,1,LEVIATHAN,HAUSP-UB-L1,0.0,0.0,2,2,10,False,20260904-1357 20260905-0028
time,1,LEVIATHAN,HAUSP-UB[noEUCS],0.771,1.033,0,0,50,False,20260913-0322
time,1,LEVIATHAN,Pre-HAUSPM,1.042,1.133,0,0,15,False,20260912-2351
time,1,SIGN,EHAUSM-I,5.573,5.8,0,0,15,False,20260912-2219
time,1,SIGN,EHAUSM-R,4.937,5.033,0,0,15,False,20260912-2057
time,1,SIGN,HAUSP-UB,1.783,17.354,0,0,15,False,legacy
time,1,SIGN,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260904-1357
time,1,SIGN,HAUSP-UB[noEUCS],1.34,1.4,0,0,15,False,20260913-0322
time,1,SIGN,Pre-HAUSPM,6.915,7.033,0,0,15,False,20260912-2351
time,1,TAFENG,EHAUSM-I,2.363,2.467,0,0,15,True,20260920-0654
time,1,TAFENG,EHAUSM-R,1.701,1.765,0,0,15,True,20260920-0654
time,1,TAFENG,HAUSP-UB-L1,0.0,0.0,1,1,5,True,20260920-0654
time,1,TAFENG,HAUSP-UB[noEUCS],0.664,90.833,0,0,15,True,20260920-0654
time,1,TAFENG,Pre-HAUSPM,54.483,55.117,0,0,15,True,20260920-0654
time,2,BIBLE,EHAUSM-I,10.359,10.548,0,0,18,False,20260913-1825
time,2,BIBLE,HAUSP-UB,3.547,3.683,0,0,18,False,legacy
time,2,BIBLE,HAUSP-UB*,3.567,3.717,0,0,18,False,legacy
time,2,BIBLE,HAUSP-UB-L1,0.0,0.0,1,1,6,False,20260905-2142
time,2,BIBLE,HAUSP-UB-L1L3,3.553,12.747,0,0,18,False,legacy
time,2,BIBLE,HAUSP-UB[noEUCS],2.675,2.835,0,0,18,False,20260913-2249
time,2,BIBLE,HAUSP-UB[noL2+noEUCS],2.901,3.041,0,0,18,False,20260913-2103
time,2,BIBLE,HAUSP-UB[noL3+noEUCS],2.862,3.01,0,0,18,False,20260913-2156
time,2,BMS1_SPMF,EHAUSM-I,3.991,4.133,0,0,15,False,20260913-1825
time,2,BMS1_SPMF,HAUSP-UB,1.988,2.1,0,0,15,False,legacy
time,2,BMS1_SPMF,HAUSP-UB*,1.576,1.7,0,0,15,False,legacy
time,2,BMS1_SPMF,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260905-2142
time,2,BMS1_SPMF,HAUSP-UB-L1L3,2.021,8.383,0,0,15,False,legacy
time,2,BMS1_SPMF,HAUSP-UB[noEUCS],1.446,1.55,0,0,15,False,20260913-2249
time,2,BMS1_SPMF,HAUSP-UB[noL2+noEUCS],1.637,1.75,0,0,15,False,20260913-2103
time,2,BMS1_SPMF,HAUSP-UB[noL3+noEUCS],1.578,1.683,0,0,15,False,20260913-2156
time,2,C8T1S5I8N5K,EHAUSM-I,0.778,0.9,0,0,15,False,20260913-1825
time,2,C8T1S5I8N5K,HAUSP-UB,0.583,0.7,0,0,15,False,legacy
time,2,C8T1S5I8N5K,HAUSP-UB*,0.555,0.65,0,0,15,False,legacy
time,2,C8T1S5I8N5K,HAUSP-UB-L1,132.24,132.385,1,1,9,False,20260905-2142
time,2,C8T1S5I8N5K,HAUSP-UB-L1L3,0.587,2.145,0,0,15,False,legacy
time,2,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.341,0.467,0,0,15,False,20260913-2249
time,2,C8T1S5I8N5K,HAUSP-UB[noL2+noEUCS],0.357,0.483,0,0,15,False,20260913-2103
time,2,C8T1S5I8N5K,HAUSP-UB[noL3+noEUCS],0.371,0.483,0,0,15,False,20260913-2156
time,2,FIFA,EHAUSM-I,108.639,109.35,0,0,15,False,20260913-1825
time,2,FIFA,HAUSP-UB,36.204,36.283,0,0,15,False,legacy
time,2,FIFA,HAUSP-UB*,34.718,34.85,0,0,15,False,legacy
time,2,FIFA,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260905-2142
time,2,FIFA,HAUSP-UB-L1L3,36.188,181.533,0,0,15,False,legacy
time,2,FIFA,HAUSP-UB[noEUCS],32.394,32.533,0,0,15,False,20260913-2249
time,2,FIFA,HAUSP-UB[noL2+noEUCS],35.785,35.933,0,0,15,False,20260913-2103
time,2,FIFA,HAUSP-UB[noL3+noEUCS],34.711,34.85,0,0,15,False,20260913-2156
time,2,KOSARAK,EHAUSM-I,26.501,26.85,0,0,18,False,20260913-1825
time,2,KOSARAK,HAUSP-UB,14.649,14.9,0,0,18,False,legacy
time,2,KOSARAK,HAUSP-UB*,14.956,15.2,0,0,18,False,legacy
time,2,KOSARAK,HAUSP-UB-L1,0.0,0.0,1,1,6,False,20260905-2142
time,2,KOSARAK,HAUSP-UB-L1L3,14.444,56.833,0,0,18,False,legacy
time,2,KOSARAK,HAUSP-UB[noEUCS],9.989,10.267,0,0,18,False,20260913-2249
time,2,KOSARAK,HAUSP-UB[noL2+noEUCS],10.771,11.05,0,0,18,False,20260913-2103
time,2,KOSARAK,HAUSP-UB[noL3+noEUCS],10.555,10.85,0,0,18,False,20260913-2156
time,2,LEVIATHAN,EHAUSM-I,1.327,1.45,0,0,15,False,20260913-1825
time,2,LEVIATHAN,HAUSP-UB,0.437,0.533,0,0,15,False,legacy
time,2,LEVIATHAN,HAUSP-UB*,0.42,0.567,0,0,15,False,legacy
time,2,LEVIATHAN,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260905-2142
time,2,LEVIATHAN,HAUSP-UB-L1L3,0.449,2.583,0,0,15,False,legacy
time,2,LEVIATHAN,HAUSP-UB[noEUCS],0.334,0.45,0,0,15,False,20260913-2249
time,2,LEVIATHAN,HAUSP-UB[noL2+noEUCS],0.357,0.467,0,0,15,False,20260913-2103
time,2,LEVIATHAN,HAUSP-UB[noL3+noEUCS],0.359,0.467,0,0,15,False,20260913-2156
time,2,SIGN,EHAUSM-I,4.562,4.733,0,0,21,False,20260913-1825
time,2,SIGN,HAUSP-UB,1.235,1.333,0,0,21,False,legacy
time,2,SIGN,HAUSP-UB*,1.057,1.217,0,0,21,False,legacy
time,2,SIGN,HAUSP-UB-L1,0.0,0.0,1,1,7,False,20260905-2142
time,2,SIGN,HAUSP-UB-L1L3,1.28,7.533,0,0,21,False,legacy
time,2,SIGN,HAUSP-UB[noEUCS],1.011,1.15,0,0,21,False,20260913-2249
time,2,SIGN,HAUSP-UB[noL2+noEUCS],1.074,1.217,0,0,21,False,20260913-2103
time,2,SIGN,HAUSP-UB[noL3+noEUCS],1.046,1.183,0,0,21,False,20260913-2156
time,2,TAFENG,EHAUSM-I,0.547,0.638,0,0,15,True,20260921-1345
time,2,TAFENG,HAUSP-UB-L1,0.0,0.0,1,1,5,True,20260921-1345
time,2,TAFENG,HAUSP-UB[noEUCS],0.18,0.267,0,0,15,True,20260921-1345
time,2,TAFENG,HAUSP-UB[noL2+noEUCS],0.195,90.367,0,0,15,True,20260921-1345
time,2,TAFENG,HAUSP-UB[noL3+noEUCS],0.217,0.333,0,0,15,True,20260921-1345
time,3,BIBLE,EHAUSM-I,7.927,18.01,0,0,12,False,20260913-0521
time,3,BIBLE,EHAUSM-R,8.548,8.619,0,0,12,False,20260913-0359
time,3,BIBLE,HAUSP-UB,3.13,43.152,0,0,12,False,legacy
time,3,BIBLE,HAUSP-UB[noEUCS],2.72,5.392,0,0,12,False,20260913-1406
time,3,BIBLE,Pre-HAUSPM,10.976,21.684,0,0,12,False,20260913-0806
time,3,BMS1_SPMF,EHAUSM-I,11.036,11.25,0,0,12,False,20260913-0521
time,3,BMS1_SPMF,EHAUSM-R,9.31,9.417,0,0,12,False,20260913-0359
time,3,BMS1_SPMF,HAUSP-UB,5.208,153.75,0,0,12,False,legacy
time,3,BMS1_SPMF,HAUSP-UB[noEUCS],4.759,4.833,0,0,12,False,20260913-1406
time,3,BMS1_SPMF,Pre-HAUSPM,124.398,125.133,0,0,12,False,20260913-0806
time,3,C8T1S5I8N5K,EHAUSM-I,0.869,1.917,0,0,40,False,20260913-0521
time,3,C8T1S5I8N5K,EHAUSM-R,0.858,1.033,0,0,40,False,20260913-0359
time,3,C8T1S5I8N5K,HAUSP-UB,0.967,9.183,0,0,60,False,20260906-2111
time,3,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.66,1.517,0,0,60,False,20260913-1406
time,3,C8T1S5I8N5K,Pre-HAUSPM,2.051,4.117,0,0,40,False,20260913-0806
time,3,FIFA,EHAUSM-I,47.344,93.717,0,0,12,False,20260913-0521
time,3,FIFA,EHAUSM-R,44.213,44.383,0,0,12,False,20260913-0359
time,3,FIFA,HAUSP-UB,17.343,226.545,0,0,12,False,legacy
